epoch_s,total_rss_kib,pids
1784280522,59720,1
1784280527,4326784,1
1784280532,8705632,1
1784280537,13232516,1
1784280543,17637984,1
1784280548,22322288,1
1784280553,26994572,1
1784280559,32516540,1
1784280564,35561132,1
1784280570,40115960,1
1784280575,44976708,1
1784280581,49966508,1
1784280587,54831164,1
1784280592,58159696,1
1784280598,62679900,1
1784280604,67760156,1
1784280610,72908472,1
1784280615,78026724,1
1784280621,83229484,1
1784280627,88395908,1
1784280633,93667800,1
1784280639,98996988,1
1784280645,105212520,1
1784280651,106658432,1
