ts_unix,elapsed_sec,pe1_rss_mb,pe2_rss_mb,pe1_df_role,pe2_df_role,pe1_df_changes,pe2_df_changes,pe1_bum_flags,pe2_bum_flags,pe2_running
1778426811,120,10.1562,10.0273,NaN,NaN,NaN,NaN,df,df,1
1778426871,180,11.9531,10.0273,NaN,NaN,NaN,NaN,df,df,1
1778426932,241,11.9531,10.0273,NaN,NaN,NaN,NaN,df,df,1
1778426992,301,11.9531,10.0273,NaN,NaN,NaN,NaN,df,df,1
1778427053,362,11.9531,10.5742,NaN,NaN,NaN,NaN,df,df,1
1778427113,422,12.793,11.375,NaN,NaN,NaN,NaN,df,nondf,1
1778427174,483,12.793,11.375,NaN,NaN,NaN,NaN,df,nondf,1
1778427234,543,12.793,11.375,NaN,NaN,NaN,NaN,df,nondf,1
1778427295,604,12.793,11.375,NaN,NaN,NaN,NaN,df,nondf,1
1778427360,669,12.793,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778427421,730,12.793,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778427481,790,12.793,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778427541,850,12.793,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778427602,911,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778427662,971,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778427722,1031,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778427783,1092,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778427843,1152,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778427903,1212,13.2227,NaN,NaN,NaN,NaN,NaN,df,mixed,0
1778427965,1274,13.2227,9.99609,NaN,NaN,NaN,NaN,df,df,1
1778428025,1334,13.2227,11.4219,NaN,NaN,NaN,NaN,df,df,1
1778428086,1395,13.2227,11.4219,NaN,NaN,NaN,NaN,df,df,1
1778428146,1455,13.2227,11.4219,NaN,NaN,NaN,NaN,df,df,1
1778428207,1516,13.2227,11.4219,NaN,NaN,NaN,NaN,df,df,1
1778428267,1576,13.2227,11.4219,NaN,NaN,NaN,NaN,df,df,1
1778428328,1637,13.2227,11.4219,NaN,NaN,NaN,NaN,df,df,1
1778428388,1697,13.2227,11.4219,NaN,NaN,NaN,NaN,df,df,1
