[2026-05-10T15:24:51Z] Gate 8b soak starting — duration=24h sample=60s flip=600s
[2026-05-10T15:24:51Z] run_dir=<repo>/tests/soak/runs/gate8b-20260510T152451Z
[2026-05-10T15:24:51Z] git_rev=34d787cba71e6d321dbce7fb20eb9ee4f4785347 dirty=false kernel=5.15.0-177-generic
[2026-05-10T15:24:51Z] warmup: waiting 120s for initial dataplane discovery
[2026-05-10T15:34:55Z] flip: stopping PE2
[2026-05-10T15:45:04Z] flip: starting PE2
[2026-05-10T15:55:09Z] flip: stopping PE2
[2026-05-10T16:05:18Z] flip: starting PE2
[2026-05-10T16:15:24Z] flip: stopping PE2
[2026-05-10T16:25:33Z] flip: starting PE2
[2026-05-10T16:35:38Z] flip: stopping PE2
[2026-05-10T16:45:47Z] flip: starting PE2
[2026-05-10T16:55:53Z] flip: stopping PE2
[2026-05-10T17:06:02Z] flip: starting PE2
[2026-05-10T17:16:08Z] flip: stopping PE2
[2026-05-10T17:26:16Z] flip: starting PE2
[2026-05-10T17:36:22Z] flip: stopping PE2
[2026-05-10T17:46:31Z] flip: starting PE2
[2026-05-10T17:56:37Z] flip: stopping PE2
[2026-05-10T18:06:46Z] flip: starting PE2
[2026-05-10T18:16:52Z] flip: stopping PE2
[2026-05-10T18:27:00Z] flip: starting PE2
[2026-05-10T18:37:06Z] flip: stopping PE2
[2026-05-10T18:47:15Z] flip: starting PE2
[2026-05-10T18:57:21Z] flip: stopping PE2
[2026-05-10T19:07:30Z] flip: starting PE2
[2026-05-10T19:17:36Z] flip: stopping PE2
[2026-05-10T19:27:45Z] flip: starting PE2
[2026-05-10T19:37:51Z] flip: stopping PE2
[2026-05-10T19:47:59Z] flip: starting PE2
[2026-05-10T19:58:05Z] flip: stopping PE2
[2026-05-10T20:08:14Z] flip: starting PE2
[2026-05-10T20:18:20Z] flip: stopping PE2
[2026-05-10T20:28:28Z] flip: starting PE2
[2026-05-10T20:38:35Z] flip: stopping PE2
[2026-05-10T20:48:44Z] flip: starting PE2
[2026-05-10T20:58:50Z] flip: stopping PE2
[2026-05-10T21:08:58Z] flip: starting PE2
[2026-05-10T21:19:04Z] flip: stopping PE2
[2026-05-10T21:29:13Z] flip: starting PE2
[2026-05-10T21:39:19Z] flip: stopping PE2
[2026-05-10T21:49:28Z] flip: starting PE2
[2026-05-10T21:59:34Z] flip: stopping PE2
[2026-05-10T22:09:43Z] flip: starting PE2
[2026-05-10T22:19:49Z] flip: stopping PE2
[2026-05-10T22:29:57Z] flip: starting PE2
[2026-05-10T22:40:03Z] flip: stopping PE2
[2026-05-10T22:50:12Z] flip: starting PE2
[2026-05-10T23:00:18Z] flip: stopping PE2
[2026-05-10T23:10:27Z] flip: starting PE2
[2026-05-10T23:20:33Z] flip: stopping PE2
[2026-05-10T23:30:42Z] flip: starting PE2
[2026-05-10T23:40:48Z] flip: stopping PE2
[2026-05-10T23:50:57Z] flip: starting PE2
[2026-05-11T00:01:03Z] flip: stopping PE2
[2026-05-11T00:11:12Z] flip: starting PE2
[2026-05-11T00:21:17Z] flip: stopping PE2
[2026-05-11T00:31:26Z] flip: starting PE2
[2026-05-11T00:41:32Z] flip: stopping PE2
[2026-05-11T00:51:41Z] flip: starting PE2
[2026-05-11T01:01:47Z] flip: stopping PE2
[2026-05-11T01:11:56Z] flip: starting PE2
[2026-05-11T01:22:02Z] flip: stopping PE2
[2026-05-11T01:32:11Z] flip: starting PE2
[2026-05-11T01:42:16Z] flip: stopping PE2
[2026-05-11T01:52:25Z] flip: starting PE2
[2026-05-11T02:02:31Z] flip: stopping PE2
[2026-05-11T02:12:40Z] flip: starting PE2
[2026-05-11T02:22:46Z] flip: stopping PE2
[2026-05-11T02:32:55Z] flip: starting PE2
[2026-05-11T02:43:01Z] flip: stopping PE2
[2026-05-11T02:53:10Z] flip: starting PE2
[2026-05-11T03:03:16Z] flip: stopping PE2
[2026-05-11T03:13:25Z] flip: starting PE2
[2026-05-11T03:23:30Z] flip: stopping PE2
[2026-05-11T03:33:39Z] flip: starting PE2
[2026-05-11T03:43:45Z] flip: stopping PE2
[2026-05-11T03:53:54Z] flip: starting PE2
[2026-05-11T04:04:00Z] flip: stopping PE2
[2026-05-11T04:14:09Z] flip: starting PE2
[2026-05-11T04:24:15Z] flip: stopping PE2
[2026-05-11T04:34:24Z] flip: starting PE2
[2026-05-11T04:44:30Z] flip: stopping PE2
[2026-05-11T04:54:38Z] flip: starting PE2
[2026-05-11T05:04:44Z] flip: stopping PE2
[2026-05-11T05:14:53Z] flip: starting PE2
[2026-05-11T05:24:59Z] flip: stopping PE2
[2026-05-11T05:35:08Z] flip: starting PE2
[2026-05-11T05:45:14Z] flip: stopping PE2
[2026-05-11T05:55:23Z] flip: starting PE2
[2026-05-11T06:05:29Z] flip: stopping PE2
[2026-05-11T06:15:38Z] flip: starting PE2
[2026-05-11T06:25:44Z] flip: stopping PE2
[2026-05-11T06:35:53Z] flip: starting PE2
[2026-05-11T06:45:59Z] flip: stopping PE2
[2026-05-11T06:56:08Z] flip: starting PE2
[2026-05-11T07:06:14Z] flip: stopping PE2
[2026-05-11T07:16:22Z] flip: starting PE2
[2026-05-11T07:26:28Z] flip: stopping PE2
[2026-05-11T07:36:37Z] flip: starting PE2
[2026-05-11T07:46:43Z] flip: stopping PE2
[2026-05-11T07:56:52Z] flip: starting PE2
[2026-05-11T08:06:58Z] flip: stopping PE2
[2026-05-11T08:17:07Z] flip: starting PE2
[2026-05-11T08:27:13Z] flip: stopping PE2
[2026-05-11T08:37:22Z] flip: starting PE2
[2026-05-11T08:47:28Z] flip: stopping PE2
[2026-05-11T08:57:37Z] flip: starting PE2
[2026-05-11T09:07:43Z] flip: stopping PE2
[2026-05-11T09:17:51Z] flip: starting PE2
[2026-05-11T09:27:58Z] flip: stopping PE2
[2026-05-11T09:38:07Z] flip: starting PE2
[2026-05-11T09:48:13Z] flip: stopping PE2
[2026-05-11T09:58:22Z] flip: starting PE2
[2026-05-11T10:08:28Z] flip: stopping PE2
[2026-05-11T10:18:37Z] flip: starting PE2
[2026-05-11T10:28:43Z] flip: stopping PE2
[2026-05-11T10:38:52Z] flip: starting PE2
[2026-05-11T10:48:58Z] flip: stopping PE2
[2026-05-11T10:59:07Z] flip: starting PE2
[2026-05-11T11:09:13Z] flip: stopping PE2
[2026-05-11T11:19:22Z] flip: starting PE2
[2026-05-11T11:29:28Z] flip: stopping PE2
[2026-05-11T11:39:37Z] flip: starting PE2
[2026-05-11T11:49:43Z] flip: stopping PE2
[2026-05-11T11:59:51Z] flip: starting PE2
[2026-05-11T12:09:57Z] flip: stopping PE2
[2026-05-11T12:20:07Z] flip: starting PE2
[2026-05-11T12:30:13Z] flip: stopping PE2
[2026-05-11T12:40:22Z] flip: starting PE2
[2026-05-11T12:50:28Z] flip: stopping PE2
[2026-05-11T13:00:37Z] flip: starting PE2
[2026-05-11T13:10:43Z] flip: stopping PE2
[2026-05-11T13:20:52Z] flip: starting PE2
[2026-05-11T13:30:58Z] flip: stopping PE2
[2026-05-11T13:41:07Z] flip: starting PE2
[2026-05-11T13:51:13Z] flip: stopping PE2
[2026-05-11T14:01:21Z] flip: starting PE2
[2026-05-11T14:11:27Z] flip: stopping PE2
[2026-05-11T14:21:36Z] flip: starting PE2
[2026-05-11T14:31:42Z] flip: stopping PE2
[2026-05-11T14:41:51Z] flip: starting PE2
[2026-05-11T14:51:57Z] flip: stopping PE2
[2026-05-11T15:02:06Z] flip: starting PE2
[2026-05-11T15:12:12Z] flip: stopping PE2
[2026-05-11T15:22:21Z] flip: starting PE2
[2026-05-11T15:25:23Z] soak loop completed; final samples in <repo>/tests/soak/runs/gate8b-20260510T152451Z/samples.csv
[2026-05-11T15:25:23Z] soak loop exiting; cleaning up background tasks
