ts_unix,elapsed_sec,pe1_rss_mb,pe2_rss_mb,pe1_df_role,pe2_df_role,pe1_df_changes,pe2_df_changes,pe1_bum_flags,pe2_bum_flags,pe2_running,pe1_established_seen,pe2_established_seen,pe1_pool_size,pe2_pool_size,pe1_fdb_total,pe2_fdb_total,pe1_fdb_extern_learn,pe2_fdb_extern_learn,pe1_nh_count,pe2_nh_count,pe1_local_origs,pe2_local_origs,pe1_local_orig_errors,pe2_local_orig_errors,pe1_local_obs_drops,pe2_local_obs_drops,pe1_dup_mac_moves,pe2_dup_mac_moves,pe1_drift_members_repaired,pe2_drift_members_repaired,pe1_drift_groups_replaced,pe2_drift_groups_replaced,pe1_drift_orphans_cleaned,pe2_drift_orphans_cleaned,pe1_drift_disabled,pe2_drift_disabled,churn_adds_total,churn_dels_total,churn_moves_total
1782870394,120,28.293,28.7109,1,0,NaN,1,df,nondf,1,2,1,5,0,37,27,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
1782870455,181,30.043,29.8789,1,0,NaN,1,df,nondf,1,2,1,128,128,667,667,384,384,0,0,128,128,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,256,0,0
1782870516,242,30.4961,30.7344,1,0,NaN,1,df,nondf,1,2,1,112,128,635,619,384,336,0,0,192,144,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,320,80,0
1782870577,303,30.7695,31.0312,1,0,NaN,1,df,nondf,1,2,1,160,160,827,827,480,480,0,0,288,176,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,416,96,0
1782870638,364,30.9219,31.2461,1,0,NaN,1,df,nondf,1,2,1,160,160,827,824,480,477,0,0,375,176,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,464,144,0
1782870699,425,31.0156,31.4648,1,0,NaN,1,df,nondf,1,2,1,144,128,699,667,384,432,0,0,444,176,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,480,208,0
1782870760,486,31.1406,31.5352,1,0,NaN,1,df,nondf,1,2,1,144,160,795,779,480,432,0,0,512,208,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,544,240,0
1782870821,547,31.2617,31.5977,1,0,NaN,1,df,nondf,1,2,1,120,128,651,619,384,336,0,0,563,208,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,576,336,0
1782870882,608,31.3438,31.6641,1,0,NaN,1,df,nondf,1,2,1,128,128,667,667,384,384,0,0,640,224,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,640,384,0
1782870944,670,31.4531,0.785156,1,NaN,NaN,NaN,df,df,0,2,0,144,144,369,315,54,0,0,0,720,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,0,NaN,736,448,16
