ts_unix,elapsed_sec,pe1_rss_mb,pe2_rss_mb,pe1_df_role,pe2_df_role,pe1_df_changes,pe2_df_changes,pe1_bum_flags,pe2_bum_flags,pe2_running,pe1_established_seen,pe2_established_seen,pe1_pool_size,pe2_pool_size,pe1_fdb_total,pe2_fdb_total,pe1_fdb_extern_learn,pe2_fdb_extern_learn,pe1_nh_count,pe2_nh_count,pe1_local_origs,pe2_local_origs,pe1_local_orig_errors,pe2_local_orig_errors,pe1_local_obs_drops,pe2_local_obs_drops,pe1_dup_mac_moves,pe2_dup_mac_moves,pe1_drift_members_repaired,pe2_drift_members_repaired,pe1_drift_groups_replaced,pe2_drift_groups_replaced,pe1_drift_orphans_cleaned,pe2_drift_orphans_cleaned,pe1_drift_disabled,pe2_drift_disabled,churn_adds_total,churn_dels_total,churn_moves_total
1778881364,121,13.0156,12.8164,1,0,NaN,1,df,nondf,1,3,1,5,0,36,26,0,0,0,0,1,1,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0
1778881424,181,15.9375,15.3086,1,0,NaN,1,df,nondf,1,3,1,150,200,926,945,600,519,0,0,251,201,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,400,50,0
1778881485,242,16.8047,16.2656,1,0,NaN,1,df,nondf,1,3,1,211,223,1051,1107,603,633,0,0,412,319,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,612,200,1
1778881546,303,17.0977,16.4297,1,0,NaN,1,df,nondf,1,3,1,260,252,1300,1310,756,780,0,0,491,503,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,812,300,1
1778881607,364,17.2188,16.6328,1,0,NaN,1,df,nondf,1,3,1,249,252,1282,1256,756,726,0,0,696,503,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,862,400,1
1778881668,425,17.2188,16.7812,1,0,NaN,1,df,nondf,1,3,1,207,255,1202,1155,762,621,0,0,858,532,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,912,450,2
1778881729,486,17.0664,16.7188,1,0,NaN,1,df,nondf,1,3,1,207,255,1205,1157,765,621,0,0,908,706,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,962,500,2
1778881789,546,17.25,16.7422,1,0,NaN,1,df,nondf,1,3,1,207,255,1202,1155,762,621,0,0,958,900,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,1112,650,2
1778881850,607,17.1016,16.9141,1,0,NaN,1,df,nondf,1,3,1,207,241,1052,1131,612,621,0,0,1058,1037,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,1261,850,3
1778881912,669,17.1016,0.871094,1,NaN,NaN,NaN,df,df,0,3,0,257,204,540,434,0,0,0,0,1251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,0,NaN,1411,950,203
1778881974,731,17.1016,0.976562,1,NaN,NaN,NaN,df,df,0,3,0,257,255,540,536,0,0,0,0,1408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,0,NaN,1562,1050,353
1778882036,793,17.1016,0.859375,1,NaN,NaN,NaN,df,df,0,3,0,242,270,509,560,0,0,0,0,1535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,0,NaN,1612,1100,553
1778882098,855,17.0938,1.047,1,NaN,NaN,NaN,df,df,0,3,0,207,255,437,534,0,0,0,0,1658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,0,NaN,1662,1200,703
1778882160,917,17.0938,1.047,1,NaN,NaN,NaN,df,df,0,3,0,206,207,436,436,0,0,0,0,1807,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,0,NaN,1812,1400,753
1778882222,979,17.0938,1.094,1,NaN,NaN,NaN,df,df,0,3,0,156,214,338,452,0,0,0,0,1958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,0,NaN,1962,1550,853
1778882283,1040,17.0938,1.055,1,NaN,NaN,NaN,df,df,0,3,0,106,206,238,438,0,0,0,0,2108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,0,NaN,2062,1750,1003
1778882345,1102,17.0938,1.074,1,NaN,NaN,NaN,df,df,0,3,0,106,156,238,338,0,0,0,0,2258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,0,NaN,2212,1950,1103
1778882407,1164,17.0938,1.051,1,NaN,NaN,NaN,df,df,0,3,0,253,259,530,546,0,0,0,0,2508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,0,NaN,2462,1950,1253
1778882469,1226,17.0938,1.051,1,NaN,NaN,NaN,df,df,0,3,0,155,106,336,238,0,0,0,0,2588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,0,NaN,2512,2250,1353
1778882532,1289,17.0938,15.3867,1,0,NaN,1,df,nondf,1,4,1,215,206,838,1138,387,702,0,0,2808,144,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,2812,2350,1353
1778882593,1350,17.2969,16.4805,1,0,NaN,1,df,nondf,1,4,1,256,206,970,1144,435,708,0,0,3008,194,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,3012,2550,1353
1778882654,1411,17.2461,16.9844,1,0,NaN,1,df,nondf,1,4,1,218,201,942,1084,483,654,0,0,3070,335,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,3160,2750,1365
1778882715,1472,17.3945,17.2109,1,0,NaN,1,df,nondf,1,4,1,217,193,976,1060,519,651,0,0,3219,431,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,3310,2900,1366
1778882776,1533,17.3789,17.2031,1,0,NaN,1,df,nondf,1,4,1,170,140,870,813,507,510,0,0,3272,578,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,3460,3150,1369
1778882836,1593,17.2812,17.2031,1,0,NaN,1,df,nondf,1,4,1,150,139,730,721,405,420,0,0,3397,677,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,3560,3300,1370
1778882897,1654,17.2773,17.2031,1,0,NaN,1,df,nondf,1,4,1,214,186,1009,974,558,579,0,0,3561,824,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,3810,3450,1373
1778882958,1715,17.3555,17.2031,1,0,NaN,1,df,nondf,1,4,1,124,136,676,665,405,372,0,0,3626,944,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,4010,3750,1373
1778883019,1776,17.418,17.2305,1,0,NaN,1,df,nondf,1,4,1,274,238,1286,1321,714,822,0,0,3805,1126,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,4312,3800,1373
1778883080,1837,17.375,17.3125,1,0,NaN,1,df,nondf,1,4,1,274,238,1286,1319,714,819,0,0,3976,1176,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,4362,3850,1373
1778883142,1899,17.2812,1.07,1,NaN,NaN,NaN,df,df,0,4,0,253,259,531,543,0,0,0,0,4126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,0,NaN,4412,3900,1573
1778883204,1961,17.2812,1.09,1,NaN,NaN,NaN,df,df,0,4,0,222,193,469,407,0,0,0,0,4224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,0,NaN,4460,4050,1773
1778883265,2022,17.2812,1.238,1,NaN,NaN,NaN,df,df,0,4,0,245,216,516,456,0,0,0,0,4389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,0,NaN,4661,4200,1823
1778883327,2084,17.3398,1.121,1,NaN,NaN,NaN,df,df,0,4,0,271,191,568,408,0,0,0,0,4574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,0,NaN,4762,4300,2023
1778883389,2146,17.3398,1.082,1,NaN,NaN,NaN,df,df,0,4,0,268,241,560,509,0,0,0,0,4723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,0,NaN,4959,4450,2123
1778883451,2208,17.3398,1.074,1,NaN,NaN,NaN,df,df,0,4,0,224,237,475,494,0,0,0,0,4875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,0,NaN,5061,4600,2273
