ts_unix,elapsed_sec,pe1_rss_mb,pe2_rss_mb,pe1_installed_routes,pe1_observed_routes,bgp_established,tenant_present,churn_cycles
1778536296,120,11.6992,22.69,1,1,1,1,0
1778536358,182,11.6992,22.61,1,0,1,0,0
1778536419,243,12.1875,22.44,1,1,1,1,1
1778536480,304,13.3633,22.46,1,0,1,0,1
1778536542,366,13.3633,22.53,1,1,1,1,2
1778536603,427,13.3633,22.64,1,0,1,0,2
1778536664,488,13.3633,22.57,1,1,1,1,3
1778536726,550,13.3633,22.55,1,0,1,0,3
1778536787,611,13.3633,22.68,1,1,1,1,4
1778536849,673,13.3633,22.62,1,0,1,0,4
1778536910,734,13.3633,22.5,1,1,1,1,5
1778536971,795,13.3633,22.61,1,0,1,0,5
1778537033,857,13.3633,22.5,1,1,1,1,6
1778537094,918,13.3633,22.48,1,0,1,0,6
1778537155,979,13.3633,22.5,1,1,1,1,7
1778537217,1041,13.3633,22.63,1,0,1,0,7
1778537278,1102,13.3633,22.61,1,1,1,1,8
1778537339,1163,13.3633,22.5,1,0,1,0,8
1778537401,1225,13.3633,22.61,1,1,1,1,9
1778537462,1286,13.3633,22.53,1,0,1,0,9
1778537523,1347,13.3633,22.69,1,1,1,1,10
1778537585,1409,13.3633,22.47,1,0,1,0,10
1778537646,1470,13.3633,22.66,1,1,1,1,11
1778537707,1531,13.3633,22.61,1,0,1,0,11
1778537769,1593,13.3633,22.55,1,1,1,1,12
1778537830,1654,13.3633,22.57,1,0,1,0,12
1778537891,1715,13.3633,22.5,1,1,1,1,13
1778537953,1777,13.3633,22.58,1,0,1,0,13
1778538014,1838,13.3633,22.5,1,1,1,1,14
1778538075,1899,13.3633,22.49,1,0,1,0,14
1778538137,1961,13.3633,22.61,1,1,1,1,15
1778538198,2022,13.3633,22.51,1,0,1,0,15
1778538259,2083,13.3633,22.51,1,1,1,1,16
1778538321,2145,13.3633,22.68,1,0,1,0,16
1778538382,2206,13.3633,22.69,1,1,1,1,17
1778538443,2267,13.3633,22.54,1,0,1,0,17
1778538505,2329,13.3633,22.51,1,1,1,1,18
1778538566,2390,13.3633,22.51,1,0,1,0,18
1778538627,2451,13.3633,22.6,1,1,1,1,19
1778538689,2513,13.3633,22.54,1,0,1,0,19
1778538750,2574,13.3633,22.5,1,1,1,1,20
1778538811,2635,13.3633,22.64,1,0,1,0,20
1778538873,2697,13.3633,22.5,1,1,1,1,21
1778538934,2758,13.3633,22.49,1,0,1,0,21
1778538995,2819,13.3633,22.49,1,1,1,1,22
1778539057,2881,13.3633,22.59,1,0,1,0,22
1778539118,2942,13.3633,22.5,1,1,1,1,23
1778539179,3003,13.3633,22.49,1,0,1,0,23
1778539241,3065,13.3633,22.62,1,1,1,1,24
1778539302,3126,13.3633,22.5,1,0,1,0,24
1778539363,3187,13.3633,22.54,1,1,1,1,25
1778539425,3249,13.3633,22.62,1,0,1,0,25
1778539486,3310,13.3633,22.5,1,1,1,1,26
1778539548,3372,13.3633,22.71,1,0,1,0,26
1778539609,3433,13.3633,22.54,1,1,1,1,27
1778539670,3494,13.3633,22.64,1,0,1,0,27
1778539732,3556,13.3633,22.63,1,1,1,1,28
1778539793,3617,13.3633,22.63,1,0,1,0,28
1778539854,3678,13.3633,22.49,1,1,1,1,29
1778539916,3740,13.3633,22.79,1,0,1,0,29
1778539977,3801,13.3633,22.51,1,1,1,1,30
1778540039,3863,13.3633,22.53,1,0,1,0,30
1778540100,3924,13.3633,22.5,1,1,1,1,31
1778540161,3985,13.3633,22.48,1,0,1,0,31
1778540223,4047,13.3633,22.62,1,1,1,1,32
1778540284,4108,13.3633,22.52,1,0,1,0,32
1778540345,4169,13.3633,22.56,1,1,1,1,33
