[2026-05-11T21:49:36Z] provisioning PE1 kernel topology
[2026-05-11T21:49:36Z] starting PE1 daemon
[2026-05-11T21:49:36Z] Gate 9 slice 6 soak starting — duration=24h sample=60s churn=30s
[2026-05-11T21:49:36Z] run_dir=<repo>/tests/soak/runs/gate9-slice6-20260511T214936Z
[2026-05-11T21:49:36Z] git_rev=5619aceffeb6e71a75ae76cc44d8f88835385509 dirty=false kernel=5.15.0-177-generic
[2026-05-11T21:49:36Z] tenant=192.0.2.1/24 dev=lo-vrf1 vrf=vrf1 l3vni=100
[2026-05-11T21:49:36Z] warmup: waiting 120s for initial BGP + IP-VRF discovery
[2026-05-11T21:51:38Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T21:52:39Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T21:53:40Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T21:54:42Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T21:55:43Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T21:56:44Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T21:57:46Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T21:58:47Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T21:59:48Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T22:00:50Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T22:01:51Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T22:02:52Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T22:03:54Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T22:04:55Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T22:05:56Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T22:06:58Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T22:07:59Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T22:09:01Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T22:10:02Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T22:11:03Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T22:12:05Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T22:13:06Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T22:14:07Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T22:15:09Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T22:16:10Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T22:17:11Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T22:18:13Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T22:19:14Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T22:20:15Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T22:21:17Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T22:22:18Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T22:23:19Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T22:24:21Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T22:25:22Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T22:26:23Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T22:27:25Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T22:28:26Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T22:29:27Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T22:30:29Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T22:31:30Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T22:32:31Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T22:33:33Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T22:34:34Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T22:35:35Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T22:36:37Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T22:37:38Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T22:38:39Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T22:39:41Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T22:40:42Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T22:41:43Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T22:42:45Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T22:43:46Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T22:44:48Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T22:45:49Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T22:46:50Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T22:47:52Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T22:48:53Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T22:49:54Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T22:50:56Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T22:51:57Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T22:52:58Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T22:54:00Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T22:55:01Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T22:56:02Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T22:57:04Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T22:58:05Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T22:59:07Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T23:00:08Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T23:01:09Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T23:02:11Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T23:03:12Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T23:04:13Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T23:05:15Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T23:06:16Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T23:07:17Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T23:08:19Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T23:09:20Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T23:10:21Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T23:11:23Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T23:12:24Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T23:13:25Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T23:14:27Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T23:15:28Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T23:16:29Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T23:17:31Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T23:18:32Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T23:19:34Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T23:20:35Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T23:21:36Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T23:22:38Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T23:23:39Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T23:24:40Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T23:25:42Z] churn: removing tenant 192.0.2.1/24
[2026-05-11T23:26:43Z] churn: re-adding tenant 192.0.2.1/24
[2026-05-11T23:27:44Z] churn: removing tenant 192.0.2.1/24
