timestamp,uptime_sec,mem_mb,cpu_pct,grpc_ok,rib_loc_evpn,adj_out_evpn_total,session_flaps_total,outbound_drops_total,msgs_sent_total,msgs_recv_total
1782870059,0,82.87,37.84,1,50000,100000,0,0,2856,1428
1782870120,61,82.24,38.16,1,50000,100000,0,0,8667,4335
1782870181,122,81.87,38.28,1,50000,100000,0,0,14478,7242
1782870242,183,81.23,37.51,1,50000,100000,0,0,20289,10149
1782870304,245,82.14,38.76,1,50000,100000,0,0,26100,13056
1782870365,306,82.89,38.14,1,50000,100000,0,0,31911,15963
1782870426,367,82.40,38.01,1,50000,100000,0,0,37722,18870
1782870487,428,81.60,37.64,1,50000,100000,0,0,43533,21777
1782870548,489,81.98,38.25,1,50000,100000,0,0,49344,24684
1782870609,550,81.32,38.55,1,49960,99920,0,0,55153,27591
1782870670,611,81.84,38.15,1,49920,99840,0,0,60962,30498
1782870731,672,81.70,39.14,1,49960,99920,0,0,66775,33405
1782870792,733,82.41,38.15,1,49920,99840,0,0,72584,36312
1782870853,794,82.30,38.06,1,49920,99840,0,0,78395,39219
1782870914,855,81.68,38.38,1,49920,99840,0,0,84206,42126
1782870975,916,82.23,37.51,1,49960,99920,0,0,90015,45032
1782871036,977,81.36,37.86,1,49960,99920,0,0,95826,47937
1782871097,1038,82.48,38.29,1,49960,99920,0,0,101637,50845
1782871158,1099,81.38,37.83,1,49960,99920,0,0,107448,53752
1782871219,1160,82.70,38.21,1,49920,99840,0,0,113261,56661
1782871281,1222,82.59,38.67,1,49920,99840,0,0,119072,59568
1782871342,1283,82.40,38.34,1,49920,99840,0,0,124883,62475
1782871403,1344,82.00,39.47,1,50000,100000,0,0,130698,65382
1782871464,1405,81.98,38.11,1,50000,100000,0,0,136509,68289
1782871525,1466,81.68,37.95,1,50000,100000,0,0,142320,71196
1782871586,1527,82.30,38.77,1,49920,99840,0,0,148127,74101
1782871647,1588,81.57,37.83,1,49960,99920,0,0,153936,77008
1782871708,1649,81.29,37.54,1,50000,100000,0,0,159745,79913
1782871769,1710,82.24,38.15,1,50000,100000,0,0,165556,82820
1782871830,1771,81.99,37.07,1,50000,100000,0,0,171367,85727
1782871891,1832,81.70,37.85,1,50000,100000,0,0,177178,88634
1782871952,1893,81.39,38.27,1,49960,99920,0,0,182987,91541
1782872013,1954,81.71,37.55,1,49960,99920,0,0,188798,94448
1782872074,2015,81.82,38.37,1,49920,99840,0,0,194607,97355
1782872135,2076,81.62,38.03,1,49920,99840,0,0,200418,100262
1782872196,2137,82.10,38.12,1,49960,99920,0,0,206231,103169
1782872258,2199,81.84,39.03,1,49920,99840,0,0,212040,106076
1782872319,2260,81.52,38.27,1,49920,99840,0,0,217851,108983
1782872380,2321,81.62,38.17,1,49960,99920,0,0,223660,111888
1782872441,2382,81.64,38.15,1,49960,99920,0,0,229471,114795
1782872502,2443,81.31,37.80,1,50000,100000,0,0,235280,117700
1782872563,2504,81.46,37.58,1,50000,100000,0,0,241091,120607
1782872624,2565,81.57,36.84,1,50000,100000,0,0,246902,123514
1782872685,2626,81.02,37.65,1,50000,100000,0,0,252714,126422
1782872746,2687,82.14,38.93,1,49960,99920,0,0,258523,129329
1782872807,2748,81.46,36.71,1,50000,100000,0,0,264336,132236
1782872868,2809,81.85,36.86,1,50000,100000,0,0,270147,135143
1782872929,2870,82.20,38.74,1,50000,100000,0,0,275958,138050
1782872990,2931,82.44,38.10,1,49920,99840,0,0,281765,140957
1782873051,2992,81.64,38.60,1,50000,100000,0,0,287574,143862
1782873112,3053,82.09,37.95,1,50000,100000,0,0,293385,146769
1782873173,3114,81.50,37.03,1,50000,100000,0,0,299196,149676
1782873234,3175,80.97,38.38,1,50000,100000,0,0,305007,152583
1782873295,3236,81.77,37.21,1,50000,100000,0,0,310818,155490
1782873357,3298,81.70,37.96,1,49960,99920,0,0,316627,158397
1782873418,3359,83.33,39.23,1,49920,99840,0,0,322436,161304
1782873479,3420,82.00,37.61,1,49960,99920,0,0,328245,164209
1782873540,3481,81.67,37.93,1,50000,100000,0,0,334054,167114
1782873601,3542,81.92,37.84,1,50000,100000,0,0,339865,170021
1782873662,3603,81.43,37.19,1,50000,100000,0,0,345676,172928
1782873723,3664,81.93,37.94,1,50000,100000,0,0,351487,175835
1782873784,3725,81.79,37.54,1,50000,100000,0,0,357298,178742
1782873845,3786,82.73,38.42,1,49960,99920,0,0,363107,181649
