timestamp,elapsed_sec,cycle,phase,pe1_rss_mb,pe2_rss_mb,vtep_rss_mb,pe1_session_established,pe2_session_established,pe1_df,pe2_df,pe1_nondf,pe2_nondf,pe1_link_drain,pe1_operator_drain,pe2_link_drain,pe1_ac_state,pe2_ac_state,pe1_type4,pe1_ead,pe1_type2,pe2_type4,pe2_ead,pe2_type2,ce_mac_egress,blackout_ms,release_ms,failures,pe1_restart_count,pe2_restart_count,vtep_restart_count
2026-06-28T14:19:46Z,1,0,bootstrap,29.949,30.164,30.195,1,1,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"",,,0,0,0,0
2026-06-28T14:19:52Z,7,1,drained,30.258,30.430,30.422,1,1,0,1,1,0,1,0,0,disabled,forwarding,0,0,0,1,2,1,"10.0.2.2",100,,0,0,0,0
2026-06-28T14:20:00Z,15,1,recovered,30.680,31.051,30.777,1,1,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"10.0.1.2",100,5338,0,0,0,0
2026-06-28T14:20:15Z,30,1,idle,30.840,31.086,30.777,1,1,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"10.0.1.2",,,0,0,0,0
2026-06-28T14:20:45Z,60,1,idle,30.867,31.176,30.820,1,1,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"10.0.1.2",,,0,0,0,0
2026-06-28T14:21:15Z,90,1,idle,30.957,31.188,30.820,1,1,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"10.0.1.2",,,0,0,0,0
2026-06-28T14:21:23Z,98,2,drained,30.992,31.277,30.977,1,1,0,1,1,0,1,0,0,disabled,forwarding,0,0,0,1,2,1,"10.0.2.2",300,,0,0,0,0
2026-06-28T14:21:36Z,111,2,recovered,35.676,35.973,34.785,1,1,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"10.0.1.2",300,5344,0,0,0,0
2026-06-28T14:21:45Z,120,2,idle,35.688,35.973,34.785,1,1,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"10.0.1.2",,,0,0,0,0
2026-06-28T14:22:15Z,150,2,idle,35.699,35.973,34.785,1,1,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"10.0.1.2",,,0,0,0,0
2026-06-28T14:22:45Z,180,2,idle,35.699,35.973,34.820,1,1,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"10.0.1.2",,,0,0,0,0
2026-06-28T14:22:54Z,189,3,drained,35.699,35.984,34.836,1,1,0,1,1,0,1,0,0,disabled,forwarding,0,0,0,1,2,1,"10.0.2.2",300,,0,0,0,0
2026-06-28T14:23:04Z,199,3,recovered,35.746,36.035,34.848,1,1,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"10.0.1.2",300,5355,0,0,0,0
2026-06-28T14:23:15Z,210,3,idle,35.746,36.043,34.863,1,1,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"10.0.1.2",,,0,0,0,0
2026-06-28T14:23:45Z,240,3,idle,35.750,36.043,34.883,1,1,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"10.0.1.2",,,0,0,0,0
2026-06-28T14:24:15Z,270,3,idle,35.750,36.051,34.883,1,0,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"10.0.1.2",,,0,0,0,0
2026-06-28T14:24:24Z,279,4,drained,35.832,36.051,34.883,1,1,0,1,1,0,1,0,0,disabled,forwarding,0,0,0,1,2,1,"10.0.2.2",300,,0,0,0,0
2026-06-28T14:24:34Z,289,4,recovered,35.848,36.102,34.891,1,1,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"10.0.1.2",300,5351,0,0,0,0
2026-06-28T14:24:45Z,300,4,idle,35.852,36.102,34.895,1,1,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"10.0.1.2",,,0,0,0,0
2026-06-28T14:25:15Z,330,4,idle,35.852,36.102,34.898,1,1,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"10.0.1.2",,,0,0,0,0
2026-06-28T14:25:45Z,360,4,idle,35.852,36.105,34.898,1,1,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"10.0.1.2",,,0,0,0,0
2026-06-28T14:25:52Z,367,5,drained,35.855,36.105,34.898,1,1,0,1,1,0,1,0,0,disabled,forwarding,0,0,0,1,2,1,"10.0.2.2",200,,0,0,0,0
2026-06-28T14:26:05Z,380,5,recovered,35.855,36.148,34.945,1,1,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"10.0.1.2",200,5359,0,0,0,0
2026-06-28T14:26:15Z,390,5,idle,35.879,36.148,34.945,1,1,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"10.0.1.2",,,0,0,0,0
2026-06-28T14:26:45Z,420,5,idle,35.879,36.148,34.945,1,1,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"10.0.1.2",,,0,0,0,0
2026-06-28T14:27:15Z,450,5,idle,35.879,36.148,34.945,1,1,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"10.0.1.2",,,0,0,0,0
2026-06-28T14:27:23Z,458,6,drained,35.879,36.148,34.945,1,1,0,1,1,0,1,0,0,disabled,forwarding,0,0,0,1,2,1,"10.0.2.2",300,,0,0,0,0
2026-06-28T14:27:36Z,471,6,recovered,35.883,36.152,34.945,1,1,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"10.0.1.2",300,5352,0,0,0,0
2026-06-28T14:27:45Z,480,6,idle,35.883,36.152,34.945,1,1,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"10.0.1.2",,,0,0,0,0
2026-06-28T14:28:15Z,510,6,idle,35.883,36.156,35.008,1,1,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"10.0.1.2",,,0,0,0,0
2026-06-28T14:28:45Z,540,6,idle,35.883,36.156,35.008,1,1,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"10.0.1.2",,,0,0,0,0
2026-06-28T14:28:54Z,549,7,drained,35.883,36.156,35.008,0,1,0,1,1,0,1,0,0,disabled,forwarding,0,0,0,1,2,1,"10.0.2.2",300,,0,0,0,0
2026-06-28T14:29:04Z,559,7,recovered,35.891,36.156,35.016,1,1,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"10.0.1.2",300,5355,0,0,0,0
2026-06-28T14:29:15Z,570,7,idle,35.891,36.156,35.016,1,1,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"10.0.1.2",,,0,0,0,0
2026-06-28T14:29:45Z,600,7,idle,35.891,36.160,35.016,1,1,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"10.0.1.2",,,0,0,0,0
2026-06-28T14:30:15Z,630,7,idle,35.906,36.160,35.016,1,1,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"10.0.1.2",,,0,0,0,0
2026-06-28T14:30:23Z,638,8,drained,35.906,36.160,35.016,1,0,0,1,1,0,1,0,0,disabled,forwarding,0,0,0,1,2,1,"10.0.2.2",200,,0,0,0,0
2026-06-28T14:30:35Z,650,8,recovered,35.914,36.180,35.016,1,1,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"10.0.1.2",200,5359,0,0,0,0
2026-06-28T14:30:45Z,660,8,idle,35.918,36.180,35.016,1,0,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"10.0.1.2",,,0,0,0,0
2026-06-28T14:31:15Z,690,8,idle,35.918,36.180,35.016,1,1,1,0,0,1,0,0,0,forwarding,disabled,1,2,1,1,2,0,"10.0.1.2",,,0,0,0,0
