timestamp,elapsed_sec,rss_mb,intern_size,established,flaps_total,msgs_sent_total,max_prefix_exceeded_total,readyz_code,readyz_ms
2026-08-17T06:38:27Z,0,245.0,1000,1000,0,1047954,0,200,1.9
2026-08-17T06:38:57Z,30,226.3,1000,1000,0,2903097,0,200,2.7
2026-08-17T06:39:27Z,60,226.1,1000,1000,0,4823176,0,200,3.3
2026-08-17T06:39:57Z,90,225.5,1000,1000,0,6746251,0,200,1.9
2026-08-17T06:40:27Z,120,229.0,1000,1000,0,8605391,0,200,2.8
2026-08-17T06:40:57Z,150,230.5,1000,1000,0,10526468,0,200,2.0
2026-08-17T06:41:27Z,180,227.3,1000,1000,0,12449544,0,200,2.2
2026-08-17T06:41:58Z,210,226.6,1000,1000,0,14370621,0,200,2.7
2026-08-17T06:42:27Z,240,229.5,1000,1000,0,16230760,0,200,2.3
2026-08-17T06:42:57Z,270,219.5,1000,1000,0,18151837,0,200,2.7
2026-08-17T06:43:27Z,300,227.9,1000,1000,0,20074913,0,200,2.6
2026-08-17T06:43:57Z,330,220.6,1000,1000,0,21933053,0,200,2.3
2026-08-17T06:44:27Z,360,220.4,1000,1000,0,23853132,0,200,2.3
2026-08-17T06:44:57Z,390,227.9,1000,1000,0,25775198,0,200,2.6
2026-08-17T06:45:28Z,420,227.9,1000,1000,0,27698023,0,200,2.0
2026-08-17T06:45:57Z,450,231.3,1000,1000,0,29553427,0,200,2.2
2026-08-17T06:46:27Z,480,229.1,1000,1000,0,31476503,0,200,1.9
2026-08-17T06:46:57Z,510,228.9,1000,1000,0,33398579,0,200,2.1
2026-08-17T06:47:27Z,540,228.4,1000,1000,0,35257719,0,200,2.6
2026-08-17T06:47:57Z,570,228.3,1000,1000,0,37179791,0,200,2.3
2026-08-17T06:48:27Z,600,231.3,1000,1000,0,39101872,0,200,2.4
2026-08-17T06:48:58Z,630,231.2,1000,1000,0,41020951,0,200,2.1
2026-08-17T06:49:27Z,660,229.1,1000,1000,0,42878093,0,200,2.3
2026-08-17T06:49:57Z,690,228.4,1000,1000,0,44800169,0,200,3.1
2026-08-17T06:50:27Z,720,231.6,1000,1000,0,46723188,0,200,2.0
2026-08-17T06:50:57Z,750,228.8,1000,1000,0,48581385,0,200,2.2
2026-08-17T06:51:27Z,780,228.9,1000,1000,0,50503462,0,200,2.2
2026-08-17T06:51:57Z,810,226.3,1000,1000,0,52425538,0,200,2.3
2026-08-17T06:52:27Z,840,221.5,1000,1000,0,54284596,0,200,3.3
2026-08-17T06:52:57Z,870,229.2,1000,1000,0,56205755,0,200,2.1
2026-08-17T06:53:27Z,900,229.0,1000,1000,0,58126833,0,200,2.0
2026-08-17T06:53:58Z,930,230.9,1000,1000,0,60048791,0,200,2.4
2026-08-17T06:54:27Z,960,232.8,1000,1000,0,61908049,0,200,2.0
2026-08-17T06:54:57Z,990,230.8,1000,1000,0,63829870,0,200,2.5
2026-08-17T06:55:27Z,1020,220.5,1000,1000,0,65753201,0,200,2.5
2026-08-17T06:55:57Z,1050,233.9,1000,1000,0,67610342,0,200,2.4
2026-08-17T06:56:27Z,1080,230.8,1000,1000,0,69533418,0,200,2.7
2026-08-17T06:56:57Z,1110,233.0,1000,1000,0,71455494,0,200,2.1
2026-08-17T06:57:28Z,1140,234.1,1000,1000,0,73378552,0,200,2.4
2026-08-17T06:57:57Z,1170,230.9,1000,1000,0,75236702,0,200,2.4
2026-08-17T06:58:27Z,1200,231.1,1000,1000,0,77156789,0,200,2.2
2026-08-17T06:58:57Z,1230,231.0,1000,1000,0,79077866,0,200,1.9
2026-08-17T06:59:27Z,1260,230.9,1000,1000,0,80937006,0,200,2.2
2026-08-17T06:59:57Z,1290,232.1,1000,1000,0,82859082,0,200,2.2
2026-08-17T07:00:27Z,1320,223.3,1000,1000,0,84781159,0,200,2.3
2026-08-17T07:00:57Z,1350,234.2,1000,1000,0,86640064,0,200,2.1
2026-08-17T07:01:27Z,1380,231.0,1000,1000,0,88560377,0,200,2.3
2026-08-17T07:01:57Z,1410,228.9,1000,1000,0,90479456,0,200,2.3
2026-08-17T07:02:27Z,1440,233.9,1000,1000,0,92401533,0,200,2.3
2026-08-17T07:02:57Z,1470,230.8,1000,1000,0,94257623,0,200,3.0
2026-08-17T07:03:27Z,1500,229.4,1000,1000,0,96179752,0,200,2.8
2026-08-17T07:03:57Z,1530,230.9,1000,1000,0,98101828,0,200,2.4
2026-08-17T07:04:28Z,1560,231.0,1000,1000,0,100023905,0,200,2.7
2026-08-17T07:04:57Z,1590,231.1,1000,1000,0,101882045,0,200,2.7
2026-08-17T07:05:27Z,1620,231.1,1000,1000,0,103805121,0,200,2.4
2026-08-17T07:05:57Z,1650,229.0,1000,1000,0,105724200,0,200,2.0
2026-08-17T07:06:27Z,1680,228.9,1000,1000,0,107580343,0,200,3.3
2026-08-17T07:06:57Z,1710,231.0,1000,1000,0,109502419,0,200,1.9
2026-08-17T07:07:27Z,1740,226.1,1000,1000,0,111424496,0,200,2.9
2026-08-17T07:07:58Z,1770,223.5,1000,1000,0,113346572,0,200,3.8
2026-08-17T07:08:27Z,1800,229.1,1000,1000,0,115203645,0,200,4.5
2026-08-17T07:08:57Z,1830,231.2,1000,1000,0,117124791,0,200,2.3
2026-08-17T07:09:27Z,1860,231.1,1000,1000,0,119046868,0,200,3.2
2026-08-17T07:09:57Z,1890,233.6,1000,1000,0,120904009,0,200,3.0
2026-08-17T07:10:27Z,1920,234.0,1000,1000,0,122825087,0,200,2.9
2026-08-17T07:10:57Z,1950,231.2,1000,1000,0,124746164,0,200,3.3
2026-08-17T07:11:27Z,1980,230.6,1000,1000,0,126604305,0,200,2.5
2026-08-17T07:11:57Z,2010,233.6,1000,1000,0,128522385,0,200,3.2
2026-08-17T07:12:27Z,2040,231.3,1000,1000,0,130441465,0,200,3.4
2026-08-17T07:12:57Z,2070,234.3,1000,1000,0,132361543,0,200,1.8
2026-08-17T07:13:27Z,2100,231.3,1000,1000,0,134219684,0,200,2.3
2026-08-17T07:13:57Z,2130,231.3,1000,1000,0,136136440,0,200,2.6
2026-08-17T07:14:27Z,2160,231.2,1000,1000,0,138058199,0,200,2.3
2026-08-17T07:14:57Z,2190,230.2,1000,1000,0,139915629,0,200,2.7
2026-08-17T07:15:27Z,2220,234.4,1000,1000,0,141835063,0,200,2.3
2026-08-17T07:15:57Z,2250,231.3,1000,1000,0,143753143,0,200,2.4
2026-08-17T07:16:28Z,2280,231.0,1000,1000,0,145675220,0,200,2.1
2026-08-17T07:16:57Z,2310,234.4,1000,1000,0,147532361,0,200,2.7
2026-08-17T07:17:27Z,2340,231.2,1000,1000,0,149453439,0,200,2.7
2026-08-17T07:17:57Z,2370,229.2,1000,1000,0,151373663,0,200,2.4
2026-08-17T07:18:27Z,2400,223.4,1000,1000,0,153229660,0,200,1.9
2026-08-17T07:18:57Z,2430,231.2,1000,1000,0,155147740,0,200,3.3
2026-08-17T07:19:27Z,2460,230.9,1000,1000,0,157069817,0,200,2.1
2026-08-17T07:19:58Z,2490,234.6,1000,1000,0,158989895,0,200,2.3
2026-08-17T07:20:27Z,2520,234.4,1000,1000,0,160845039,0,200,2.6
2026-08-17T07:20:57Z,2550,231.3,1000,1000,0,162763119,0,200,2.5
2026-08-17T07:21:27Z,2580,231.2,1000,1000,0,164685196,0,200,2.5
2026-08-17T07:21:57Z,2610,230.9,1000,1000,0,166542337,0,200,2.3
2026-08-17T07:22:27Z,2640,223.6,1000,1000,0,168461417,0,200,2.6
2026-08-17T07:22:57Z,2670,230.5,1000,1000,0,170380994,0,200,2.2
2026-08-17T07:23:28Z,2700,230.5,1000,1000,0,172300575,0,200,2.2
2026-08-17T07:23:57Z,2730,230.9,1000,1000,0,174157716,0,200,2.4
2026-08-17T07:24:27Z,2760,229.9,1000,1000,0,176076796,0,200,2.6
2026-08-17T07:24:57Z,2790,231.2,1000,1000,0,177997873,0,200,2.8
2026-08-17T07:25:27Z,2820,234.1,1000,1000,0,179855015,0,200,2.5
2026-08-17T07:25:57Z,2850,230.9,1000,1000,0,181773721,0,200,2.8
2026-08-17T07:26:27Z,2880,234.3,1000,1000,0,183695172,0,200,2.6
2026-08-17T07:26:57Z,2910,231.1,1000,1000,0,185552313,0,200,2.6
2026-08-17T07:27:27Z,2940,234.5,1000,1000,0,187471393,0,200,2.1
2026-08-17T07:27:57Z,2970,231.2,1000,1000,0,189389898,0,200,3.8
2026-08-17T07:28:27Z,3000,234.2,1000,1000,0,191310551,0,200,2.3
2026-08-17T07:28:57Z,3030,231.2,1000,1000,0,193167692,0,200,2.3
2026-08-17T07:29:27Z,3060,231.3,1000,1000,0,195086764,0,200,3.3
2026-08-17T07:29:57Z,3090,231.2,1000,1000,0,197001855,0,200,2.1
2026-08-17T07:30:28Z,3120,223.3,1000,1000,0,198923932,0,200,2.5
2026-08-17T07:30:57Z,3150,230.7,1000,1000,0,200778076,0,200,2.4
2026-08-17T07:31:27Z,3180,231.2,1000,1000,0,202697156,0,200,2.6
2026-08-17T07:31:57Z,3210,230.5,1000,1000,0,204618516,0,200,2.9
2026-08-17T07:32:27Z,3240,223.7,1000,1000,0,206471824,0,200,2.0
2026-08-17T07:32:57Z,3270,225.9,1000,1000,0,208390039,0,200,2.6
2026-08-17T07:33:27Z,3300,224.1,1000,1000,0,210308534,0,200,2.7
2026-08-17T07:33:58Z,3330,234.3,1000,1000,0,212230615,0,200,2.8
2026-08-17T07:34:27Z,3360,231.1,1000,1000,0,214088640,0,200,2.8
2026-08-17T07:34:57Z,3390,231.0,1000,1000,0,216003839,0,200,2.3
2026-08-17T07:35:27Z,3420,223.4,1000,1000,0,217922919,0,200,2.8
2026-08-17T07:35:57Z,3450,231.4,1000,1000,0,219780060,0,200,2.3
2026-08-17T07:36:27Z,3480,222.7,1000,1000,0,221699140,0,200,2.3
2026-08-17T07:36:57Z,3510,234.4,1000,1000,0,223617220,0,200,2.2
2026-08-17T07:37:27Z,3540,234.0,1000,1000,0,225536300,0,200,2.4
2026-08-17T07:37:57Z,3570,232.2,1000,1000,0,227394708,0,200,2.4
2026-08-17T07:38:27Z,3600,231.0,1000,1000,0,229314519,0,200,2.8
2026-08-17T07:38:57Z,3630,231.6,1000,1000,0,231232599,0,200,3.0
2026-08-17T07:39:28Z,3660,234.4,1000,1000,0,233151679,0,200,2.6
2026-08-17T07:39:57Z,3690,231.5,1000,1000,0,235006839,0,200,2.9
2026-08-17T07:40:27Z,3720,231.4,1000,1000,0,236924903,0,200,2.7
2026-08-17T07:40:57Z,3750,231.2,1000,1000,0,238842983,0,200,2.2
2026-08-17T07:41:27Z,3780,234.3,1000,1000,0,240701124,0,200,2.8
2026-08-17T07:41:57Z,3810,231.2,1000,1000,0,242619204,0,200,2.3
2026-08-17T07:42:27Z,3840,231.2,1000,1000,0,244538284,0,200,4.3
2026-08-17T07:42:57Z,3870,231.3,1000,1000,0,246456364,0,200,3.2
2026-08-17T07:43:27Z,3900,234.4,1000,1000,0,248311508,0,200,2.2
2026-08-17T07:43:57Z,3930,234.4,1000,1000,0,250229588,0,200,2.3
2026-08-17T07:44:27Z,3960,234.0,1000,1000,0,252148668,0,200,2.5
2026-08-17T07:44:57Z,3990,231.3,1000,1000,0,254065484,0,200,2.2
2026-08-17T07:45:27Z,4020,230.9,1000,1000,0,255921892,0,200,2.3
2026-08-17T07:45:57Z,4050,234.3,1000,1000,0,257839972,0,200,2.4
2026-08-17T07:46:27Z,4080,231.5,1000,1000,0,259759052,0,200,2.2
2026-08-17T07:46:58Z,4110,223.6,1000,1000,0,261677132,0,200,2.4
2026-08-17T07:47:27Z,4140,231.4,1000,1000,0,263532276,0,200,2.8
2026-08-17T07:47:57Z,4170,231.0,1000,1000,0,265450356,0,200,2.2
2026-08-17T07:48:27Z,4200,231.1,1000,1000,0,267369436,0,200,2.0
2026-08-17T07:48:57Z,4230,223.6,1000,1000,0,269223580,0,200,2.6
2026-08-17T07:49:27Z,4260,230.3,1000,1000,0,271142660,0,200,2.8
2026-08-17T07:49:57Z,4290,232.2,1000,1000,0,273060740,0,200,2.4
2026-08-17T07:50:27Z,4320,234.5,1000,1000,0,274979820,0,200,4.7
2026-08-17T07:50:57Z,4350,230.6,1000,1000,0,276833964,0,200,2.3
2026-08-17T07:51:27Z,4380,230.8,1000,1000,0,278753044,0,200,3.4
2026-08-17T07:51:57Z,4410,230.9,1000,1000,0,280671124,0,200,2.6
2026-08-17T07:52:27Z,4440,231.4,1000,1000,0,282590204,0,200,4.2
2026-08-17T07:52:57Z,4470,230.0,1000,1000,0,284444348,0,200,2.4
2026-08-17T07:53:27Z,4500,231.0,1000,1000,0,286362740,0,200,2.4
2026-08-17T07:53:57Z,4530,231.1,1000,1000,0,288280193,0,200,2.4
2026-08-17T07:54:27Z,4560,230.9,1000,1000,0,290198126,0,200,2.1
2026-08-17T07:54:57Z,4590,231.1,1000,1000,0,292052923,0,200,2.2
2026-08-17T07:55:27Z,4620,234.3,1000,1000,0,293970815,0,200,2.3
2026-08-17T07:55:57Z,4650,231.1,1000,1000,0,295888895,0,200,2.6
2026-08-17T07:56:28Z,4680,233.4,1000,1000,0,297807975,0,200,2.5
2026-08-17T07:56:57Z,4710,230.1,1000,1000,0,299662119,0,200,2.3
2026-08-17T07:57:27Z,4740,231.2,1000,1000,0,301581199,0,200,2.8
2026-08-17T07:57:57Z,4770,234.7,1000,1000,0,303499279,0,200,2.8
2026-08-17T07:58:27Z,4800,231.0,1000,1000,0,305354423,0,200,2.4
2026-08-17T07:58:57Z,4830,223.5,1000,1000,0,307272503,0,200,2.3
2026-08-17T07:59:27Z,4860,231.0,1000,1000,0,309190495,0,200,2.4
2026-08-17T07:59:57Z,4890,231.2,1000,1000,0,311108217,0,200,3.5
2026-08-17T08:00:27Z,4920,229.3,1000,1000,0,312963675,0,200,2.8
2026-08-17T08:00:57Z,4950,234.7,1000,1000,0,314878499,0,200,2.3
2026-08-17T08:01:27Z,4980,231.3,1000,1000,0,316796972,0,200,2.3
2026-08-17T08:01:57Z,5010,231.3,1000,1000,0,318715052,0,200,2.1
2026-08-17T08:02:27Z,5040,230.3,1000,1000,0,320570196,0,200,2.3
2026-08-17T08:02:57Z,5070,223.8,1000,1000,0,322488276,0,200,2.2
2026-08-17T08:03:27Z,5100,230.6,1000,1000,0,324407356,0,200,2.6
2026-08-17T08:03:57Z,5130,231.2,1000,1000,0,326325436,0,200,3.6
2026-08-17T08:04:27Z,5160,228.9,1000,1000,0,328180580,0,200,3.2
2026-08-17T08:04:57Z,5190,230.4,1000,1000,0,330097360,0,200,2.2
2026-08-17T08:05:27Z,5220,233.4,1000,1000,0,332017385,0,200,2.7
2026-08-17T08:05:58Z,5250,230.9,1000,1000,0,333935820,0,200,3.4
2026-08-17T08:06:27Z,5280,234.5,1000,1000,0,335790964,0,200,2.2
2026-08-17T08:06:57Z,5310,223.7,1000,1000,0,337709044,0,200,2.7
2026-08-17T08:07:27Z,5340,232.8,1000,1000,0,339628124,0,200,2.1
2026-08-17T08:07:57Z,5370,229.2,1000,1000,0,341482268,0,200,3.0
2026-08-17T08:08:27Z,5400,231.2,1000,1000,0,343398351,0,200,2.8
2026-08-17T08:08:57Z,5430,234.6,1000,1000,0,345316431,0,200,2.6
2026-08-17T08:09:27Z,5460,234.6,1000,1000,0,347235511,0,200,2.4
2026-08-17T08:09:57Z,5490,231.0,1000,1000,0,349089655,0,200,2.3
2026-08-17T08:10:27Z,5520,229.1,1000,1000,0,351009950,0,200,2.4
2026-08-17T08:10:57Z,5550,234.3,1000,1000,0,352927924,0,200,2.8
