timestamp,elapsed_sec,rss_mb,intern_size,established,flaps_total,msgs_sent_total,max_prefix_exceeded_total,readyz_code,readyz_ms
2026-09-13T23:18:24Z,0,469.2,1000,1000,0,1071534,0,200,6.9
2026-09-13T23:18:54Z,30,522.2,1000,1000,0,2951916,0,200,0.6
2026-09-13T23:19:25Z,60,496.4,1000,1000,0,5890108,0,200,0.5
2026-09-13T23:19:54Z,90,513.9,1000,1000,0,7775281,0,200,1.8
2026-09-13T23:20:24Z,120,512.7,1000,1000,0,9655340,0,200,0.6
2026-09-13T23:20:55Z,150,519.4,1000,1000,0,11602227,0,200,0.7
2026-09-13T23:21:24Z,180,494.0,1000,1000,0,13484508,0,200,0.8
2026-09-13T23:21:54Z,210,512.2,1000,1000,0,15358161,0,200,1.3
2026-09-13T23:22:24Z,240,546.2,1000,1000,0,17246166,0,200,0.6
2026-09-13T23:22:54Z,270,497.2,1000,1000,0,19189481,0,200,1.1
2026-09-13T23:23:24Z,300,509.2,1000,1000,0,21071365,0,200,1.1
2026-09-13T23:23:54Z,330,534.6,1000,1000,0,22950035,0,200,0.6
2026-09-13T23:24:24Z,360,500.3,1000,1000,0,24893091,0,200,0.5
2026-09-13T23:24:54Z,390,530.4,1000,1000,0,26778412,0,200,5.8
2026-09-13T23:25:24Z,420,514.7,1000,1000,0,28657324,0,200,0.5
2026-09-13T23:25:55Z,450,551.0,1000,1000,0,30600379,0,200,0.6
2026-09-13T23:26:24Z,480,529.5,1000,1000,0,32486492,0,200,1.9
2026-09-13T23:26:54Z,510,559.7,1000,1000,0,34364612,0,200,6.1
2026-09-13T23:27:25Z,540,529.8,1000,1000,0,36315660,0,200,1.0
2026-09-13T23:27:54Z,570,536.4,1000,1000,0,38193780,0,200,0.9
2026-09-13T23:28:24Z,600,530.4,1000,1000,0,40072900,0,200,0.5
2026-09-13T23:28:55Z,630,516.9,1000,1000,0,42022207,0,200,1.3
2026-09-13T23:29:24Z,660,533.4,1000,1000,0,43902068,0,200,0.5
2026-09-13T23:29:54Z,690,525.8,1000,1000,0,45775357,0,200,19.1
2026-09-13T23:30:25Z,720,498.3,1000,1000,0,47723244,0,200,0.6
2026-09-13T23:30:54Z,750,504.9,1000,1000,0,49604684,0,200,0.6
2026-09-13T23:31:24Z,780,548.6,1000,1000,0,51480484,0,200,2.3
