record_type,attempt,order,group,case,count,median_ns,criterion_stddev_ns,attempt_mean_ns,between_attempt_stddev_ns,range_pct,cv_pct,limit_pct,retained,hash_scale,diagnostic_pct,required_pct,two_x_noise_pct,decision,note
attempt,A1,1,attr_hash_only,many_unique,10000,295178.475,44019.057,,,,,,,,,,,,
attempt,B1,2,attr_hash_only,many_unique,10000,196823.960,760.950,,,,,,,,,,,,
attempt,B2,3,attr_hash_only,many_unique,10000,150100.050,484.569,,,,,,,,,,,,
attempt,A2,4,attr_hash_only,many_unique,10000,195576.158,58.154,,,,,,,,,,,,
attempt,A1,1,attr_hash_only,rich_independent_equal,10000,1598296.694,65701.604,,,,,,,,,,,,
attempt,B1,2,attr_hash_only,rich_independent_equal,10000,1447382.735,47212.042,,,,,,,,,,,,
attempt,B2,3,attr_hash_only,rich_independent_equal,10000,1409300.318,13322.558,,,,,,,,,,,,
attempt,A2,4,attr_hash_only,rich_independent_equal,10000,1349905.671,11173.118,,,,,,,,,,,,
attempt,A1,1,attr_hash_only,rich_shared_arc,10000,1011869.345,41293.529,,,,,,,,,,,,
attempt,B1,2,attr_hash_only,rich_shared_arc,10000,839276.420,2482.701,,,,,,,,,,,,
attempt,B2,3,attr_hash_only,rich_shared_arc,10000,838090.640,971.547,,,,,,,,,,,,
attempt,A2,4,attr_hash_only,rich_shared_arc,10000,838203.434,775.156,,,,,,,,,,,,
attempt,A1,1,attr_hash_only,typical_independent_equal,10000,294883.460,44203.270,,,,,,,,,,,,
attempt,B1,2,attr_hash_only,typical_independent_equal,10000,196159.401,334.388,,,,,,,,,,,,
attempt,B2,3,attr_hash_only,typical_independent_equal,10000,151660.620,362.396,,,,,,,,,,,,
attempt,A2,4,attr_hash_only,typical_independent_equal,10000,195772.155,554.350,,,,,,,,,,,,
attempt,A1,1,attr_hash_only,typical_independent_equal,100000,10095505.236,1254617.202,,,,,,,,,,,,
attempt,B1,2,attr_hash_only,typical_independent_equal,100000,9285207.514,28435.968,,,,,,,,,,,,
attempt,B2,3,attr_hash_only,typical_independent_equal,100000,6134199.556,15311.599,,,,,,,,,,,,
attempt,A2,4,attr_hash_only,typical_independent_equal,100000,9378648.354,29149.356,,,,,,,,,,,,
attempt,A1,1,attr_hash_only,typical_shared_arc,10000,216527.263,36499.320,,,,,,,,,,,,
attempt,B1,2,attr_hash_only,typical_shared_arc,10000,101293.120,532.756,,,,,,,,,,,,
