name, target, version, peers, prefixes per peer, required, received, monitor (s), elapsed (s), prefix received (s), testers (s), total time, max cpu %, max mem (GB), min idle%, min free mem (GB), flags, date,cores,Mem (GB), tester errors, failed, MSG, filters
rustbgpd,rustbgpd,rustbgpd 0.60.0,10,1000,9900,10000,0,2,1,1,8.24,6,0.037,99,103.467,,2026-07-25,64,125.29GB,6,0,,,
bird,bird,2.18+branch.master.0ee9f93bd076,10,1000,9900,10000,0,2,1,1,8.18,2,0.008,99,103.518,,2026-07-25,64,125.29GB,90000,0,,,
gobgp,gobgp,4.3.0,10,1000,9900,10000,1,3,1,2,10.32,101,0.038,97,103.415,,2026-07-25,64,125.29GB,0,0,,,
frr_c,frr_c,FRRouting 10.7.0-dev-my-manual-build (56356bd6440d) on Linux(6.17.0-35-generic).,10,1000,9900,10000,1,3,1,2,10.32,4,0.028,99,103.471,,2026-07-25,64,125.29GB,0,0,,,
rustbgpd,rustbgpd,rustbgpd 0.60.0,30,1000,29700,30000,0,3,1,2,9.85,22,0.106,97,103.309,,2026-07-25,64,125.29GB,12,0,,,
bird,bird,2.18+branch.master.0ee9f93bd076,30,1000,29700,30000,0,2,1,1,8.86,14,0.014,97,103.405,,2026-07-25,64,125.29GB,899724,0,,,
gobgp,gobgp,4.3.0,30,1000,29700,30000,0,4,1,3,10.9,866,0.068,81,103.233,,2026-07-25,64,125.29GB,0,0,,,
frr_c,frr_c,FRRouting 10.7.0-dev-my-manual-build (6fe0a04989d2) on Linux(6.17.0-35-generic).,30,1000,29700,30000,0,4,3,1,10.85,11,0.051,98,103.276,,2026-07-25,64,125.29GB,0,0,,,
rustbgpd,rustbgpd,rustbgpd 0.60.0,100,1000,99000,100000,0,3,1,2,11.79,131,0.225,94,102.975,,2026-07-25,64,125.29GB,23,0,,,
bird,bird,2.18+branch.master.0ee9f93bd076,100,1000,99000,100000,0,5,1,4,15.17,101,0.032,87,103.243,,2026-07-25,64,125.29GB,10791326,0,,,
gobgp,gobgp,4.3.0,100,1000,99000,100000,0,20,1,19,28.45,1293,0.179,72,103.021,,2026-07-25,64,125.29GB,0,0,,,
frr_c,frr_c,FRRouting 10.7.0-dev-my-manual-build (3cb8cccad312) on Linux(6.17.0-35-generic).,100,1000,99000,100000,0,7,6,1,15.99,65,0.131,96,103.14,,2026-07-25,64,125.29GB,0,0,,,
