stack,shape,n_runs,median_total_s,median_conv_s,median_cpu,median_mem_mib
bird,10x1000,3,9.23,2.0,3.0,9.2
bird,2x10000,3,9.22,2.0,1.0,9.2
bird,2x100000,3,13.2,3.0,6.0,27.6
frr_c,10x1000,3,10.32,3.0,3.0,27.6
frr_c,2x10000,3,9.28,3.0,6.0,36.9
frr_c,2x100000,3,13.26,4.0,92.0,228.4
gobgp,10x1000,3,10.29,3.0,140.0,37.9
gobgp,2x10000,3,10.35,3.0,82.0,45.1
gobgp,2x100000,3,16.45,6.0,580.0,204.8
rustbgpd,10x1000,3,8.28,2.0,6.0,37.9
rustbgpd,2x10000,3,8.21,2.0,7.0,48.1
rustbgpd,2x100000,3,12.33,3.0,41.0,212.0
