stack,shape,run,total_s,conv_s,cpu,mem
rustbgpd,10x1000,1,8.4,2,6,38.9
bird,10x1000,1,9.23,2,3,9.2
gobgp,10x1000,1,10.26,3,140,53.2
frr_c,10x1000,1,10.32,3,3,50.2
rustbgpd,2x10000,1,8.21,2,7,48.1
bird,2x10000,1,9.22,2,1,10.2
gobgp,2x10000,1,10.35,3,112,45.1
frr_c,2x10000,1,9.28,3,5,36.9
rustbgpd,2x100000,1,12.37,3,41,217.1
bird,2x100000,1,13.2,3,6,28.7
gobgp,2x100000,1,16.43,6,580,197.6
frr_c,2x100000,1,13.29,4,95,228.4
rustbgpd,10x1000,2,8.25,2,6,35.8
bird,10x1000,2,9.25,2,3,10.2
gobgp,10x1000,2,10.31,3,135,37.9
frr_c,10x1000,2,10.36,3,4,26.6
rustbgpd,2x10000,2,8.22,2,7,48.1
bird,2x10000,2,9.26,2,1,9.2
gobgp,2x10000,2,10.39,3,77,44.0
frr_c,2x10000,2,9.3,3,9,36.9
rustbgpd,2x100000,2,12.32,3,41,212.0
bird,2x100000,2,13.16,3,6,27.6
gobgp,2x100000,2,16.45,6,494,205.8
frr_c,2x100000,2,13.24,4,92,228.4
rustbgpd,10x1000,3,8.28,2,6,37.9
bird,10x1000,3,9.2,2,2,9.2
gobgp,10x1000,3,10.29,3,140,36.9
frr_c,10x1000,3,9.23,3,3,27.6
rustbgpd,2x10000,3,8.21,2,7,48.1
bird,2x10000,3,9.21,2,2,9.2
gobgp,2x10000,3,10.33,3,82,45.1
frr_c,2x10000,3,9.27,3,6,37.9
rustbgpd,2x100000,3,12.33,3,39,212.0
bird,2x100000,3,13.24,3,9,26.6
gobgp,2x100000,3,16.48,6,595,204.8
frr_c,2x100000,3,13.26,4,90,226.3
