source_file,name,target,version,peers,prefixes per peer,required,received,monitor (s),elapsed (s),prefix received (s),testers (s),total time,max cpu %,max mem (GB),min idle%,min free mem (GB),flags,date,cores,Mem (GB),tester errors,tester timeouts,failed,MSG,filters,max foreign cpu %,target image,tester version,monitor version
r01-s01-10x1000-01-rustbgpd.csv,rustbgpd v0.67.0,rustbgpd,rustbgpd 0.67.0,10,1000,9900,10000,0,2,1,1,8.22,6,0.029,99,108.05,,2026-08-29,64,125.29GB,0,0,,,,5,bgperf/rustbgpd:latest,2.19.2,4.8.0
r01-s01-10x1000-02-bird.csv,BIRD 2.19.2,bird,2.19.2,10,1000,9900,10000,1,2,1,1,9.22,2,0.011,99,108.178,,2026-08-29,64,125.29GB,0,0,,,,4,bgperf/bird:2.19.2,2.19.2,4.8.0
r01-s01-10x1000-03-frr_c.csv,FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,10,1000,9900,10000,0,3,2,1,9.3,5,0.03,100,108.167,,2026-08-29,64,125.29GB,0,0,,,,6,bgperf/frr_c:10.7.0,2.19.2,4.8.0
r01-s01-10x1000-04-gobgp.csv,GoBGP 4.8.0,gobgp,4.8.0,10,1000,9900,10000,1,3,1,2,10.34,132,0.116,97,108.139,,2026-08-29,64,125.29GB,0,0,,,,7,bgperf/gobgp:4.8.0,2.19.2,4.8.0
r01-s02-2x10000-01-rustbgpd.csv,rustbgpd v0.67.0,rustbgpd,rustbgpd 0.67.0,2,10000,19800,20000,0,2,1,1,8.24,6,0.039,99,108.167,,2026-08-29,64,125.29GB,0,0,,,,5,bgperf/rustbgpd:latest,2.19.2,4.8.0
r01-s02-2x10000-02-bird.csv,BIRD 2.19.2,bird,2.19.2,2,10000,19800,20000,1,2,1,1,9.31,1,0.009,99,108.207,,2026-08-29,64,125.29GB,0,0,,,,5,bgperf/bird:2.19.2,2.19.2,4.8.0
r01-s02-2x10000-03-frr_c.csv,FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,2,10000,19800,20000,1,3,1,2,10.36,5,0.041,99,108.179,,2026-08-29,64,125.29GB,0,0,,,,5,bgperf/frr_c:10.7.0,2.19.2,4.8.0
r01-s02-2x10000-04-gobgp.csv,GoBGP 4.8.0,gobgp,4.8.0,2,10000,19800,20000,1,3,1,2,10.34,91,0.076,98,108.138,,2026-08-29,64,125.29GB,0,0,,,,4,bgperf/gobgp:4.8.0,2.19.2,4.8.0
r01-s03-2x100000-01-rustbgpd.csv,rustbgpd v0.67.0,rustbgpd,rustbgpd 0.67.0,2,100000,198000,200000,0,3,1,2,12.41,39,0.197,94,107.712,,2026-08-29,64,125.29GB,0,0,,,,6,bgperf/rustbgpd:latest,2.19.2,4.8.0
r01-s03-2x100000-02-bird.csv,BIRD 2.19.2,bird,2.19.2,2,100000,198000,200000,1,3,1,2,13.43,6,0.028,93,107.872,,2026-08-29,64,125.29GB,0,0,,,,5,bgperf/bird:2.19.2,2.19.2,4.8.0
r01-s03-2x100000-03-frr_c.csv,FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,2,100000,198000,200000,0,4,2,2,13.58,83,0.264,95,107.631,,2026-08-29,64,125.29GB,0,0,,,,6,bgperf/frr_c:10.7.0,2.19.2,4.8.0
r01-s03-2x100000-04-gobgp.csv,GoBGP 4.8.0,gobgp,4.8.0,2,100000,198000,200000,1,4,1,3,14.59,791,0.378,82,107.522,,2026-08-29,64,125.29GB,0,0,,,,5,bgperf/gobgp:4.8.0,2.19.2,4.8.0
r01-s04-30x1000-01-rustbgpd.csv,rustbgpd v0.67.0,rustbgpd,rustbgpd 0.67.0,30,1000,29700,30000,0,3,1,2,9.8,17,0.065,99,108.069,,2026-08-29,64,125.29GB,0,0,,,,6,bgperf/rustbgpd:latest,2.19.2,4.8.0
r01-s04-30x1000-02-bird.csv,BIRD 2.19.2,bird,2.19.2,30,1000,29700,30000,1,3,1,2,10.81,15,0.013,97,108.121,,2026-08-29,64,125.29GB,0,0,,,,6,bgperf/bird:2.19.2,2.19.2,4.8.0
r01-s04-30x1000-03-frr_c.csv,FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,30,1000,29700,30000,0,4,3,1,10.9,9,0.058,99,108.07,,2026-08-29,64,125.29GB,0,0,,,,5,bgperf/frr_c:10.7.0,2.19.2,4.8.0
r01-s04-30x1000-04-gobgp.csv,GoBGP 4.8.0,gobgp,4.8.0,30,1000,29700,30000,1,4,1,3,11.96,1306,0.572,73,107.555,,2026-08-29,64,125.29GB,0,0,,,,5,bgperf/gobgp:4.8.0,2.19.2,4.8.0
r01-s05-100x1000-01-rustbgpd.csv,rustbgpd v0.67.0,rustbgpd,rustbgpd 0.67.0,100,1000,99000,0,88,16,0,16,112.57,7,0.032,99,108.14,,2026-08-29,64,125.29GB,0,0,FAILED,FAILED: stuck received count 0 neighbors_checked 0,,4,bgperf/rustbgpd:latest,2.19.2,4.8.0
r01-s05-100x1000-02-bird.csv,BIRD 2.19.2,bird,2.19.2,100,1000,99000,100000,0,5,1,4,13.94,101,0.033,88,107.973,,2026-08-29,64,125.29GB,0,0,,,,4,bgperf/bird:2.19.2,2.19.2,4.8.0
r01-s05-100x1000-03-frr_c.csv,FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,100,1000,99000,100000,1,7,5,2,17.07,24,0.153,98,107.87,,2026-08-29,64,125.29GB,0,0,,,,5,bgperf/frr_c:10.7.0,2.19.2,4.8.0
r01-s05-100x1000-04-gobgp.csv,GoBGP 4.8.0,gobgp,4.8.0,100,1000,99000,100000,0,16,1,15,24.62,2584,4.82,48,103.016,,2026-08-29,64,125.29GB,0,0,,,,6,bgperf/gobgp:4.8.0,2.19.2,4.8.0
r02-s01-2x10000-01-bird.csv,BIRD 2.19.2,bird,2.19.2,2,10000,19800,20000,1,2,1,1,9.25,1,0.011,99,107.908,,2026-08-29,64,125.29GB,0,0,,,,7,bgperf/bird:2.19.2,2.19.2,4.8.0
r02-s01-2x10000-02-gobgp.csv,GoBGP 4.8.0,gobgp,4.8.0,2,10000,19800,20000,1,3,1,2,10.41,70,0.076,98,108.06,,2026-08-29,64,125.29GB,0,0,,,,5,bgperf/gobgp:4.8.0,2.19.2,4.8.0
r02-s01-2x10000-03-rustbgpd.csv,rustbgpd v0.67.0,rustbgpd,rustbgpd 0.67.0,2,10000,19800,20000,0,2,1,1,8.28,5,0.038,99,108.119,,2026-08-29,64,125.29GB,0,0,,,,6,bgperf/rustbgpd:latest,2.19.2,4.8.0
r02-s01-2x10000-04-frr_c.csv,FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,2,10000,19800,20000,0,3,2,1,9.32,6,0.042,99,108.104,,2026-08-29,64,125.29GB,0,0,,,,5,bgperf/frr_c:10.7.0,2.19.2,4.8.0
r02-s02-2x100000-01-bird.csv,BIRD 2.19.2,bird,2.19.2,2,100000,198000,200000,1,3,2,1,13.54,10,0.029,94,107.871,,2026-08-29,64,125.29GB,0,0,,,,5,bgperf/bird:2.19.2,2.19.2,4.8.0
r02-s02-2x100000-02-gobgp.csv,GoBGP 4.8.0,gobgp,4.8.0,2,100000,198000,200000,1,4,1,3,14.57,756,0.393,82,107.494,,2026-08-29,64,125.29GB,0,0,,,,4,bgperf/gobgp:4.8.0,2.19.2,4.8.0
r02-s02-2x100000-03-rustbgpd.csv,rustbgpd v0.67.0,rustbgpd,rustbgpd 0.67.0,2,100000,198000,200000,0,3,1,2,12.49,37,0.19,94,107.651,,2026-08-29,64,125.29GB,0,0,,,,6,bgperf/rustbgpd:latest,2.19.2,4.8.0
r02-s02-2x100000-04-frr_c.csv,FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,2,100000,198000,200000,0,4,2,2,13.45,87,0.267,96,107.581,,2026-08-29,64,125.29GB,0,0,,,,7,bgperf/frr_c:10.7.0,2.19.2,4.8.0
r02-s03-30x1000-01-bird.csv,BIRD 2.19.2,bird,2.19.2,30,1000,29700,30000,0,3,1,2,9.78,15,0.012,98,108.109,,2026-08-29,64,125.29GB,0,0,,,,4,bgperf/bird:2.19.2,2.19.2,4.8.0
r02-s03-30x1000-02-gobgp.csv,GoBGP 4.8.0,gobgp,4.8.0,30,1000,29700,30000,1,4,1,3,11.93,1339,0.583,72,107.546,,2026-08-29,64,125.29GB,0,0,,,,5,bgperf/gobgp:4.8.0,2.19.2,4.8.0
r02-s03-30x1000-03-rustbgpd.csv,rustbgpd v0.67.0,rustbgpd,rustbgpd 0.67.0,30,1000,29700,30000,0,3,1,2,9.82,27,0.106,99,107.973,,2026-08-29,64,125.29GB,0,0,,,,6,bgperf/rustbgpd:latest,2.19.2,4.8.0
r02-s03-30x1000-04-frr_c.csv,FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,30,1000,29700,30000,0,4,3,1,10.83,10,0.057,99,108.028,,2026-08-29,64,125.29GB,0,0,,,,6,bgperf/frr_c:10.7.0,2.19.2,4.8.0
r02-s04-100x1000-01-bird.csv,BIRD 2.19.2,bird,2.19.2,100,1000,99000,100000,0,5,1,4,14.06,100,0.031,87,107.93,,2026-08-29,64,125.29GB,0,0,,,,4,bgperf/bird:2.19.2,2.19.2,4.8.0
r02-s04-100x1000-02-gobgp.csv,GoBGP 4.8.0,gobgp,4.8.0,100,1000,99000,100000,8,16,1,15,33.06,2307,4.331,50,103.491,,2026-08-29,64,125.29GB,0,0,,,,6,bgperf/gobgp:4.8.0,2.19.2,4.8.0
r02-s04-100x1000-03-rustbgpd.csv,rustbgpd v0.67.0,rustbgpd,rustbgpd 0.67.0,100,1000,99000,100000,0,3,1,2,11.91,126,0.232,95,107.56,,2026-08-29,64,125.29GB,0,0,,,,4,bgperf/rustbgpd:latest,2.19.2,4.8.0
r02-s04-100x1000-04-frr_c.csv,FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,100,1000,99000,100000,0,7,5,2,15.94,24,0.152,97,107.818,,2026-08-29,64,125.29GB,0,0,,,,8,bgperf/frr_c:10.7.0,2.19.2,4.8.0
r02-s05-10x1000-01-bird.csv,BIRD 2.19.2,bird,2.19.2,10,1000,9900,10000,1,2,1,1,9.21,2,0.01,99,108.081,,2026-08-29,64,125.29GB,0,0,,,,5,bgperf/bird:2.19.2,2.19.2,4.8.0
r02-s05-10x1000-02-gobgp.csv,GoBGP 4.8.0,gobgp,4.8.0,10,1000,9900,10000,1,4,1,3,11.39,146,0.112,96,108.029,,2026-08-29,64,125.29GB,0,0,,,,4,bgperf/gobgp:4.8.0,2.19.2,4.8.0
r02-s05-10x1000-03-rustbgpd.csv,rustbgpd v0.67.0,rustbgpd,rustbgpd 0.67.0,10,1000,9900,10000,0,2,1,1,8.21,6,0.027,99,108.078,,2026-08-29,64,125.29GB,0,0,,,,6,bgperf/rustbgpd:latest,2.19.2,4.8.0
r02-s05-10x1000-04-frr_c.csv,FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,10,1000,9900,10000,0,3,2,1,9.28,5,0.03,99,108.061,,2026-08-29,64,125.29GB,0,0,,,,5,bgperf/frr_c:10.7.0,2.19.2,4.8.0
r03-s01-2x100000-01-gobgp.csv,GoBGP 4.8.0,gobgp,4.8.0,2,100000,198000,200000,1,4,2,2,14.62,670,0.405,84,107.449,,2026-08-29,64,125.29GB,0,0,,,,9,bgperf/gobgp:4.8.0,2.19.2,4.8.0
r03-s01-2x100000-02-frr_c.csv,FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,2,100000,198000,200000,0,4,2,2,13.53,84,0.254,94,107.606,,2026-08-29,64,125.29GB,0,0,,,,6,bgperf/frr_c:10.7.0,2.19.2,4.8.0
r03-s01-2x100000-03-bird.csv,BIRD 2.19.2,bird,2.19.2,2,100000,198000,200000,1,3,1,2,13.54,5,0.028,95,107.831,,2026-08-29,64,125.29GB,0,0,,,,6,bgperf/bird:2.19.2,2.19.2,4.8.0
r03-s01-2x100000-04-rustbgpd.csv,rustbgpd v0.67.0,rustbgpd,rustbgpd 0.67.0,2,100000,198000,200000,0,3,1,2,12.45,41,0.199,93,107.663,,2026-08-29,64,125.29GB,0,0,,,,7,bgperf/rustbgpd:latest,2.19.2,4.8.0
r03-s02-30x1000-01-gobgp.csv,GoBGP 4.8.0,gobgp,4.8.0,30,1000,29700,30000,0,4,1,3,10.92,1355,0.552,72,107.538,,2026-08-29,64,125.29GB,0,0,,,,8,bgperf/gobgp:4.8.0,2.19.2,4.8.0
