name,target,version,peers,prefixes per peer,required,received,monitor (s),elapsed (s),prefix received (s),testers (s),total time,max cpu %,max mem (GB),min idle%,min free mem (GB),flags,date,cores,Mem (GB),tester errors,tester timeouts,failed,MSG,filters,max foreign cpu %,target image,tester version,monitor version,source_file
rustbgpd v0.68.0,rustbgpd,rustbgpd 0.68.0,10,1000,9900,10000,0,2,1,1,8.29,6,0.028,99,106.219,,2026-08-30,64,125.29GB,0,0,,,,4,bgperf/rustbgpd:latest,2.19.2,4.8.0,r01-s01-10x1000-01-rustbgpd.csv
BIRD 2.19.2,bird,2.19.2,10,1000,9900,10000,1,2,1,1,9.2,2,0.01,99,106.352,,2026-08-30,64,125.29GB,0,0,,,,8,bgperf/bird:2.19.2,2.19.2,4.8.0,r01-s01-10x1000-02-bird.csv
FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,10,1000,9900,10000,0,3,2,1,9.29,4,0.036,99,106.343,,2026-08-30,64,125.29GB,0,0,,,,9,bgperf/frr_c:10.7.0,2.19.2,4.8.0,r01-s01-10x1000-03-frr_c.csv
GoBGP 4.8.0,gobgp,4.8.0,10,1000,9900,10000,1,4,1,3,11.41,135,0.104,96,106.307,,2026-08-30,64,125.29GB,0,0,,,,9,bgperf/gobgp:4.8.0,2.19.2,4.8.0,r01-s01-10x1000-04-gobgp.csv
rustbgpd v0.68.0,rustbgpd,rustbgpd 0.68.0,2,10000,19800,20000,0,2,1,1,8.27,7,0.038,99,106.301,,2026-08-30,64,125.29GB,0,0,,,,7,bgperf/rustbgpd:latest,2.19.2,4.8.0,r01-s02-2x10000-01-rustbgpd.csv
BIRD 2.19.2,bird,2.19.2,2,10000,19800,20000,1,3,1,2,10.27,1,0.01,99,106.377,,2026-08-30,64,125.29GB,0,0,,,,4,bgperf/bird:2.19.2,2.19.2,4.8.0,r01-s02-2x10000-02-bird.csv
FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,2,10000,19800,20000,0,3,2,1,9.34,6,0.041,99,106.301,,2026-08-30,64,125.29GB,0,0,,,,5,bgperf/frr_c:10.7.0,2.19.2,4.8.0,r01-s02-2x10000-03-frr_c.csv
GoBGP 4.8.0,gobgp,4.8.0,2,10000,19800,20000,1,3,1,2,10.39,82,0.075,98,106.315,,2026-08-30,64,125.29GB,0,0,,,,4,bgperf/gobgp:4.8.0,2.19.2,4.8.0,r01-s02-2x10000-04-gobgp.csv
rustbgpd v0.68.0,rustbgpd,rustbgpd 0.68.0,2,100000,198000,200000,0,3,1,2,12.38,39,0.197,93,105.835,,2026-08-30,64,125.29GB,0,0,,,,7,bgperf/rustbgpd:latest,2.19.2,4.8.0,r01-s03-2x100000-01-rustbgpd.csv
BIRD 2.19.2,bird,2.19.2,2,100000,198000,200000,1,3,1,2,13.39,8,0.028,95,106.005,,2026-08-30,64,125.29GB,0,0,,,,5,bgperf/bird:2.19.2,2.19.2,4.8.0,r01-s03-2x100000-02-bird.csv
FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,2,100000,198000,200000,0,4,2,2,13.56,85,0.267,96,105.741,,2026-08-30,64,125.29GB,0,0,,,,7,bgperf/frr_c:10.7.0,2.19.2,4.8.0,r01-s03-2x100000-03-frr_c.csv
GoBGP 4.8.0,gobgp,4.8.0,2,100000,198000,200000,1,4,1,3,14.7,689,0.396,83,105.657,,2026-08-30,64,125.29GB,0,0,,,,4,bgperf/gobgp:4.8.0,2.19.2,4.8.0,r01-s03-2x100000-04-gobgp.csv
rustbgpd v0.68.0,rustbgpd,rustbgpd 0.68.0,30,1000,29700,30000,0,3,1,2,9.79,21,0.114,99,106.141,,2026-08-30,64,125.29GB,0,0,,,,5,bgperf/rustbgpd:latest,2.19.2,4.8.0,r01-s04-30x1000-01-rustbgpd.csv
BIRD 2.19.2,bird,2.19.2,30,1000,29700,30000,0,3,1,2,9.75,15,0.013,98,106.28,,2026-08-30,64,125.29GB,0,0,,,,10,bgperf/bird:2.19.2,2.19.2,4.8.0,r01-s04-30x1000-02-bird.csv
FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,30,1000,29700,30000,1,3,2,1,10.8,10,0.057,99,106.218,,2026-08-30,64,125.29GB,0,0,,,,4,bgperf/frr_c:10.7.0,2.19.2,4.8.0,r01-s04-30x1000-03-frr_c.csv
GoBGP 4.8.0,gobgp,4.8.0,30,1000,29700,30000,0,4,1,3,10.94,1473,0.549,70,105.736,,2026-08-30,64,125.29GB,0,0,,,,5,bgperf/gobgp:4.8.0,2.19.2,4.8.0,r01-s04-30x1000-04-gobgp.csv
rustbgpd v0.68.0,rustbgpd,rustbgpd 0.68.0,100,1000,99000,100000,0,3,1,2,11.96,120,0.243,95,105.73,,2026-08-30,64,125.29GB,0,0,,,,4,bgperf/rustbgpd:latest,2.19.2,4.8.0,r01-s05-100x1000-01-rustbgpd.csv
BIRD 2.19.2,bird,2.19.2,100,1000,99000,100000,9,5,1,4,23.36,100,0.031,87,106.123,,2026-08-30,64,125.29GB,0,0,,,,3,bgperf/bird:2.19.2,2.19.2,4.8.0,r01-s05-100x1000-02-bird.csv
FRR 10.7.0,frr_c,FRRouting 10.7.0-my-manual-build,100,1000,99000,100000,0,7,6,1,16.08,25,0.151,97,105.945,,2026-08-30,64,125.29GB,0,0,,,,5,bgperf/frr_c:10.7.0,2.19.2,4.8.0,r01-s05-100x1000-03-frr_c.csv
