phase	boundary	jemalloc_allocated_bytes	jemalloc_active_bytes	jemalloc_resident_bytes	jemalloc_mapped_bytes	vmrss_kib	vmhwm_kib	vmpeak_kib	vmsize_kib
baseline	settled	85282272	86286336	137281536	163049472	126896	126896	837296	837296
first-borr	pre	85338392	86343680	137281536	163049472	126896	126896	837296	837296
first-borr	post	90932000	91996160	137281536	163049472	126988	126988	837296	837296
replay-one	pre	90936064	92000256	137281536	163049472	126988	126988	837296	837296
replay-one	post	90906496	91987968	137281536	163049472	127096	127096	837296	837296
duplicate-borr	pre	90891712	92004352	137281536	163049472	127096	127096	837296	837296
duplicate-borr	post	90839672	91975680	139288576	165056512	129748	129748	841392	841392
eorr	pre	90822848	91963392	139288576	165056512	129748	129748	841392	841392
eorr	post	92785456	94040064	158162944	183406592	143960	166188	896688	896688
restored	pre	92765520	94015488	158162944	183406592	143960	166188	896688	896688
restored	post	93295208	94765056	166821888	192045056	151944	151944	902320	902320
timeout-borr	pre	93255272	94740480	166821888	192045056	151944	151944	902320	902320
timeout-borr	post	98850808	100417536	173113344	198336512	158068	158068	910000	910000
timeout-complete	pre	98819704	100433920	173113344	198336512	158068	158068	910000	910000
timeout-complete	post	93069112	94666752	188399616	213622784	173372	194348	936112	936112
