group,case,phase,mean_ns_per_iter,ci95_low_ns,ci95_high_ns,mean_ns_per_event
event_history_manager_self_time,evpn_best_changed_ehm,baseline,1275429.9,1159757.3,1407603.6,4982.1
event_history_manager_self_time,evpn_best_changed_ehm,candidate,64995.0,56511.8,75047.4,253.9
event_history_manager_self_time,evpn_best_changed_noop,baseline,18960.9,18540.6,19628.8,74.1
event_history_manager_self_time,evpn_best_changed_noop,candidate,16398.1,16291.0,16491.6,64.1
event_history_manager_self_time,route_added_ehm,baseline,422308.1,403131.5,441523.9,1649.6
event_history_manager_self_time,route_added_ehm,candidate,42291.0,38541.2,45967.6,165.2
event_history_manager_self_time,route_added_noop,baseline,7063.4,6887.4,7309.6,27.6
event_history_manager_self_time,route_added_noop,candidate,6629.3,6452.7,6852.5,25.9
event_history_manager_self_time,route_policy_filtered_ehm,baseline,501221.3,462717.8,537887.2,1957.9
event_history_manager_self_time,route_policy_filtered_ehm,candidate,37591.0,35229.4,39787.3,146.8
event_history_manager_self_time,route_policy_filtered_noop,baseline,11170.7,11113.0,11237.4,43.6
event_history_manager_self_time,route_policy_filtered_noop,candidate,11400.6,11320.0,11483.0,44.5
event_history_sqlite_end_to_end,evpn_best_changed_full,baseline,92612915.3,55996504.2,136057300.3,361769.2
event_history_sqlite_end_to_end,evpn_best_changed_full,candidate,6115539.0,5901970.7,6349871.0,23888.8
event_history_sqlite_end_to_end,route_added_full,baseline,18572843.7,11058267.5,27671034.5,72550.2
event_history_sqlite_end_to_end,route_added_full,candidate,9898318.4,8314789.2,11250074.8,38665.3
event_history_sqlite_end_to_end,route_policy_filtered_full,baseline,115268858.4,56475502.3,177403096.0,450269.0
event_history_sqlite_end_to_end,route_policy_filtered_full,candidate,9370022.6,7068909.6,11666341.3,36601.7
