round,binary,case,ci95_low_us,mean_us,ci95_high_us
1,baseline,route_added_noop,7.2159,7.2662,7.3661
1,baseline,route_policy_filtered_noop,11.540,11.625,11.692
1,baseline,evpn_best_changed_noop,20.243,20.528,20.832
1,candidate,route_added_noop,8.2510,8.3920,8.5828
1,candidate,route_policy_filtered_noop,12.313,12.404,12.525
1,candidate,evpn_best_changed_noop,16.942,17.092,17.287
2,baseline,route_added_noop,7.6148,7.6922,7.8248
2,baseline,route_policy_filtered_noop,11.770,11.827,11.896
2,baseline,evpn_best_changed_noop,20.056,20.707,21.067
2,candidate,route_added_noop,7.8654,8.0129,8.2371
2,candidate,route_policy_filtered_noop,12.253,12.423,12.530
2,candidate,evpn_best_changed_noop,19.119,19.266,19.465
3,baseline,route_added_noop,7.8571,7.9885,8.1858
3,baseline,route_policy_filtered_noop,11.913,11.997,12.097
3,baseline,evpn_best_changed_noop,16.758,16.906,17.196
3,candidate,route_added_noop,7.3227,7.4296,7.5960
3,candidate,route_policy_filtered_noop,11.392,11.494,11.553
3,candidate,evpn_best_changed_noop,19.069,19.108,19.191
