campaign,benchmark,control_median_ns,control_median_ci95_low_ns,control_median_ci95_high_ns,baseline_median_ns,baseline_median_ci95_low_ns,baseline_median_ci95_high_ns,optimized_median_ns,optimized_median_ci95_low_ns,optimized_median_ci95_high_ns,mean_change_percent,mean_change_ci95_low_percent,mean_change_ci95_high_percent
prepared_attribute_memo,no_policy/1,,,,45970.101,45920.693,46120.734,35487.917,35412.998,35559.222,-22.309,-23.162,-21.202
prepared_attribute_memo,no_policy/8,,,,252769.826,251581.802,253628.145,173382.055,173240.572,173576.859,-31.659,-32.290,-31.198
prepared_attribute_memo,no_policy/64,,,,1919890.001,1915640.833,1934209.463,1328304.163,1317809.757,1348025.607,-30.507,-31.752,-29.208
prepared_attribute_memo,no_policy/256,,,,7794776.667,7790336.199,7822881.444,5282802.125,5214165.750,5341812.103,-31.295,-32.569,-29.526
prepared_attribute_memo,with_policy/1,,,,49476.714,49431.847,49518.369,39557.690,39487.233,39646.247,-20.262,-20.777,-19.901
prepared_attribute_memo,with_policy/8,,,,256996.287,256521.659,257256.669,181819.409,181224.062,182554.940,-29.290,-29.839,-28.727
prepared_attribute_memo,with_policy/64,,,,1918823.019,1915030.553,1922350.355,1325579.140,1322167.947,1328032.441,-30.921,-31.337,-30.527
prepared_attribute_memo,with_policy/256,,,,7777760.780,7744007.683,7797608.013,6406677.776,6344872.409,6452947.556,-18.341,-19.445,-17.440
update_group_probe_recovery,no_policy/1,21148.069,21059.534,21257.199,36394.844,36363.859,36516.915,35907.800,35872.737,35967.680,-1.8412,-2.7435,-1.2329
update_group_probe_recovery,no_policy/8,56414.747,56291.493,56549.173,180416.332,179670.585,180663.951,94703.911,94618.694,94927.616,-47.3324,-47.4814,-47.1730
update_group_probe_recovery,no_policy/64,318064.460,317583.116,318332.361,1381954.658,1377848.537,1389003.030,543300.999,542496.625,544227.141,-60.9817,-61.4330,-60.5897
update_group_probe_recovery,no_policy/256,1250769.000,1236269.451,1267320.187,5886448.000,5702134.944,5957646.844,2067886.000,2067079.735,2068498.975,-64.2830,-64.8230,-63.7020
update_group_probe_recovery,with_policy/1,24493.933,24391.138,24623.157,40011.638,39978.325,40212.521,39992.593,39954.961,40072.560,-0.9794,-2.0815,-0.1220
update_group_probe_recovery,with_policy/8,62744.546,62574.341,62845.931,183180.659,183002.260,183595.369,102688.508,102531.042,102821.998,-43.9863,-44.0887,-43.8736
update_group_probe_recovery,with_policy/64,356085.562,355773.625,356425.298,1369275.703,1367974.589,1370591.819,584360.773,583052.774,585298.577,-57.5034,-57.8601,-57.2347
update_group_probe_recovery,with_policy/256,1371785.000,1368329.724,1385513.848,5340938.000,5332536.357,5347448.857,2234080.000,2223837.552,2240466.667,-58.3110,-58.5400,-58.1380
ixp_ebgp_classification,homogeneous_remote_asn/8,,,,77151.05196496213,77088.53738839286,77612.30276442308,77397.09139784946,77261.56401985112,78613.90483870968,1.4058,-0.4351,3.2158
ixp_ebgp_classification,distinct_remote_asns/8,,,,148784.5370588235,148700.26393939395,149186.39250000002,78203.42427035331,78137.8054435484,78337.39568496021,-47.7098,-48.2351,-47.2977
ixp_ebgp_classification,homogeneous_remote_asn/64,,,,384490.43694444443,383615.1657894737,385554.14285714284,382716.875,382447.5807692308,383250.08687500004,-0.8463,-1.4132,-0.3751
ixp_ebgp_classification,distinct_remote_asns/64,,,,1033448.9583333333,1032492.9588675213,1034177.6857142857,384932.36115384614,384719.013125,385411.27426900587,-62.7287,-62.7862,-62.6665
ixp_ebgp_classification,homogeneous_remote_asn/256,,,,1433251.6011904762,1431381.6153846155,1435012.0969696972,1430894.5583333333,1423780.777777778,1443890.1333333333,0.2253,-0.2453,0.7454
ixp_ebgp_classification,distinct_remote_asns/256,,,,4031301.9416666664,4018128.7302631577,4041362.9107142854,1428527.4833333334,1426781.75,1430560.1296296297,-64.4728,-64.7642,-64.0720
