phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1848497.20	2026-07-25T22:19:52Z	3.79	64/64	none	108878596	1048576	0	0	1
prebuild	1848500.36	2026-07-25T22:19:55Z	3.79	64/64	none	108873660	1048576	0	0	1
prebuild	1848503.51	2026-07-25T22:19:59Z	3.49	64/64	none	108874580	1048576	0	0	1
prebuild	1848506.67	2026-07-25T22:20:02Z	3.49	64/64	none	108934340	1048576	0	0	1
prebuild	1848509.82	2026-07-25T22:20:05Z	3.37	64/64	none	108901592	1048576	0	0	1
prebuild	1848512.98	2026-07-25T22:20:08Z	3.10	64/64	none	108915988	1048576	0	0	1
prebuild	1848516.13	2026-07-25T22:20:11Z	3.10	64/64	none	108935356	1048576	0	0	1
prebuild	1848519.29	2026-07-25T22:20:14Z	2.85	64/64	none	108941100	1048576	0	0	1
prebuild	1848522.45	2026-07-25T22:20:18Z	2.70	64/64	none	108949308	1048576	0	0	1
prebuild	1848525.60	2026-07-25T22:20:21Z	2.70	64/64	none	108949492	1048576	0	0	1
prebuild	1848528.76	2026-07-25T22:20:24Z	2.49	64/64	none	108951312	1048576	0	0	1
prebuild	1848531.92	2026-07-25T22:20:27Z	2.49	64/64	none	108945652	1048576	0	0	1
prebuild	1848535.08	2026-07-25T22:20:30Z	2.37	64/64	none	108949108	1048576	0	0	1
prebuild	1848538.23	2026-07-25T22:20:33Z	2.26	64/64	none	108953280	1048576	0	0	1
prebuild	1848541.39	2026-07-25T22:20:37Z	2.26	64/64	none	108948780	1048576	0	0	1
prebuild	1848544.55	2026-07-25T22:20:40Z	2.08	64/64	none	108946536	1048576	0	0	1
prebuild	1848547.71	2026-07-25T22:20:43Z	1.99	64/64	none	108957628	1048576	0	0	1
postbuild	1848550.14	2026-07-25T22:20:45Z	1.99	64/64	none	108937932	1048576	0	0	1
