phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1849069.36	2026-07-25T22:29:24Z	4.17	64/64	none	108928632	1048576	0	0	1
prebuild	1849072.52	2026-07-25T22:29:28Z	3.91	64/64	none	108928444	1048576	0	0	1
prebuild	1849075.67	2026-07-25T22:29:31Z	3.91	64/64	none	108933732	1048576	0	0	1
prebuild	1849078.83	2026-07-25T22:29:34Z	3.60	64/64	none	108936692	1048576	0	0	1
prebuild	1849081.98	2026-07-25T22:29:37Z	3.60	64/64	none	108939192	1048576	0	0	1
prebuild	1849085.14	2026-07-25T22:29:40Z	3.31	64/64	none	108940688	1048576	0	0	1
prebuild	1849088.29	2026-07-25T22:29:43Z	3.04	64/64	none	108942792	1048576	0	0	1
prebuild	1849091.45	2026-07-25T22:29:47Z	3.04	64/64	none	108939212	1048576	0	0	1
prebuild	1849094.61	2026-07-25T22:29:50Z	2.80	64/64	none	108942184	1048576	0	0	1
prebuild	1849097.77	2026-07-25T22:29:53Z	2.58	64/64	none	108948524	1048576	0	0	1
prebuild	1849100.92	2026-07-25T22:29:56Z	2.58	64/64	none	108949124	1048576	0	0	1
prebuild	1849104.08	2026-07-25T22:29:59Z	2.37	64/64	none	108947584	1048576	0	0	1
prebuild	1849107.23	2026-07-25T22:30:02Z	2.34	64/64	none	108845504	1048576	0	0	1
prebuild	1849110.38	2026-07-25T22:30:06Z	2.34	64/64	none	108858092	1048576	0	0	1
prebuild	1849113.54	2026-07-25T22:30:09Z	2.15	64/64	none	108852200	1048576	0	0	1
prebuild	1849116.70	2026-07-25T22:30:12Z	2.15	64/64	none	108858216	1048576	0	0	1
prebuild	1849119.86	2026-07-25T22:30:15Z	1.98	64/64	none	108919568	1048576	0	0	1
postbuild	1849122.24	2026-07-25T22:30:17Z	1.90	64/64	none	108914876	1048576	0	0	1
