phase	monotonic_seconds	utc	load_1m	governors	competitors	mem_available_kib	fd_limit	pswpin_delta	pswpout_delta	ports_free
prebuild	1849338.71	2026-07-25T22:33:54Z	3.10	64/64	none	108954316	1048576	0	0	1
prebuild	1849341.87	2026-07-25T22:33:57Z	3.10	64/64	none	108950808	1048576	0	0	1
prebuild	1849345.02	2026-07-25T22:34:00Z	2.85	64/64	none	108953308	1048576	0	0	1
prebuild	1849348.18	2026-07-25T22:34:03Z	2.79	64/64	none	108850744	1048576	0	0	1
prebuild	1849351.33	2026-07-25T22:34:06Z	2.79	64/64	none	108882908	1048576	0	0	1
prebuild	1849354.49	2026-07-25T22:34:10Z	2.56	64/64	none	108904340	1048576	0	0	1
prebuild	1849357.64	2026-07-25T22:34:13Z	2.36	64/64	none	108920768	1048576	0	0	1
prebuild	1849360.80	2026-07-25T22:34:16Z	2.36	64/64	none	108938304	1048576	0	0	1
prebuild	1849363.95	2026-07-25T22:34:19Z	2.17	64/64	none	108949284	1048576	0	0	1
prebuild	1849367.11	2026-07-25T22:34:22Z	2.17	64/64	none	108960112	1048576	0	0	1
prebuild	1849370.27	2026-07-25T22:34:25Z	2.07	64/64	none	108962060	1048576	0	0	1
prebuild	1849373.43	2026-07-25T22:34:29Z	1.91	64/64	none	108960288	1048576	0	0	1
postbuild	1849375.83	2026-07-25T22:34:31Z	1.91	64/64	none	108939364	1048576	0	0	1
