campaign	peers	base_median_mean_ns	head_median_mean_ns	mean_delta_percent	delta_stddev_percent	min_delta_percent	max_delta_percent
same_sha	1	32126.325558617	30873.524113419	-3.837347795	3.113611494	-6.111093797	1.738570237
same_sha	8	65459.716030476	63877.223891244	-2.402762476	1.672966366	-4.654449666	0.410383788
same_sha	64	334310.690348554	332874.197153974	-0.428254853	0.510257037	-1.185526882	0.209993947
same_sha	256	1275512.578468831	1271039.294685253	-0.347702038	0.754039906	-1.569547008	0.645070658
same_sha	1000	5000768.969404762	4999058.837837301	-0.031320714	0.920443816	-1.766525741	0.698111409
before_after	1	30710.006030286	30908.998425475	0.653907564	1.518140790	-1.114740141	3.175784236
before_after	8	63796.312207492	58589.879544127	-8.158706014	1.006937361	-8.969599411	-6.317533640
before_after	64	332363.479606969	281106.815706317	-15.420502444	0.499068206	-15.970841519	-14.671375596
before_after	256	1266903.533653846	1060177.857738095	-16.316445990	0.372537467	-16.930418210	-15.872649921
before_after	1000	4985760.372208995	4191589.353986292	-15.928308634	0.550598146	-16.520984654	-15.011948505
