campaign	peers	attempt	order	base_median_ns	head_median_ns	delta_percent	base_ci_low_ns	base_ci_high_ns	head_ci_low_ns	head_ci_high_ns
same_sha	1	1	base-head	30357.754770164785	30885.545659117306	1.738570236660664	30086.683000867302	30570.464050303555	30661.88175087108	31243.198606271777
same_sha	1	2	head-base	32571.863670244486	30711.27913255361	-5.712244643190568	32415.406976744187	32735.556350626117	30551.851461988306	30849.772807017544
same_sha	1	3	base-head	32568.869174829328	30933.97296231376	-5.019812642985732	32377.206195140567	32945.6767586821	30564.173751095528	31155.15765619131
same_sha	1	4	head-base	32313.62397883598	30418.059461042765	-5.866146486802992	32104.746444444445	32495.62777777778	29879.984182776803	30644.033642982675
same_sha	1	5	base-head	32530.04272639082	30542.101303214597	-6.111093796884126	32229.70363153233	32841.81647475642	30291.55616854909	30891.302635389515
same_sha	1	6	head-base	32415.799031237642	31750.186162269783	-2.053359438483804	32287.962633451956	32525.518214603457	31603.253411730548	31830.614525261324
same_sha	8	1	base-head	64130.59607966898	64393.777649204014	0.410383788118995	63519.28129602356	64459.77187039764	63441.46435935199	64752.398379970546
same_sha	8	2	head-base	65578.71597744361	63923.37842551072	-2.524199394971782	65183.72486215539	66621.60275689223	63266.08632286995	64617.07097035376
same_sha	8	3	base-head	65486.08280187075	64197.7795646661	-1.967293174493923	64896.80251736111	65987.56299603175	63887.89743589744	64344.26494699211
same_sha	8	4	head-base	65373.7662106136	63817.315178126555	-2.380849571176069	64907.80149253731	65733.7828358209	63201.12220798634	64290.65949177877
same_sha	8	5	base-head	66059.62627487563	63879.54839506173	-3.300166838278107	65421.009701492534	66260.87629353235	63660.16	64224.30162962963
same_sha	8	6	head-base	66129.50883838383	63051.54413489736	-4.654449666349125	65446.36363636364	66441.69488636364	62715.557347670256	63899.32322214076
same_sha	64	1	base-head	332242.9328547297	332940.62290249433	0.209993946829767	331227.40615615615	333649.03265765763	332359.6004211209	333823.01768707484
same_sha	64	2	head-base	335507.9854452055	332944.99971461185	-0.763911990706467	333953.4817351598	337006.2767449445	332402.4461839531	334831.73835616437
same_sha	64	3	base-head	334359.7559360731	333556.00396825396	-0.240385379385422	333263.72146118723	335580.2457191781	332826.24786200194	336225.03826530615
same_sha	64	4	head-base	334183.91802721086	332322.5511583012	-0.556988762325217	333002.5461613217	334990.76020408166	331601.8913288289	332783.03986486484
same_sha	64	5	base-head	333911.01254826254	333801.79009009013	-0.032710049704221	332495.07282282284	334864.7876126126	332682.2924710425	335909.9510135135
same_sha	64	6	head-base	335658.53727984347	331679.21509009006	-1.185526881574828	334943.1286149163	339626.9931506849	329961.9653474904	333166.7742117117
