campaign	peers	base_median_mean_ns	head_median_mean_ns	mean_delta_percent	delta_stddev_percent	min_delta_percent	max_delta_percent	last_ci_low_percent	last_ci_high_percent
01-metrics-control	1	30664.866738730044744	30663.669058407824195	-0.003739886091460	0.465266670378445	-0.647578107363120	0.603583648951762	-1.449199505385084	1.083547272423903
01-metrics-control	8	63943.736292605775816	63861.497861978466972	-0.122666434611645	0.840561972929036	-1.040758931437981	1.175674492313645	-0.713529014439732	1.583477153475714
01-metrics-control	64	332004.257453953905497	332195.398008474498056	0.059491215665873	0.401092809654000	-0.663108021697152	0.526696252234206	-0.887381049182217	1.111519146518927
01-metrics-control	256	1272779.793411680962890	1274098.825953059364110	0.105229129113948	0.434626023841793	-0.543716134592381	0.788349985365672	-0.846904167964129	1.155157480835113
01-metrics-control	1000	5037663.190906084142625	5014415.524715607985854	-0.454206261920032	0.846999782601712	-1.819231433441435	0.477236966675118	-0.536359742619088	1.224658292128220
02-metrics-target	1	30641.699842839185294	30798.893014651686826	0.519227208471839	1.194891689543198	-1.367685466927647	2.009924464371974	-1.557924129777773	1.635449028650291
02-metrics-target	8	63632.245962841538130	58440.828679902944714	-8.158327599935170	0.209769220460901	-8.528174480085010	-7.996091162051834	-10.140453132067753	-7.137097692099287
02-metrics-target	64	332386.799152872816194	285505.831701178802177	-14.103222011909326	0.499338799032747	-14.758618673054455	-13.317000439821438	-15.275032081234020	-13.900433234284188
02-metrics-target	256	1271515.106049043592066	1080327.927427406189963	-15.035996909537303	0.329811668503848	-15.538248066418141	-14.499363658857980	-15.856626585021177	-14.346202807241792
02-metrics-target	1000	5005286.981841931119561	4279085.780903680250049	-14.508420439064494	0.317076854493803	-14.835164006659355	-13.930555999931906	-15.605178859038530	-13.874735949811251
03-otc-control	1	31003.528137218247139	31002.235257124353666	-0.000847083173320	0.849079997541803	-1.078659955316568	1.068874084529705	-0.823090081470267	3.182693842908844
03-otc-control	8	58687.886980581431999	58702.585740465030540	0.037604002771478	1.674316036091651	-1.933229460890048	2.535405469035524	-1.415297169276144	1.027242387840777
03-otc-control	64	285094.466019027400762	285272.879787571844645	0.066356339118769	1.192795131847799	-1.189022054321350	2.312432187036163	-1.302653184857178	0.358135878198332
03-otc-control	256	1076699.481897203251719	1078263.578736003488302	0.151744742686956	1.566591691177996	-1.745340356693566	2.953008839785557	-0.436712115963882	0.995642525944356
03-otc-control	1000	4238654.258342352695763	4254762.950261544436216	0.382881909805964	0.974327647196694	-0.986641818010258	2.002613222185903	-0.959444559560790	1.501395161594818
04-otc-target	1	31137.709654472466354	28904.459148211357387	-7.170847618585994	0.646857689753960	-7.856610994505964	-6.154567495434595	-8.000530862909004	-6.468691686798825
04-otc-target	8	58645.444287394231651	43468.890359047014499	-25.878683020400995	0.443857526481368	-26.343048869162278	-25.146140417205736	-27.606789507908701	-25.198984797871105
04-otc-target	64	282845.582884087052662	163770.273776282061590	-42.094911214151288	0.582405363978626	-43.058666675606375	-41.611420238446776	-42.222967447832708	-40.808086021497715
04-otc-target	256	1070571.934073920361698	592961.411689347238280	-44.608740378420407	0.535896242023906	-45.596045936476600	-44.113111489118943	-45.024373833796865	-43.697616522521216
04-otc-target	1000	4210275.277018999680877	2375615.971916971728206	-43.573177038310391	0.536751111012401	-44.526980542945402	-42.960222440489879	-44.285095560952179	-42.831397838464795
