campaign	peers	attempt	order	base_median_ns	head_median_ns	delta_percent	base_ci_low_ns	base_ci_high_ns	head_ci_low_ns	head_ci_high_ns
01-metrics-control	1	1	base-head	30717.534317785524763	30518.614290421792248	-0.647578107363120	30617.060810810809926	30906.951675177482684	30155.378983596951002	30869.798769771528896
01-metrics-control	1	2	head-base	30752.767133275006927	30938.385807291666424	0.603583648951762	30625.219160104985349	31253.823964712744782	30715.178240740737238	31108.778356481481751
01-metrics-control	1	3	base-head	30758.428540237055131	30787.233161921481951	0.093647897670538	30696.707132459971035	31051.186954148470249	30589.554580040970905	30888.263564530290751
01-metrics-control	1	4	head-base	30450.171535621200746	30538.882393648018478	0.291331225911296	30165.003301476976048	30738.836663770634914	30396.354895104894240	30710.486164529913367
01-metrics-control	1	5	base-head	30656.657955865273834	30681.798836698857485	0.082007898153079	30515.942602040813654	30952.956946864112979	30606.411874451274343	30954.497219783435867
01-metrics-control	1	6	head-base	30653.640949596214341	30517.099860465117672	-0.445431879872317	30409.957719298246957	30811.123958333333576	30364.609302325581666	30739.463986710965401
01-metrics-control	8	1	base-head	64530.779867256642319	64229.102732035928057	-0.467493397478352	63899.187905604718253	65708.849188790554763	63678.302894211577950	64535.047930923872627
01-metrics-control	8	2	head-base	63119.347856907348614	63861.425929375727719	1.175674492313645	62903.660731948562898	63979.639391691394849	63647.137108792849176	64329.137555886736664
01-metrics-control	8	3	base-head	63999.714814814811689	63655.781484257873672	-0.537398223651652	63773.730411522636132	64307.188465608465776	63223.597201399301412	64491.216641679158784
01-metrics-control	8	4	head-base	64374.554146090536960	64053.152726413543860	-0.499267799117661	63288.103333333332557	64686.488395061729534	63394.373076923075132	64256.818047337277676
01-metrics-control	8	5	base-head	64322.329025110782823	63652.888640873017721	-1.040758931437981	63803.835887493842165	64532.297594429197488	63104.652827380952658	64385.917517006804701
01-metrics-control	8	6	head-base	63315.692045454547042	63716.635658914732630	0.633245251702132	63027.232861400887487	63807.695479383997736	63352.409058693243423	64025.254694229108281
01-metrics-control	64	1	base-head	330787.339115646260325	332529.583633633621503	0.526696252234206	329787.143613000749610	331416.655612244911026	331013.903716216213070	334003.505067567573860
01-metrics-control	64	2	head-base	331017.537021396448836	331613.752976190531626	0.180116123199704	329847.331081081065349	333299.870307807810605	330867.108956916141324	332795.078458049916662
01-metrics-control	64	3	base-head	332172.503800675680395	332165.265549076779280	-0.002179064045363	331111.174174174200743	333728.601351351360790	330625.412698412721511	333584.441156462591607
01-metrics-control	64	4	head-base	331535.651225569599774	332438.696727549424395	0.272382622695805	330479.467687074851710	333205.408163265325129	330831.496575342491269	333302.589726027450524
01-metrics-control	64	5	base-head	336231.111111111124046	334001.535641891881824	-0.663108021697152	333805.926940639270470	338058.310730593628250	332842.227992277999874	334542.518581081065349
01-metrics-control	64	6	head-base	330281.402449324319605	330423.553522504866123	0.043039381608039	328522.618243243196048	332817.461824324331246	329864.102739726018626	332174.210045662126504
01-metrics-control	256	1	base-head	1270873.228347578318790	1272759.146153846057132	0.148395431125719	1262874.349358974490315	1279923.154456654563546	1268601.235897435806692	1277749.855082417605445
01-metrics-control	256	2	head-base	1264908.898575498722494	1274880.807692307746038	0.788349985365672	1257025.046474358998239	1270939.624786324799061	1266080.555555555503815	1283548.496336996322498
01-metrics-control	256	3	base-head	1273094.889957264997065	1275909.829772079829127	0.221109976720535	1262978.311538461595774	1279109.706959706963971	1268766.512820512754843	1284443.471794871846214
01-metrics-control	256	4	head-base	1274493.920940170995891	1275963.216117216041312	0.115284596725355	1259264.948717948747799	1281081.365384615492076	1266689.517094017006457	1286781.854273504111916
01-metrics-control	256	5	base-head	1284450.301994302077219	1277466.538461538497359	-0.543716134592381	1278972.235897435806692	1290153.957264957251027	1274117.673076923005283	1282205.542948717949912
01-metrics-control	256	6	head-base	1268857.520655270665884	1267613.417521367548034	-0.098049080661210	1262706.575320512987673	1272909.750641025602818	1262129.424908424960449	1277292.824786324752495
01-metrics-control	1000	1	base-head	5039399.472222222015262	4993571.026190476492047	-0.909402921605192	4988592.017500000074506	5139173.762500000186265	4984068.931250000372529	5021520.944444444030523
01-metrics-control	1000	2	head-base	5005515.370833333581686	5029403.540555555373430	0.477236966675118	4987407.424999999813735	5070710.871428571641445	4990239.233333333395422	5090944.299999999813735
01-metrics-control	1000	3	base-head	5047898.158333333209157	5017264.504166666418314	-0.606859591968890	5012407.474999999627471	5099008.915000000037253	4986668.439999999478459	5058928.775000000372529
01-metrics-control	1000	4	head-base	5000851.724999999627471	4993967.849999999627471	-0.137654051320628	4983234.700000000186265	5029611.409285714849830	4974295.650000000372529	5068455.700000000186265
01-metrics-control	1000	5	base-head	5141558.260714285075665	5048021.416666666045785	-1.819231433441435	5070852.883333332836628	5258921.511111111380160	5000776.003571428358555	5070526.032222222536802
01-metrics-control	1000	6	head-base	4990756.158333333209157	5004264.810714285820723	0.270673460140834	4971770.525000000372529	5007684.432500000111759	4980825.229166666977108	5032657.724999999627471
02-metrics-target	1	1	base-head	30919.445114436617587	31229.894165933743352	1.004057641875901	30662.420020120724075	30995.647872652582009	30933.727880386984907	31639.706495790927875
02-metrics-target	1	2	head-base	30462.514321234823001	31074.787849040138099	2.009924464371974	30147.773056057867507	30838.138336347197765	30974.694008144269901	31540.246343389015237
