policy,peers,attempt,base_median_ns,base_ci95_low_ns,base_ci95_high_ns,head_median_ns,head_ci95_low_ns,head_ci95_high_ns,delta_percent,conservative_ci95_low_percent,conservative_ci95_high_percent,gate,verdict,base_estimates_sha256,head_estimates_sha256
no_policy,1,1,42109.772463768,42079.934426230,42156.156060606,38737.749296765,38704.819047619,38768.991176471,-8.007697429,-8.187029690,-7.868223406,mean-delta-below-five-percent,aggregate,409b5e9b1301a0a22ab104959caf75a520040a3fd700bdd5795fda30742171a3,9fb67913e5e5bdbb47a21e987e72261eb11e29d8f0c7d6a3fdd37e773ad32a1c
no_policy,1,2,42104.224118166,42046.407735507,42162.800000000,38941.077551020,38905.330434783,39017.712820513,-7.512658488,-7.725932730,-7.203219200,mean-delta-below-five-percent,aggregate,281bf73cf4d4c26169469b3f13fdb10881af82765e1dc7e2cab97bace515c834,0c6d123cc38b25881ed389cd4ac1b7c8574ce52e96fc4c8614b2ee454d28c327
no_policy,8,1,104417.665660920,104231.983333333,104622.289787798,79597.712907609,79532.961538462,79645.306701031,-23.769878972,-23.980863256,-23.588418685,informational,informational,76dc5cac67a6e58e549b5663ccca4f354b4aee0f47d98e73e1cada490b4a0dc2,82522279414374266495d472fccb5c2af2627ae65e8b2c2a1e0f0e5fca657ec5
no_policy,8,2,103492.404787234,103388.925490196,103668.416666667,78631.200352113,78518.686141304,78760.011627114,-24.022250218,-24.259780687,-23.821617012,informational,informational,fc2d64e8fc8c8208835e888ce9d130086b603ef93408fbc60e99c047f2caf9e0,ab0520e46b77230b4f163c21fbf8c8f1fb4cff48b171078f51faee57c8ceaa2f
no_policy,64,1,570863.629523810,568609.810518293,578143.800000000,377268.023197279,376881.804123711,377843.600819672,-33.912758900,-34.811753733,-33.549581131,ci-entirely-below-zero,pass,0dec03c0f64357a113bb8051493f4dd8476737e532b1c988609e97c4530f11d2,03ed7919bc8a9ad487bb97e8e260eb2a472272e0f81c317d695ba5ebd0a09782
no_policy,64,2,576636.921578421,575700.635541780,577191.789473684,378573.749164718,378182.961538462,378795.087500000,-34.347986576,-34.478804371,-34.202767182,ci-entirely-below-zero,pass,fee282b0f1a5bad2fc6ef77eb29f590e129f46299700f6aef5036d5d8d8ca0a0,cba500896d4ec4ce2d5de2a9a421378516eb5e65c40513a04d661e5da5c57c20
no_policy,256,1,2187374.615384615,2184628.653846154,2194953.076923077,1398417.437500000,1397157.968750000,1399504.125000000,-36.068681255,-36.346795590,-35.938580567,ci-entirely-below-zero,pass,febaced170b87e697ecdb84a01c4928ded53668835649b123872ce5a2f844fe6,ef20ae5e96aeb2cb749583447395f78e4295869786d8a963d11d65ac1da5e9cb
no_policy,256,2,2188841.230769231,2182683.615384615,2190879.384615385,1390723.968750000,1388620.218750000,1391916.187500000,-36.463003840,-36.618134777,-36.229136569,ci-entirely-below-zero,pass,f9df4568baaf10646669c0318d0590e2c841ad34adb1bdfbc2b1069cb1eacd69,7de4ba0da0674abee7c126196bc78e4ab48ad7358bfb8555f27e8f40c16cdd63
with_policy,1,1,46485.813480392,46422.485294118,46551.223684211,42950.013854680,42909.762987013,43012.097222222,-7.606190708,-7.822481149,-7.346414244,mean-delta-below-five-percent,aggregate,cf8cf9c963c632425933443125b6cded7e755ebccae3e5104017627a4d1f99ef,d9c9e82a9202461494e068820f9fbed70d6d6b46fca1892ceb068b994c642e86
with_policy,1,2,46466.744550093,46400.084459459,46562.123076923,42704.027721604,42681.611511512,42743.217940039,-8.097655355,-8.334052034,-7.881163498,mean-delta-below-five-percent,aggregate,cb1d38f5371c77b0ecd44920b4737b6e964966148ccc8c1f1f41b9b5ea8a0866,9777ec71f82ba33c2ec6e1f1515136c9b0d2f9b194f169409969e2491330a1d1
