routes,peers,sample_index,iterations,total_time_ns,time_per_iteration_ns
64,8,1,370.0,23346614.0,63098.95675675676
64,8,2,740.0,45838283.0,61943.62567567568
64,8,3,1110.0,69008656.0,62169.96036036036
64,8,4,1480.0,91213944.0,61631.04324324324
64,8,5,1850.0,108292204.0,58536.32648648648
64,8,6,2220.0,136632296.0,61546.07927927928
64,8,7,2590.0,160352839.0,61912.29305019305
64,8,8,2960.0,181631021.0,61361.83141891892
64,8,9,3330.0,206406504.0,61983.935135135136
64,8,10,3700.0,229091792.0,61916.70054054054
64,64,1,75.0,12938818.0,172517.57333333333
64,64,2,150.0,25708406.0,171389.37333333332
64,64,3,225.0,38364722.0,170509.87555555557
64,64,4,300.0,51135138.0,170450.46
64,64,5,375.0,63277424.0,168739.79733333332
64,64,6,450.0,75896591.0,168659.0911111111
64,64,7,525.0,88384110.0,168350.6857142857
64,64,8,600.0,101055655.0,168426.09166666667
64,64,9,675.0,114329744.0,169377.39851851852
64,64,10,750.0,125753121.0,167670.828
64,256,1,20.0,11166259.0,558312.95
64,256,2,40.0,22249513.0,556237.825
64,256,3,60.0,33562608.0,559376.8
64,256,4,80.0,44774900.0,559686.25
64,256,5,100.0,55848254.0,558482.54
64,256,6,120.0,67071809.0,558931.7416666667
64,256,7,140.0,77208422.0,551488.7285714286
64,256,8,160.0,90684048.0,566775.3
64,256,9,180.0,99372294.0,552068.3
64,256,10,200.0,111341572.0,556707.86
64,1000,1,5.0,11187588.0,2237517.6
64,1000,2,10.0,21630330.0,2163033
64,1000,3,15.0,32113285.0,2140885.6666666665
64,1000,4,20.0,43382781.0,2169139.05
64,1000,5,25.0,54973965.0,2198958.6
64,1000,6,30.0,65943770.0,2198125.6666666665
64,1000,7,35.0,77782411.0,2222354.6
64,1000,8,40.0,88941179.0,2223529.475
64,1000,9,45.0,98617868.0,2191508.177777778
64,1000,10,50.0,109177469.0,2183549.38
