peers	kind	sha256
8	benchmark	d567985b5a2d742e6ddc9d861e0a8a92db3f185afce672d13254857b5f0a1e51
8	estimates	ad763ba1b768cdb0ad1063762f9085964a6b4c7847428634da49219db4ed5a31
8	sample	bb034b28fe3f37d2ac6cb362fc1ff054d22ff132fb75cf57cd20517605453b12
64	benchmark	816b8c640425e952cb69616f0b211bfc3fb007fa38324f511e3b28c0d54684e6
64	estimates	e9e195a13db21c0a629e12d0784d159aede1eda6787a4ef1c2d17ef7b398f60a
64	sample	8b0a4a300cc90abeea80eed69dc7f0966c6779e2fa73099dfbb46b0fd2e3324e
256	benchmark	3ee211fac82b911c69efe7b694ffda6e2bcf27a606ad5367b0ad9cfb6e59f852
256	estimates	6e0c2859c93f7cd6af14af576cae1bdc3da5c0e08d6808d37a13dcaccfeb3824
256	sample	1f25a1691e42d16eb5580d60ac343c8f4f6f47184a455e3e8e6f9408713d011f
1000	benchmark	0cb2dd36a84b225f729a4048e2af1defcd4b1154def416e9d3b98f39d3d1df9a
1000	estimates	c58724a7c69ed0c74936333fd618c55a906d784519e09b63ea2f922ab84582e5
1000	sample	9a8969facbe54c6ba56dbad638507c7c85d1ffce98ebc25242f678ede3f31040
