run,revision,routes,peers,median_ns,median_ci_95_lower_ns,median_ci_95_upper_ns,sample_count,total_iterations,total_measured_time_ns
parent-a,parent,64,8,60219.66474407945,58972.498440285206,61189.34670231729,10,20570.0,1224628068.0
parent-a,parent,64,64,166712.3588888889,165914.68,168801.04833333334,10,4125.0,687665627.0
parent-a,parent,64,256,553597.0520833334,550769.4125000001,557078.6637500001,10,1100.0,609270155.0
parent-a,parent,64,1000,2231457.283333333,2208420.325,2323220.4285714286,10,275.0,626104660.0
head-a,head,64,8,59572.07075106465,59290.19376693767,59727.672086720864,10,20295.0,1211220531.0
head-a,head,64,64,156349.09333333332,155553.688,158707.53333333333,10,4125.0,646686526.0
head-a,head,64,256,507078.43273809523,505749.95,510189.88645833335,10,1100.0,559830767.0
head-a,head,64,1000,2016951.97,1986336.2,2072864.4222222222,10,275.0,556657570.0
head-b,head,64,8,59007.45755555555,58502.471576719574,59416.579,10,20625.0,1210832916.0
head-b,head,64,64,155235.2519736842,153995.4769736842,156611.2302631579,10,4180.0,648055993.0
head-b,head,64,256,505940.651875,504493.0875,511628.155,10,1100.0,560830625.0
head-b,head,64,1000,2026191.9449999998,1991352.5777777778,2100015.8,10,275.0,562582692.0
parent-b,parent,64,8,60297.18244444445,59622.052388888886,60543.224,10,20625.0,1236167447.0
parent-b,parent,64,64,167595.0813230994,165616.2697368421,171242.15131578947,10,4180.0,698247119.0
parent-b,parent,64,256,552479.0258928572,546920.805,563779.2166666667,10,1100.0,608693471.0
parent-b,parent,64,1000,2227698.8,2209304.3053571433,2398432.822222222,10,275.0,623207397.0
