run,revision,routes,peers,sample_index,iterations,total_time_ns,time_per_iteration_ns
parent-a,parent,64,8,1,374.0,22718951.0,60745.858288770054
parent-a,parent,64,8,2,748.0,45815087.0,61250.116310160425
parent-a,parent,64,8,3,1122.0,68654447.0,61189.34670231729
parent-a,parent,64,8,4,1496.0,94226502.0,62985.62967914438
parent-a,parent,64,8,5,1870.0,112612964.0,60220.836363636365
parent-a,parent,64,8,6,2244.0,134383041.0,59885.49064171123
parent-a,parent,64,8,7,2618.0,157652015.0,60218.49312452254
parent-a,parent,64,8,8,2992.0,172879356.0,57780.53342245989
parent-a,parent,64,8,9,3366.0,202513584.0,60164.46345811052
parent-a,parent,64,8,10,3740.0,213172121.0,56997.89331550802
parent-a,parent,64,64,1,75.0,12821303.0,170950.70666666667
parent-a,parent,64,64,2,150.0,25395793.0,169305.28666666665
parent-a,parent,64,64,3,225.0,37476520.0,166562.3111111111
parent-a,parent,64,64,4,300.0,50206705.0,167355.68333333332
parent-a,parent,64,64,5,375.0,62218005.0,165914.68
parent-a,parent,64,64,6,450.0,75088083.0,166862.40666666668
parent-a,parent,64,64,7,525.0,86968610.0,165654.49523809523
parent-a,parent,64,64,8,600.0,101280629.0,168801.04833333334
parent-a,parent,64,64,9,675.0,111512706.0,165204.0088888889
parent-a,parent,64,64,10,750.0,124697273.0,166263.03066666666
parent-a,parent,64,256,1,20.0,10983298.0,549164.9
parent-a,parent,64,256,2,40.0,22064191.0,551604.775
parent-a,parent,64,256,3,60.0,33279826.0,554663.7666666667
parent-a,parent,64,256,4,80.0,44202427.0,552530.3375
parent-a,parent,64,256,5,100.0,55935524.0,559355.24
parent-a,parent,64,256,6,120.0,67388090.0,561567.4166666666
parent-a,parent,64,256,7,140.0,77741769.0,555298.35
parent-a,parent,64,256,8,160.0,88768334.0,554802.0875
parent-a,parent,64,256,9,180.0,98431911.0,546843.95
parent-a,parent,64,256,10,200.0,110474785.0,552373.925
parent-a,parent,64,1000,1,5.0,11057648.0,2211529.6
parent-a,parent,64,1000,2,10.0,21631766.0,2163176.6
parent-a,parent,64,1000,3,15.0,33211696.0,2214113.066666667
parent-a,parent,64,1000,4,20.0,44106221.0,2205311.05
parent-a,parent,64,1000,5,25.0,58326267.0,2333050.68
parent-a,parent,64,1000,6,30.0,66266877.0,2208895.9
parent-a,parent,64,1000,7,35.0,81312715.0,2323220.4285714286
parent-a,parent,64,1000,8,40.0,90777028.0,2269425.7
parent-a,parent,64,1000,9,45.0,106974367.0,2377208.1555555556
parent-a,parent,64,1000,10,50.0,112440075.0,2248801.5
head-a,head,64,8,1,369.0,21850856.0,59216.41192411924
head-a,head,64,8,2,738.0,43906907.0,59494.4539295393
head-a,head,64,8,3,1107.0,65266163.0,58957.690153568205
head-a,head,64,8,4,1476.0,88091056.0,59682.287262872625
head-a,head,64,8,5,1845.0,110197555.0,59727.672086720864
head-a,head,64,8,6,2214.0,132295875.0,59754.234417344174
head-a,head,64,8,7,2583.0,154075143.0,59649.68757259001
head-a,head,64,8,8,2952.0,175024652.0,59290.19376693767
head-a,head,64,8,9,3321.0,197312702.0,59413.641071966274
head-a,head,64,8,10,3690.0,223199622.0,60487.70243902439
head-a,head,64,64,1,75.0,11903065.0,158707.53333333333
head-a,head,64,64,2,150.0,23876289.0,159175.26
head-a,head,64,64,3,225.0,35515420.0,157846.3111111111
head-a,head,64,64,4,300.0,46660850.0,155536.16666666666
head-a,head,64,64,5,375.0,58332633.0,155553.688
head-a,head,64,64,6,450.0,70340794.0,156312.87555555557
head-a,head,64,64,7,525.0,81575755.0,155382.39047619049
head-a,head,64,64,8,600.0,93545563.0,155909.27166666667
head-a,head,64,64,9,675.0,105560085.0,156385.3111111111
head-a,head,64,64,10,750.0,119376072.0,159168.096
head-a,head,64,256,1,20.0,10114999.0,505749.95
head-a,head,64,256,2,40.0,20223306.0,505582.65
head-a,head,64,256,3,60.0,30594356.0,509905.93333333335
head-a,head,64,256,4,80.0,42061701.0,525771.2625
head-a,head,64,256,5,100.0,50630951.0,506309.51
head-a,head,64,256,6,120.0,60791335.0,506594.4583333333
head-a,head,64,256,7,140.0,71058737.0,507562.40714285715
head-a,head,64,256,8,160.0,81956233.0,512226.45625
head-a,head,64,256,9,180.0,91467597.0,508153.31666666665
head-a,head,64,256,10,200.0,100931552.0,504657.76
head-a,head,64,1000,1,5.0,10050955.0,2010191.0
head-a,head,64,1000,2,10.0,21358053.0,2135805.3
head-a,head,64,1000,3,15.0,29795043.0,1986336.2
head-a,head,64,1000,4,20.0,40226930.0,2011346.5
head-a,head,64,1000,5,25.0,53055115.0,2122204.6
head-a,head,64,1000,6,30.0,58856296.0,1961876.5333333334
head-a,head,64,1000,7,35.0,71878121.0,2053660.6
head-a,head,64,1000,8,40.0,79250594.0,1981264.85
head-a,head,64,1000,9,45.0,91058591.0,2023524.2444444445
head-a,head,64,1000,10,50.0,101127872.0,2022557.44
head-b,head,64,8,1,375.0,22206148.0,59216.39466666667
head-b,head,64,8,2,750.0,43903431.0,58537.908
head-b,head,64,8,3,1125.0,67009675.0,59564.15555555555
head-b,head,64,8,4,1500.0,90236959.0,60157.97266666667
head-b,head,64,8,5,1875.0,104207225.0,55577.18666666667
head-b,head,64,8,6,2250.0,132712945.0,58983.53111111111
head-b,head,64,8,7,2625.0,153834020.0,58603.43619047619
head-b,head,64,8,8,3000.0,178249737.0,59416.579
head-b,head,64,8,9,3375.0,197105086.0,58401.506962962965
head-b,head,64,8,10,3750.0,221367690.0,59031.384
head-b,head,64,64,1,76.0,12152620.0,159902.8947368421
head-b,head,64,64,2,152.0,23804907.0,156611.2302631579
head-b,head,64,64,3,228.0,35300899.0,154828.50438596492
head-b,head,64,64,4,304.0,47137854.0,155058.7302631579
head-b,head,64,64,5,380.0,59056474.0,155411.77368421052
head-b,head,64,64,6,456.0,70010324.0,153531.41228070174
head-b,head,64,64,7,532.0,82846940.0,155727.33082706766
head-b,head,64,64,8,608.0,93629250.0,153995.4769736842
head-b,head,64,64,9,684.0,104742883.0,153132.86988304093
head-b,head,64,64,10,760.0,119373842.0,157070.84473684212
head-b,head,64,256,1,20.0,10023685.0,501184.25
