run	peers	kind	sha256
parent-a	8	benchmark	d567985b5a2d742e6ddc9d861e0a8a92db3f185afce672d13254857b5f0a1e51
parent-a	8	estimates	001de1915750c7b1e2781a5af9f0d927153203117afdedbe4e33f78ff48c148c
parent-a	8	sample	117661339d2583f2bff9390c4a8a899330b2f4aab5a4f59a1917488ee0f3a12e
parent-a	64	benchmark	816b8c640425e952cb69616f0b211bfc3fb007fa38324f511e3b28c0d54684e6
parent-a	64	estimates	372414ce37cfe777fb687ce6a9f55df5707f54165fafc6213a8d64b941b18151
parent-a	64	sample	36855b133ad56345a48ef13065929ec2ede15541a6fd10efc268d0d585006660
parent-a	256	benchmark	3ee211fac82b911c69efe7b694ffda6e2bcf27a606ad5367b0ad9cfb6e59f852
parent-a	256	estimates	bd006ef2ad5b3844973c5db0d410cb5d17f24b59a1f251595efac40ee7227ef9
parent-a	256	sample	d54476557b67308b100504a06e06fde900a7d273bfde4ff1abb30634c9b14f61
parent-a	1000	benchmark	0cb2dd36a84b225f729a4048e2af1defcd4b1154def416e9d3b98f39d3d1df9a
parent-a	1000	estimates	b11f521a8dfe70e38542b53d049efcb2ddc5255a2fa511ad5b529ba21547904d
parent-a	1000	sample	e6709f8501f3b8d51303414edccfbddaadd933178b372f9ff3ce37413f5cd20c
head-a	8	benchmark	d567985b5a2d742e6ddc9d861e0a8a92db3f185afce672d13254857b5f0a1e51
head-a	8	estimates	746f53bad33a270ba1f8e744f223992a2e171fccdba27a8823f2ca1f595b4141
head-a	8	sample	5f8fee111317c70873cf6aea258fb78dfa78b56ed1fee1af5b3ed1a4e9179cd4
head-a	64	benchmark	816b8c640425e952cb69616f0b211bfc3fb007fa38324f511e3b28c0d54684e6
head-a	64	estimates	7dd1435dca86f6d7d3567419289c71358af2b63f0d11c7c8b2985bfcdf5c1aea
head-a	64	sample	1c505770d750857317d733464c75ff6dc3dfaa3ce368ffc3ddc7abdcd8cb1439
head-a	256	benchmark	3ee211fac82b911c69efe7b694ffda6e2bcf27a606ad5367b0ad9cfb6e59f852
head-a	256	estimates	803bd197e3d92a677f10884655e16a3c3b8fab755abb54cfac006f6b4462b85a
head-a	256	sample	8fb53d7958db71aaa5a5f6ba80938429683b105a330daca31a017192c8082f50
head-a	1000	benchmark	0cb2dd36a84b225f729a4048e2af1defcd4b1154def416e9d3b98f39d3d1df9a
head-a	1000	estimates	34c47f2b8183d922929a3858d974f26ed0cda27a2014ab98a6d2434b204cff8e
head-a	1000	sample	b1f89583eab6061221f510d44dbb55fedf3109e375f168a79d0886e4905dd54f
head-b	8	benchmark	d567985b5a2d742e6ddc9d861e0a8a92db3f185afce672d13254857b5f0a1e51
head-b	8	estimates	06a391e2f599356a1b4768f9bad4e8d8f6357b97231f165707414c3585e7a246
head-b	8	sample	e8da9dae37fbfda8faacc5ab2f024f679396a5eed1f716e064c8fa9fb34d5e1a
head-b	64	benchmark	816b8c640425e952cb69616f0b211bfc3fb007fa38324f511e3b28c0d54684e6
head-b	64	estimates	ba9fce8fb0440264e9550d64db03619c101080ab6b9f1b56a47b45e5876aa980
head-b	64	sample	e6aa6a02a054d5e727dc4f0102e17b0f94c88741cde4e5d6b4c36edd4b510030
head-b	256	benchmark	3ee211fac82b911c69efe7b694ffda6e2bcf27a606ad5367b0ad9cfb6e59f852
head-b	256	estimates	1433d3e085567e0561fa71c85cd1f7b05f4f56c170f8e4620416afcb702ac9d0
head-b	256	sample	8c1f762124de5aee08701f9261d734f1cf7a15a4bb6fa2c5b39df4f9c9eabfbd
head-b	1000	benchmark	0cb2dd36a84b225f729a4048e2af1defcd4b1154def416e9d3b98f39d3d1df9a
head-b	1000	estimates	d7a77d0cc72acbe80eacb3a363ec83032e4e475b1afb9ab8918aa423ccb725ec
head-b	1000	sample	ce3f30acfbc7cca4ee0a0d9291e2e2b9117987d9a3d8e5d02ecaf4cbbf262ff1
parent-b	8	benchmark	d567985b5a2d742e6ddc9d861e0a8a92db3f185afce672d13254857b5f0a1e51
parent-b	8	estimates	067a12df76decf53a73ca7635aeec6a514d21b9a444803b2e7ac0f99b16cab24
parent-b	8	sample	c07db5f8c726a0e1764b13dcb7073333e980edb9edb6d56fdd7e851ddbe0a5ca
parent-b	64	benchmark	816b8c640425e952cb69616f0b211bfc3fb007fa38324f511e3b28c0d54684e6
parent-b	64	estimates	1811e6713bf87d10b0e14b68a34cda29a628c407ec199781c7469051f4985e3c
parent-b	64	sample	07e7359e13403f5b28b9ad2c638cedad1b85305ca776d56bc4f995b254c4313d
parent-b	256	benchmark	3ee211fac82b911c69efe7b694ffda6e2bcf27a606ad5367b0ad9cfb6e59f852
parent-b	256	estimates	7caaa9b4ad26170759739745f13106cb5dcc4536cdac370fce66be42e3cd82a4
parent-b	256	sample	acfd6f5c294478f5aa723f3c42989a2a1d0adae8076fcb2341a4745a9b1f69ce
parent-b	1000	benchmark	0cb2dd36a84b225f729a4048e2af1defcd4b1154def416e9d3b98f39d3d1df9a
parent-b	1000	estimates	decf9d833a6f07243598096e99d2ab8b1da248f811d895b88e084d8790e08615
parent-b	1000	sample	c2caf3ed48befded59bbe0e8156e91e8280354bf62b577378a7b0ba20325e272
