phase,arm,run,metric,round,value,unit
matrix-s2,main-33f8e7142,1,established,1,0.8,s
matrix-s2,main-33f8e7142,1,cold_convergence,1,3.7,s
matrix-s2,main-33f8e7142,1,reload_completion_p50,1,1.59,s
matrix-s2,main-33f8e7142,1,reload_completion_p50,2,1.42,s
matrix-s2,main-33f8e7142,1,reload_completion_p50,3,1.48,s
matrix-s2,main-33f8e7142,1,reload_completion_p50,4,1.46,s
matrix-s2,main-33f8e7142,1,reload_changed_maxgap_p50,1,463.27,ms
matrix-s2,main-33f8e7142,1,reload_changed_maxgap_p50,2,530.53,ms
matrix-s2,main-33f8e7142,1,reload_changed_maxgap_p50,3,492.42,ms
matrix-s2,main-33f8e7142,1,reload_changed_maxgap_p50,4,522.48,ms
matrix-s2,main-33f8e7142,1,settled_rss_last_sample,,397300,KiB
matrix-s2,main-33f8e7142,1,peak_rss_sample,,597436,KiB
matrix-s2,main-33f8e7142,1,daemon_vmhwm,,635184,KiB
matrix-s3,main-33f8e7142,1,established,1,0.8,s
matrix-s3,main-33f8e7142,1,cold_convergence,1,3.9,s
matrix-s3,main-33f8e7142,1,flap_withdraw_p50,1,0.31,s
matrix-s3,main-33f8e7142,1,flap_withdraw_p50,2,0.50,s
matrix-s3,main-33f8e7142,1,flap_withdraw_p50,3,0.45,s
matrix-s3,main-33f8e7142,1,flap_reannounce_p50,1,0.51,s
matrix-s3,main-33f8e7142,1,flap_reannounce_p50,2,0.52,s
matrix-s3,main-33f8e7142,1,flap_reannounce_p50,3,0.50,s
matrix-s3,main-33f8e7142,1,flap_first_reannounce_p50,1,0.32,s
matrix-s3,main-33f8e7142,1,flap_first_reannounce_p50,2,0.32,s
matrix-s3,main-33f8e7142,1,flap_first_reannounce_p50,3,0.32,s
matrix-s3,main-33f8e7142,1,flap_post_round_rss,1,412,MiB
matrix-s3,main-33f8e7142,1,flap_post_round_rss,2,412,MiB
matrix-s3,main-33f8e7142,1,flap_post_round_rss,3,416,MiB
matrix-s3,main-33f8e7142,1,settled_rss_last_sample,,650344,KiB
matrix-s3,main-33f8e7142,1,peak_rss_sample,,650344,KiB
matrix-s3,main-33f8e7142,1,daemon_vmhwm,,687444,KiB
matrix-s2,main-33f8e7142,2,established,1,0.8,s
matrix-s2,main-33f8e7142,2,cold_convergence,1,3.9,s
matrix-s2,main-33f8e7142,2,reload_completion_p50,1,1.60,s
matrix-s2,main-33f8e7142,2,reload_completion_p50,2,1.52,s
matrix-s2,main-33f8e7142,2,reload_completion_p50,3,1.46,s
matrix-s2,main-33f8e7142,2,reload_completion_p50,4,1.48,s
