repeat,cell,reload,peers_total,peers_changed,peers_stable,prefixes,completion_p50_s,completion_p95_s,completion_max_s,changed_maxgap_p50_ms,changed_maxgap_p95_ms,changed_maxgap_max_ms,all_observer_maxgap_p50_ms,all_observer_maxgap_p95_ms,all_observer_maxgap_max_ms,changed_first_generation_update_p50_ms,changed_first_generation_update_p95_ms,changed_first_generation_update_max_ms,rss_before_mib,rss_after_mib,stable_marker_peers,sessions_up,parse_errors
A,rustbgpd-sighup,1,320,320,0,183040,53.739961,100.231970,105.558885,284.635,289.422,300.225,284.635,289.422,300.225,53737.924,100229.711,105556.296,9263,9904,0,320,0
A,rustbgpd-sighup,2,320,320,0,183040,68.664574,117.225733,122.648022,8076.216,8076.291,8613.837,8076.216,8076.291,8613.837,68662.487,117223.524,122645.934,9869,10267,0,320,0
A,rustbgpd-sighup,3,320,320,0,183040,67.488085,115.552247,121.055586,8409.697,8412.089,8415.290,8409.697,8412.089,8415.290,67486.197,115550.151,121052.901,9837,10295,0,320,0
A,rustbgpd-sighup,4,320,320,0,183040,69.355775,117.110878,122.420258,9220.726,9222.092,9225.349,9220.726,9222.092,9225.349,69353.626,117108.951,122418.420,10249,10264,0,320,0
A,bird,1,320,320,0,183040,11.597430,12.759356,12.832790,794.553,1450.731,2245.388,934.298,1465.374,2245.388,1638.977,2049.475,2749.959,0,0,0,320,0
A,bird,2,320,320,0,183040,11.288770,12.226829,12.338685,780.977,1349.472,2008.034,869.397,1443.699,2008.034,1449.201,1855.595,2019.156,0,0,0,320,0
A,bird,3,320,320,0,183040,11.430423,12.083186,12.164486,761.890,1350.420,2225.046,782.167,1426.581,2225.046,1415.514,1803.573,2537.350,0,0,0,320,0
A,bird,4,320,320,0,183040,11.678179,12.373891,12.488123,781.198,1424.074,1824.391,822.376,1510.147,2022.180,1478.315,1842.016,2507.731,0,0,0,320,0
A,openbgpd,1,320,320,0,183040,61.583546,61.584449,61.584525,361.776,362.224,364.351,361.776,362.224,364.351,6955.575,6956.504,7050.536,0,0,0,320,0
A,openbgpd,2,320,320,0,183040,51.122822,51.123774,51.123878,486.796,487.295,492.751,486.796,487.295,492.751,6843.207,6843.970,7019.318,0,0,0,320,0
A,openbgpd,3,320,320,0,183040,69.856747,69.857612,69.860916,486.936,487.406,493.235,486.936,487.406,493.235,6976.357,6977.130,7241.423,0,0,0,320,0
A,openbgpd,4,320,320,0,183040,52.846387,52.847023,52.847095,501.887,502.745,508.178,501.887,502.745,508.178,7038.882,7039.987,7220.231,0,0,0,320,0
B,rustbgpd-sighup,1,320,320,0,183040,54.712486,101.771313,107.089895,305.025,305.320,314.630,305.025,305.320,314.630,54710.531,101769.200,107087.267,9285,9921,0,320,0
B,rustbgpd-sighup,2,320,320,0,183040,67.217630,114.094908,119.290775,8446.722,8448.068,8448.930,8446.722,8448.068,8448.930,67215.620,114092.886,119288.141,9881,10292,0,320,0
B,rustbgpd-sighup,3,320,320,0,183040,68.378251,116.682901,122.000132,8462.255,8463.478,8463.820,8462.255,8463.478,8463.820,68376.210,116680.955,121997.385,10260,10310,0,320,0
B,rustbgpd-sighup,4,320,320,0,183040,68.944209,116.263773,121.489506,8675.638,8676.667,8679.648,8675.638,8676.667,8679.648,68942.040,116261.702,121487.464,9991,10321,0,320,0
B,bird,1,320,320,0,183040,11.632280,12.842450,12.937409,803.447,1442.131,2218.788,822.004,1442.131,2218.788,1652.559,2089.774,2618.929,0,0,0,320,0
B,bird,2,320,320,0,183040,11.086718,12.204864,12.276283,784.908,1533.945,2043.831,785.271,1533.945,2043.831,1393.883,1768.305,2607.143,0,0,0,320,0
B,bird,3,320,320,0,183040,11.985343,13.169856,13.266963,768.175,2007.066,3222.753,853.033,2007.066,3222.753,1433.994,1871.195,2616.601,0,0,0,320,0
B,bird,4,320,320,0,183040,11.526966,12.359936,12.515074,771.973,1321.002,2057.603,792.863,1348.557,2057.603,1430.368,1832.672,2401.175,0,0,0,320,0
B,openbgpd,1,320,320,0,183040,61.649142,61.649952,61.657617,380.241,380.656,387.718,380.241,380.656,387.718,6963.850,6964.517,7062.594,0,0,0,320,0
B,openbgpd,2,320,320,0,183040,51.434799,51.437127,51.440985,419.519,420.062,423.822,419.519,420.062,423.822,7001.980,7002.669,7196.086,0,0,0,320,0
B,openbgpd,3,320,320,0,183040,69.679241,69.679882,69.680036,481.342,481.816,489.004,481.342,481.816,489.004,7003.862,7004.604,7253.072,0,0,0,320,0
B,openbgpd,4,320,320,0,183040,53.036503,53.037585,53.039117,497.731,498.831,504.321,497.731,498.831,504.321,7039.581,7040.374,7205.126,0,0,0,320,0
