repeat,cell,reload,peers_total,peers_changed,peers_stable,prefixes,completion_p50_s,completion_p95_s,completion_max_s,changed_maxgap_p50_ms,changed_maxgap_p95_ms,changed_maxgap_max_ms,all_observer_maxgap_p50_ms,all_observer_maxgap_p95_ms,all_observer_maxgap_max_ms,changed_first_generation_update_p50_ms,changed_first_generation_update_p95_ms,changed_first_generation_update_max_ms,rss_before_mib,rss_after_mib,stable_marker_peers,sessions_up,parse_errors
A,rustbgpd-sighup,1,320,320,0,183040,2.318060,2.420966,2.464565,721.592,812.082,883.810,721.592,812.082,883.810,2179.365,2269.499,2341.463,813,1341,0,320,0
A,rustbgpd-sighup,2,320,320,0,183040,3.630715,3.748425,3.760191,2075.612,2249.806,2285.226,2075.612,2249.806,2285.226,3534.436,3710.589,3744.986,1249,1736,0,320,0
A,rustbgpd-sighup,3,320,320,0,183040,3.766356,3.890554,3.907139,2236.223,2415.436,2427.458,2236.223,2415.436,2427.458,3694.491,3873.902,3885.585,1506,2022,0,320,0
A,rustbgpd-sighup,4,320,320,0,183040,3.565313,3.693785,3.710488,1956.596,2124.767,2147.046,1956.596,2124.767,2147.046,3498.174,3666.878,3689.220,1510,2039,0,320,0
A,bird,1,320,320,0,183040,13.102596,13.757402,13.844268,835.723,1558.939,2127.012,890.979,1558.939,2127.012,1771.643,2174.371,3015.498,0,0,0,320,0
A,bird,2,320,320,0,183040,12.343175,13.695374,13.763670,773.523,1613.536,2038.848,875.515,1613.536,2038.848,1492.919,1849.079,2543.409,0,0,0,320,0
A,bird,3,320,320,0,183040,12.315598,13.384166,13.472737,836.354,1746.456,2130.317,839.530,1746.456,2130.317,1471.879,1886.061,2587.105,0,0,0,320,0
A,bird,4,320,320,0,183040,12.468325,13.591425,13.638136,792.281,1563.490,2224.014,796.219,1563.490,2224.014,1485.000,1919.403,2548.208,0,0,0,320,0
A,openbgpd,1,320,320,0,183040,62.367633,62.379974,62.380073,368.427,368.958,385.298,368.427,368.958,385.298,7293.304,7293.991,7456.768,0,0,0,320,0
A,openbgpd,2,320,320,0,183040,57.377340,57.380330,57.381829,431.417,431.818,449.113,431.417,431.818,449.113,7440.822,7441.510,7560.324,0,0,0,320,0
A,openbgpd,3,320,320,0,183040,59.518267,59.522091,59.529829,430.369,430.944,442.980,430.369,430.944,442.980,7567.702,7568.411,7839.419,0,0,0,320,0
A,openbgpd,4,320,320,0,183040,57.521962,57.525890,57.528974,420.339,420.784,422.811,420.339,420.784,422.811,7580.445,7581.386,7688.858,0,0,0,320,0
B,rustbgpd-sighup,1,320,320,0,183040,2.206365,2.293257,2.352075,757.426,804.864,811.546,757.426,804.864,811.546,2113.053,2160.290,2165.717,804,1350,0,320,0
B,rustbgpd-sighup,2,320,320,0,183040,3.546842,3.650284,3.654858,1990.288,2151.511,2173.960,1990.288,2151.511,2173.960,3460.720,3623.230,3645.851,1247,1736,0,320,0
B,rustbgpd-sighup,3,320,320,0,183040,3.463031,3.544523,3.553750,1910.955,2062.821,2081.126,1910.955,2062.821,2081.126,3376.257,3527.521,3546.176,1507,2037,0,320,0
B,rustbgpd-sighup,4,320,320,0,183040,3.572521,3.656591,3.665658,2085.822,2225.931,2237.709,2085.822,2225.931,2237.709,3498.068,3638.758,3650.403,1510,2029,0,320,0
B,bird,1,320,320,0,183040,12.667900,13.813738,13.956951,822.797,1429.910,2166.188,935.744,1429.910,2166.188,1782.091,2159.937,2804.921,0,0,0,320,0
B,bird,2,320,320,0,183040,11.624415,12.663502,12.757352,803.988,1459.447,2288.550,808.882,1460.120,2288.550,1458.870,1847.962,2686.014,0,0,0,320,0
B,bird,3,320,320,0,183040,11.554441,13.322946,13.441872,800.460,1412.991,2076.958,807.827,1426.671,2076.958,1513.028,1915.931,2674.982,0,0,0,320,0
B,bird,4,320,320,0,183040,12.353339,12.884654,12.934716,765.485,1317.802,1729.269,818.789,1331.852,1729.269,1541.411,1899.985,2589.347,0,0,0,320,0
B,openbgpd,1,320,320,0,183040,62.740814,62.747889,62.751459,363.588,364.160,371.372,363.588,364.160,371.372,7404.388,7405.303,7553.218,0,0,0,320,0
B,openbgpd,2,320,320,0,183040,57.828716,57.833082,57.835594,430.392,430.874,430.915,430.392,430.874,430.915,7502.179,7503.046,7620.422,0,0,0,320,0
B,openbgpd,3,320,320,0,183040,60.199585,60.204836,60.209076,401.765,402.246,402.291,401.765,402.246,402.291,7880.240,7881.292,8190.236,0,0,0,320,0
B,openbgpd,4,320,320,0,183040,57.542717,57.548255,57.551470,443.140,443.665,450.771,443.140,443.665,450.771,7471.905,7472.650,7576.146,0,0,0,320,0
