repeat,cell,reload,peers_total,peers_changed,peers_stable,prefixes,completion_p50_s,completion_p95_s,completion_max_s,changed_maxgap_p50_ms,changed_maxgap_p95_ms,changed_maxgap_max_ms,all_observer_maxgap_p50_ms,all_observer_maxgap_p95_ms,all_observer_maxgap_max_ms,changed_first_generation_update_p50_ms,changed_first_generation_update_p95_ms,changed_first_generation_update_max_ms,rss_before_mib,rss_after_mib,stable_marker_peers,sessions_up,parse_errors
A,rustbgpd-sighup,1,320,320,0,183040,57.197439,106.966788,112.498008,310.603,317.772,332.070,317.712,318.550,332.070,57194.651,106964.125,112494.947,9389,10020,0,320,0
A,rustbgpd-sighup,2,320,320,0,183040,84.149392,134.328709,139.968848,18996.786,18998.039,18998.623,18996.786,18998.039,18998.623,84146.804,134325.614,139965.596,10000,10478,0,320,0
A,rustbgpd-sighup,3,320,320,0,183040,88.431546,140.713048,146.420791,20400.362,20402.289,20402.662,20400.362,20402.289,20402.662,88428.418,140710.318,146417.250,9963,10394,0,320,0
A,rustbgpd-sighup,4,320,320,0,183040,89.993812,143.317022,149.265084,20182.557,20184.797,20185.939,20182.557,20184.797,20185.939,89990.928,143314.428,149261.598,10179,10411,0,320,0
A,bird,1,320,320,0,183040,11.979378,13.002817,13.132630,851.286,1207.991,2386.474,878.696,1250.237,2386.474,1693.894,2170.353,3606.132,0,0,0,320,0
A,bird,2,320,320,0,183040,12.153820,13.348899,13.466145,799.269,1540.564,2248.876,835.842,1540.564,2248.876,1465.460,1885.152,2678.256,0,0,0,320,0
A,bird,3,320,320,0,183040,12.387911,13.404921,13.454963,796.656,1508.479,2060.572,837.355,1508.479,2060.572,1471.541,1874.999,2540.604,0,0,0,320,0
A,bird,4,320,320,0,183040,12.298530,13.239799,13.310128,777.639,1319.904,1975.751,780.621,1319.904,1975.751,1498.379,1874.076,2591.611,0,0,0,320,0
A,openbgpd,1,320,320,0,183040,61.226971,61.229922,61.237763,375.732,376.277,403.088,375.732,376.277,403.088,7385.750,7386.795,7572.551,0,0,0,320,0
A,openbgpd,2,320,320,0,183040,55.870921,55.874301,55.877242,419.759,420.226,420.266,419.759,420.226,420.266,7255.509,7256.370,7344.791,0,0,0,320,0
A,openbgpd,3,320,320,0,183040,60.352436,60.357620,60.366768,398.285,398.670,405.795,398.285,398.670,405.795,7578.343,7579.097,7714.355,0,0,0,320,0
A,openbgpd,4,320,320,0,183040,57.681285,57.683053,57.685831,472.246,472.824,515.973,472.246,472.824,515.973,7480.684,7481.573,7694.624,0,0,0,320,0
B,rustbgpd-sighup,1,320,320,0,183040,59.019579,110.609230,116.367156,317.161,318.424,374.199,317.808,318.471,374.199,59016.733,110606.137,116364.069,9394,10035,0,320,0
B,rustbgpd-sighup,2,320,320,0,183040,87.538875,139.340604,144.940758,12464.299,12464.330,19652.181,12464.299,12464.330,19652.181,87536.079,139337.714,144937.784,10003,10401,0,320,0
B,rustbgpd-sighup,3,320,320,0,183040,87.219737,138.787225,144.588464,19422.747,19424.882,19821.410,19422.747,19424.882,19821.410,87217.064,138784.042,144585.224,10343,10414,0,320,0
B,rustbgpd-sighup,4,320,320,0,183040,86.547227,137.942591,143.703486,19270.544,19272.701,19665.166,19270.544,19272.701,19665.166,86544.650,137939.549,143700.606,9979,10434,0,320,0
B,bird,1,320,320,0,183040,12.106890,13.581384,13.663774,839.985,2868.153,4182.895,840.666,2868.153,4182.895,1700.344,2146.753,2837.520,0,0,0,320,0
B,bird,2,320,320,0,183040,12.624123,13.284715,13.384939,749.015,1499.864,2276.641,797.463,1499.864,2276.641,1422.889,1807.897,2514.719,0,0,0,320,0
B,bird,3,320,320,0,183040,12.113927,12.998730,13.063214,769.406,1541.715,2158.682,1147.115,1541.715,2158.682,1475.272,1863.240,2576.104,0,0,0,320,0
B,bird,4,320,320,0,183040,11.501707,12.759593,12.918939,810.478,7184.666,8408.988,837.914,7184.666,8408.988,1431.281,1916.753,3995.783,0,0,0,320,0
B,openbgpd,1,320,320,0,183040,63.322449,63.324837,63.328165,390.978,391.526,391.583,390.978,391.526,391.583,7194.340,7195.023,7298.761,0,0,0,320,0
B,openbgpd,2,320,320,0,183040,58.204154,58.208709,58.211193,419.706,420.488,432.224,419.706,420.488,432.224,7551.369,7552.146,7690.535,0,0,0,320,0
B,openbgpd,3,320,320,0,183040,61.118544,61.122388,61.126126,438.536,438.993,439.039,438.536,438.993,439.039,7430.335,7431.161,7610.080,0,0,0,320,0
B,openbgpd,4,320,320,0,183040,58.090098,58.092589,58.093131,456.569,457.467,457.555,456.569,457.467,457.555,7300.874,7301.728,7407.291,0,0,0,320,0
