repeat,cell,reload,peers_total,peers_changed,peers_stable,prefixes,completion_p50_s,completion_p95_s,completion_max_s,changed_maxgap_p50_ms,changed_maxgap_p95_ms,changed_maxgap_max_ms,all_observer_maxgap_p50_ms,all_observer_maxgap_p95_ms,all_observer_maxgap_max_ms,changed_first_generation_update_p50_ms,changed_first_generation_update_p95_ms,changed_first_generation_update_max_ms,rss_before_mib,rss_after_mib,stable_marker_peers,sessions_up,parse_errors
A,rustbgpd-sighup,1,320,320,0,183040,1.055079,1.135334,1.160905,645.315,729.943,745.611,645.315,729.943,745.611,968.164,1052.546,1067.863,552,694,0,320,0
A,rustbgpd-sighup,2,320,320,0,183040,1.040555,1.113607,1.118233,659.945,764.204,786.314,659.945,764.204,786.314,985.192,1088.834,1111.206,608,735,0,320,0
A,rustbgpd-sighup,3,320,320,0,183040,1.051291,1.119291,1.125833,648.489,789.271,802.585,648.489,789.271,802.585,963.836,1104.009,1117.754,609,729,0,320,0
A,rustbgpd-sighup,4,320,320,0,183040,1.084586,1.168556,1.178333,661.000,811.323,824.795,661.000,811.323,824.795,1000.924,1151.949,1164.943,610,735,0,320,0
A,bird,1,320,320,0,183040,13.995071,15.101135,15.342811,853.975,6014.902,7669.097,876.758,6014.902,7669.097,1715.347,2169.349,3776.917,0,0,0,320,0
A,bird,2,320,320,0,183040,13.876370,15.126247,15.244577,859.953,1581.888,2408.948,859.961,1581.888,2408.948,1510.665,1945.682,3398.261,0,0,0,320,0
A,bird,3,320,320,0,183040,13.301489,15.223272,15.285525,885.267,1652.966,2116.821,970.547,1652.966,2116.821,1560.977,2013.602,2837.513,0,0,0,320,0
A,bird,4,320,320,0,183040,13.938134,15.529927,15.636795,877.120,1563.195,2308.790,877.711,1563.195,2308.790,1522.371,2013.409,2713.598,0,0,0,320,0
A,openbgpd,1,320,320,0,183040,54.763672,54.768421,54.771396,372.387,372.942,384.370,372.387,372.942,384.370,7482.011,7482.700,7564.471,0,0,0,320,0
A,openbgpd,2,320,320,0,183040,59.292052,59.294851,59.295000,432.414,432.937,434.656,432.414,432.937,434.656,7346.104,7346.798,7550.562,0,0,0,320,0
A,openbgpd,3,320,320,0,183040,61.959334,61.965319,61.968043,451.734,452.276,452.336,451.734,452.276,452.336,7377.392,7378.184,7695.427,0,0,0,320,0
A,openbgpd,4,320,320,0,183040,60.226190,60.227101,60.228323,461.740,462.265,462.327,461.740,462.265,462.327,7272.526,7273.515,7455.744,0,0,0,320,0
B,rustbgpd-sighup,1,320,320,0,183040,1.079646,1.139096,1.179097,630.718,701.963,725.060,630.718,701.963,725.060,979.460,1050.524,1073.721,546,684,0,320,0
B,rustbgpd-sighup,2,320,320,0,183040,1.030091,1.100104,1.105605,655.186,796.432,803.753,655.186,796.432,803.753,946.924,1088.127,1095.390,607,729,0,320,0
B,rustbgpd-sighup,3,320,320,0,183040,1.059795,1.116880,1.124689,659.759,774.465,782.453,659.759,774.465,782.453,988.701,1104.034,1111.053,608,731,0,320,0
B,rustbgpd-sighup,4,320,320,0,183040,1.055272,1.119974,1.131950,667.520,791.594,801.878,667.520,791.594,801.878,980.978,1104.593,1114.806,604,729,0,320,0
B,bird,1,320,320,0,183040,14.335333,16.078228,16.242314,837.692,1519.456,2110.558,1082.446,1561.031,2110.558,1803.715,2231.381,3067.547,0,0,0,320,0
B,bird,2,320,320,0,183040,13.928790,15.467630,15.633600,918.646,1665.287,2412.252,1069.636,1694.021,2412.252,1590.389,2083.727,2245.232,0,0,0,320,0
B,bird,3,320,320,0,183040,13.414517,15.220556,15.369819,873.417,1730.539,2633.384,883.766,1730.539,2633.384,1539.571,1985.958,2931.497,0,0,0,320,0
B,bird,4,320,320,0,183040,14.022905,14.932126,15.011330,850.160,1084.373,2217.835,852.459,1084.373,2217.835,1578.445,2015.495,2711.271,0,0,0,320,0
B,openbgpd,1,320,320,0,183040,54.691910,54.694214,54.697319,384.039,384.400,391.396,384.039,384.400,391.396,7510.942,7511.604,7653.478,0,0,0,320,0
B,openbgpd,2,320,320,0,183040,59.438169,59.441374,59.443113,418.680,419.034,424.225,418.680,419.034,424.225,7437.812,7438.521,7593.316,0,0,0,320,0
B,openbgpd,3,320,320,0,183040,61.725345,61.728880,61.730692,417.861,418.480,418.545,417.861,418.480,418.545,7384.816,7385.842,7638.510,0,0,0,320,0
B,openbgpd,4,320,320,0,183040,60.088834,60.090153,60.091947,493.011,493.668,493.733,493.011,493.668,493.733,7396.552,7397.294,7554.606,0,0,0,320,0
