root,cell,max_total_rss_kib
ov00-comparison-A,bird,1393616
ov00-comparison-A,openbgpd,1460436
ov00-comparison-A,rustbgpd-sighup,643680
ov00-comparison-B,bird,1398280
ov00-comparison-B,openbgpd,1232324
ov00-comparison-B,rustbgpd-sighup,637332
ov00-grouped-A,rustbgpd-sighup-grouped-control,635524
ov00-grouped-B,rustbgpd-sighup-grouped-control,636980
ov10-comparison-A,bird,1408860
ov10-comparison-A,openbgpd,1440264
ov10-comparison-A,rustbgpd-sighup,673064
ov10-comparison-B,bird,1405476
ov10-comparison-B,openbgpd,1239736
ov10-comparison-B,rustbgpd-sighup,673084
ov10-grouped-A,rustbgpd-sighup-grouped-control,641984
ov10-grouped-B,rustbgpd-sighup-grouped-control,647732
ov50-comparison-A,bird,1469020
ov50-comparison-A,openbgpd,1444452
ov50-comparison-A,rustbgpd-sighup,809740
ov50-comparison-B,bird,1453456
ov50-comparison-B,openbgpd,1254192
ov50-comparison-B,rustbgpd-sighup,802624
ov50-grouped-A,rustbgpd-sighup-grouped-control,664364
ov50-grouped-B,rustbgpd-sighup-grouped-control,667232
