epoch_s,latency_ms,exit
1788886685.070072185,11.0,0
1788886685.134395410,8.5,0
1788886685.196212066,8.7,0
1788886685.258349223,8.4,0
1788886685.320236275,8.6,0
1788886685.382601744,8.1,0
1788886685.444556908,9.3,0
1788886685.507287955,8.8,0
1788886685.569696949,8.5,0
1788886685.631670921,8.8,0
1788886685.694137762,8.3,0
1788886685.755882140,9.4,0
1788886685.818605155,8.7,0
1788886685.880645156,8.1,0
1788886685.942386981,8.5,0
1788886686.004257177,9.5,0
1788886686.067226311,8.2,0
1788886686.128834184,8.1,0
1788886686.190127947,7.9,0
1788886686.251326236,8.5,0
1788886686.313222501,8.0,0
1788886686.374512768,8.2,0
1788886686.436099069,8.4,0
1788886686.498188915,8.3,0
1788886686.560101074,8.0,0
1788886686.621489388,8.3,0
1788886686.683325173,8.5,0
1788886686.745369671,8.1,0
1788886686.807113067,8.2,0
1788886686.868720480,8.3,0
1788886686.930469815,12.0,0
1788886686.995812077,9.7,0
1788886687.058734050,8.3,0
1788886687.120337917,8.2,0
1788886687.182001154,8.4,0
1788886687.243651130,8.4,0
1788886687.305358121,8.3,0
1788886687.367047477,8.0,0
1788886687.428523782,8.3,0
1788886687.490106688,8.7,0
1788886687.552068492,8.2,0
1788886687.613780070,8.5,0
1788886687.675655705,8.8,0
1788886687.737815606,8.5,0
1788886687.799597099,8.3,0
1788886687.861328257,8.2,0
1788886687.923085825,8.5,0
1788886687.984876211,8.4,0
1788886688.046730754,8.5,0
1788886688.108461842,8.2,0
1788886688.170025739,8.8,0
1788886688.232507042,8.7,0
1788886688.294765450,8.7,0
1788886688.356997098,8.5,0
1788886688.418675647,8.7,0
1788886688.480618813,8.3,0
1788886688.542316771,8.6,0
1788886688.604027448,8.4,0
1788886688.665853919,7.9,0
1788886688.726888943,8.3,0
1788886688.788674102,8.4,0
1788886688.850246502,8.3,0
1788886688.911896508,9.3,0
1788886688.974711500,8.2,0
1788886689.036208557,8.0,0
1788886689.097425444,8.1,0
1788886689.158906687,8.3,0
1788886689.220487510,8.1,0
1788886689.282318787,8.3,0
1788886689.343833150,8.2,0
1788886689.405483817,8.3,0
1788886689.467138601,8.9,0
1788886689.529268025,8.7,0
1788886689.591151922,8.4,0
1788886689.653135268,8.1,0
1788886689.714568910,7.9,0
1788886689.775853218,8.5,0
1788886689.837673309,8.5,0
1788886689.899511387,8.2,0
1788886689.960891839,8.2,0
1788886690.022512391,8.8,0
1788886690.084734174,8.2,0
1788886690.146146143,8.4,0
1788886690.207914677,8.4,0
1788886690.269519365,8.3,0
1788886690.331021590,8.4,0
1788886690.392976032,8.0,0
1788886690.454425508,8.3,0
1788886690.515989214,8.1,0
1788886690.577638539,7.9,0
1788886690.638739372,8.4,0
1788886690.700469688,8.2,0
1788886690.762217842,8.8,0
1788886690.824200296,8.1,0
1788886690.885514849,8.1,0
1788886690.946987820,8.5,0
1788886691.009085807,8.5,0
1788886691.070931557,8.5,0
1788886691.132775604,8.5,0
1788886691.194774643,8.6,0
1788886691.256715825,8.5,0
1788886691.318643678,8.1,0
1788886691.380298141,9.0,0
1788886691.442782988,8.1,0
1788886691.504286414,8.3,0
1788886691.565845664,8.1,0
1788886691.627089040,8.1,0
1788886691.688528671,7.8,0
1788886691.750066539,7.8,0
1788886691.811092660,7.7,0
1788886691.871873853,7.8,0
1788886691.932938812,7.8,0
1788886691.994380806,8.6,0
1788886692.056193185,8.0,0
1788886692.117743421,8.4,0
1788886692.179522721,8.1,0
1788886692.240945086,8.4,0
1788886692.303016584,9.0,0
1788886692.365424506,8.3,0
1788886692.427285848,8.1,0
1788886692.488755574,7.7,0
1788886692.550061775,8.4,0
1788886692.611604680,8.8,0
1788886692.674144299,8.1,0
1788886692.735434937,8.5,0
1788886692.797144352,8.0,0
1788886692.858665514,8.4,0
1788886692.920609030,8.5,0
1788886692.982502080,8.6,0
1788886693.044855962,8.0,0
1788886693.106243163,8.1,0
1788886693.167541081,8.0,0
1788886693.228751738,8.5,0
1788886693.290591168,8.5,0
1788886693.352889065,9.0,0
1788886693.415236276,8.7,0
1788886693.477435616,8.4,0
1788886693.539280894,8.3,0
1788886693.600962567,8.8,0
1788886693.663207635,8.5,0
1788886693.725286935,8.8,0
1788886693.787369809,8.3,0
1788886693.848944162,8.4,0
1788886693.910809430,8.7,0
1788886693.972630192,8.4,0
1788886694.034632586,8.6,0
1788886694.096658475,8.3,0
1788886694.158207009,8.1,0
1788886694.219746379,8.6,0
1788886694.281609554,8.9,0
1788886694.344230466,8.3,0
1788886694.405851648,8.3,0
1788886694.467334223,8.4,0
1788886694.529163517,8.5,0
1788886694.591048495,8.9,0
1788886694.653547063,8.5,0
1788886694.715513323,8.8,0
1788886694.777853483,8.6,0
1788886694.840077340,8.5,0
1788886694.901862959,8.5,0
1788886694.963649259,8.8,0
1788886695.025848698,8.4,0
1788886695.087668037,8.2,0
1788886695.149086917,8.3,0
1788886695.210828289,8.4,0
1788886695.272758355,8.7,0
1788886695.334904454,8.0,0
1788886695.396062502,8.2,0
1788886695.457746759,8.6,0
1788886695.519645978,8.5,0
1788886695.581433600,8.6,0
1788886695.643404157,8.3,0
1788886695.705129095,8.5,0
1788886695.767181573,8.6,0
1788886695.829119972,8.3,0
1788886695.890857358,8.3,0
1788886695.952592842,8.4,0
1788886696.014451991,8.5,0
1788886696.076370179,8.5,0
1788886696.138391932,8.5,0
1788886696.200326224,8.6,0
1788886696.262341456,8.6,0
1788886696.324150420,8.5,0
1788886696.385941327,8.5,0
1788886696.448010101,8.4,0
1788886696.509701599,8.8,0
1788886696.571986976,8.6,0
1788886696.634156311,8.3,0
1788886696.696479035,8.4,0
1788886696.758245896,8.5,0
1788886696.820287218,8.4,0
1788886696.882084274,8.8,0
1788886696.944303302,8.7,0
1788886697.006393899,8.5,0
1788886697.068234169,8.2,0
1788886697.130050264,8.4,0
1788886697.191723494,8.1,0
1788886697.253003525,8.1,0
1788886697.314574602,8.3,0
1788886697.376359439,8.1,0
1788886697.437683166,8.3,0
1788886697.499719931,8.3,0
1788886697.561271529,8.1,0
1788886697.622839942,8.5,0
1788886697.684709797,8.1,0
1788886697.746028246,8.1,0
1788886697.807499984,8.2,0
1788886697.869439073,8.2,0
1788886697.931132553,8.3,0
1788886697.992847126,7.9,0
1788886698.054059104,8.8,0
1788886698.116079155,8.3,0
1788886698.177758554,8.1,0
1788886698.239088810,9.9,0
1788886698.302322410,8.9,0
1788886698.364583201,8.4,0
1788886698.426277172,8.3,0
1788886698.488027037,8.5,0
1788886698.549777213,8.4,0
1788886698.611324885,8.3,0
1788886698.672900308,8.0,0
1788886698.734164305,8.4,0
1788886698.795930975,8.2,0
1788886698.857330375,8.7,0
1788886698.919434882,8.4,0
1788886698.981172098,8.2,0
1788886699.042708663,8.7,0
1788886699.104564067,8.6,0
1788886699.166401693,8.8,0
1788886699.228626070,8.3,0
1788886699.290386510,8.5,0
1788886699.352245689,8.2,0
1788886699.413980402,8.1,0
1788886699.475861103,8.5,0
1788886699.537944928,8.3,0
1788886699.599831208,8.4,0
1788886699.661401654,8.4,0
