epoch_s,prefix,latency_ms,exit
1788886685.070072115,20.0.0.0/24,8.7,0
1788886685.081415582,3001::/48,7.9,0
1788886685.342716407,20.0.0.0/24,8.4,0
1788886685.353578822,3001::/48,8.3,0
1788886685.615146027,20.0.0.0/24,9.7,0
1788886685.627313368,3001::/48,14.2,0
1788886685.894943112,20.0.0.0/24,9.2,0
1788886685.906661140,3001::/48,10.3,0
1788886686.170472880,20.0.0.0/24,9.9,0
1788886686.183109695,3001::/48,9.1,0
1788886686.445548786,20.0.0.0/24,9.3,0
1788886686.457413684,3001::/48,8.6,0
1788886686.719543592,20.0.0.0/24,8.9,0
1788886686.731151275,3001::/48,9.1,0
1788886686.993660481,20.0.0.0/24,9.2,0
1788886687.005315365,3001::/48,8.7,0
1788886687.267719804,20.0.0.0/24,9.4,0
1788886687.279505423,3001::/48,8.9,0
1788886687.541819376,20.0.0.0/24,9.2,0
1788886687.553826848,3001::/48,10.1,0
1788886687.817416124,20.0.0.0/24,8.8,0
1788886687.828683185,3001::/48,8.7,0
1788886688.090793573,20.0.0.0/24,9.4,0
1788886688.102677800,3001::/48,8.9,0
1788886688.364971523,20.0.0.0/24,8.9,0
1788886688.376485365,3001::/48,8.6,0
1788886688.638439439,20.0.0.0/24,9.7,0
1788886688.650437176,3001::/48,8.9,0
1788886688.912833633,20.0.0.0/24,9.5,0
1788886688.924743678,3001::/48,8.7,0
1788886689.187039484,20.0.0.0/24,8.9,0
1788886689.198267968,3001::/48,8.7,0
1788886689.460144795,20.0.0.0/24,9.1,0
1788886689.471717566,3001::/48,9.1,0
1788886689.734066822,20.0.0.0/24,8.9,0
1788886689.745509647,3001::/48,10.5,0
1788886690.009462717,20.0.0.0/24,9.3,0
1788886690.021385682,3001::/48,9.1,0
1788886690.283944371,20.0.0.0/24,9.5,0
1788886690.295913265,3001::/48,8.9,0
1788886690.558420728,20.0.0.0/24,9.1,0
1788886690.569999337,3001::/48,8.7,0
1788886690.831982954,20.0.0.0/24,9.1,0
1788886690.843375183,3001::/48,8.9,0
1788886691.105720993,20.0.0.0/24,9.2,0
1788886691.117230228,3001::/48,8.8,0
1788886691.379178692,20.0.0.0/24,9.6,0
1788886691.391415878,3001::/48,9.3,0
1788886691.654175939,20.0.0.0/24,8.9,0
1788886691.665390062,3001::/48,8.6,0
1788886691.927334730,20.0.0.0/24,8.9,0
1788886691.938649854,3001::/48,8.6,0
1788886692.200613170,20.0.0.0/24,8.8,0
1788886692.211794002,3001::/48,8.8,0
1788886692.474028716,20.0.0.0/24,9.2,0
1788886692.485597509,3001::/48,9.0,0
1788886692.748268837,20.0.0.0/24,9.5,0
1788886692.760102078,3001::/48,10.1,0
1788886693.023524852,20.0.0.0/24,9.8,0
1788886693.035885143,3001::/48,9.8,0
1788886693.298982628,20.0.0.0/24,9.2,0
1788886693.310857381,3001::/48,9.0,0
1788886693.573226115,20.0.0.0/24,9.2,0
1788886693.585002901,3001::/48,8.9,0
1788886693.847381029,20.0.0.0/24,9.1,0
1788886693.859046387,3001::/48,9.9,0
1788886694.122439707,20.0.0.0/24,8.7,0
1788886694.133511426,3001::/48,9.1,0
1788886694.395856293,20.0.0.0/24,9.2,0
1788886694.407565878,3001::/48,8.5,0
1788886694.669371307,20.0.0.0/24,9.7,0
1788886694.681679780,3001::/48,9.2,0
1788886694.944114242,20.0.0.0/24,9.7,0
1788886694.956163886,3001::/48,9.6,0
1788886695.219185268,20.0.0.0/24,9.0,0
1788886695.230677267,3001::/48,9.0,0
1788886695.493356836,20.0.0.0/24,9.3,0
1788886695.505159490,3001::/48,8.9,0
1788886695.767483426,20.0.0.0/24,9.5,0
1788886695.779757007,3001::/48,8.9,0
1788886696.042230767,20.0.0.0/24,9.4,0
1788886696.054230347,3001::/48,9.9,0
1788886696.317438648,20.0.0.0/24,9.3,0
1788886696.329424778,3001::/48,10.4,0
1788886696.593314581,20.0.0.0/24,9.3,0
1788886696.604962193,3001::/48,9.1,0
1788886696.867545557,20.0.0.0/24,9.4,0
1788886696.879221081,3001::/48,9.8,0
1788886697.142248351,20.0.0.0/24,8.8,0
1788886697.153492658,3001::/48,8.9,0
1788886697.415756173,20.0.0.0/24,10.0,0
1788886697.428244596,3001::/48,8.7,0
1788886697.690272507,20.0.0.0/24,8.8,0
1788886697.701418337,3001::/48,9.1,0
1788886697.964260509,20.0.0.0/24,9.0,0
1788886697.975594401,3001::/48,8.9,0
1788886698.237964855,20.0.0.0/24,10.1,0
1788886698.250791425,3001::/48,10.2,0
1788886698.514333065,20.0.0.0/24,9.1,0
1788886698.525782831,3001::/48,8.7,0
1788886698.787851202,20.0.0.0/24,9.5,0
1788886698.799910532,3001::/48,10.4,0
1788886699.063635567,20.0.0.0/24,9.0,0
1788886699.075249178,3001::/48,10.1,0
1788886699.338668665,20.0.0.0/24,9.5,0
1788886699.350757519,3001::/48,9.4,0
