cell	peers	total	ipv4	ipv6	changed	filter
200-validation-90-P	200	114400	102960	11440	170	0
200-validation-90-F	200	114400	102960	11440	170	32
200-validation-50-P	200	114400	57200	57200	170	0
200-validation-50-F	200	114400	57200	57200	170	32
700-A-90-P	700	400400	360360	40040	600	0
700-A-90-F	700	400400	360360	40040	600	32
700-A-50-P	700	400400	200200	200200	600	0
700-A-50-F	700	400400	200200	200200	600	32
700-B-90-P	700	400400	360360	40040	600	0
700-B-90-F	700	400400	360360	40040	600	32
700-B-50-P	700	400400	200200	200200	600	0
700-B-50-F	700	400400	200200	200200	600	32
