epoch_s,latency_ms,exit
1788815494.597785883,9.6,0
1788815494.660453656,8.5,0
1788815494.722022764,9.0,0
1788815494.784257639,9.1,0
1788815494.846202139,9.2,0
1788815494.908258376,8.4,0
1788815494.970093632,9.8,0
1788815495.032833813,10.0,0
1788815495.096234414,9.1,0
1788815495.158147497,7.9,0
1788815495.219002115,8.5,0
1788815495.280574097,8.3,0
1788815495.341835434,8.5,0
1788815495.403093045,8.6,0
1788815495.464725958,9.0,0
1788815495.527146881,9.1,0
1788815495.589122307,8.9,0
1788815495.651211905,8.9,0
1788815495.713337836,9.3,0
1788815495.776438548,12.4,0
1788815495.841588128,9.7,0
1788815495.903914020,9.2,0
1788815495.965811860,9.4,0
1788815496.028688546,8.1,0
1788815496.090047348,9.3,0
1788815496.152995061,9.0,0
1788815496.215026551,9.1,0
1788815496.276799133,8.0,0
1788815496.337563776,9.3,0
1788815496.399676107,8.9,0
1788815496.461693066,9.0,0
1788815496.523387321,8.4,0
1788815496.585237660,9.0,0
1788815496.647845724,9.3,0
1788815496.709782382,9.0,0
1788815496.771562696,8.8,0
1788815496.833351082,8.8,0
1788815496.895431586,9.1,0
1788815496.958227491,9.4,0
1788815497.021095404,8.5,0
1788815497.082254718,8.8,0
1788815497.143778638,9.8,0
1788815497.206838118,9.8,0
1788815497.269736216,8.7,0
1788815497.331036170,8.2,0
1788815497.392838637,8.9,0
1788815497.454950268,8.9,0
1788815497.517203821,8.9,0
1788815497.578897615,8.5,0
1788815497.640291480,8.3,0
1788815497.701721880,8.8,0
1788815497.763568253,9.1,0
1788815497.825449398,9.0,0
1788815497.887503873,7.9,0
1788815497.948491370,9.2,0
1788815498.010935528,8.9,0
1788815498.072827731,9.1,0
1788815498.134979901,9.2,0
1788815498.196866224,8.5,0
1788815498.259067808,9.0,0
1788815498.321557144,9.1,0
1788815498.384409254,9.2,0
1788815498.446581985,8.3,0
1788815498.508055069,8.6,0
1788815498.569629134,8.7,0
1788815498.632033562,8.9,0
1788815498.693418354,8.5,0
1788815498.755209515,9.0,0
1788815498.817789266,8.5,0
1788815498.879334057,8.8,0
1788815498.941312979,9.3,0
1788815499.003709936,8.3,0
1788815499.064948009,8.4,0
1788815499.126417998,9.3,0
1788815499.189530527,8.5,0
1788815499.250577683,8.2,0
1788815499.311855625,8.7,0
1788815499.374125222,9.1,0
1788815499.436066286,8.9,0
1788815499.497576336,8.5,0
1788815499.559151132,8.5,0
1788815499.621085507,8.8,0
1788815499.682645110,8.7,0
1788815499.744424092,8.4,0
1788815499.805600772,8.3,0
1788815499.867444972,8.6,0
1788815499.929178196,8.5,0
1788815499.990788935,8.7,0
1788815500.052120948,8.1,0
1788815500.113311128,8.6,0
1788815500.174986515,8.6,0
1788815500.236877765,9.5,0
1788815500.299140162,8.6,0
1788815500.360808708,8.2,0
1788815500.421748283,8.3,0
1788815500.482663862,8.4,0
1788815500.544832077,8.9,0
1788815500.606494855,8.1,0
1788815500.667689272,8.3,0
1788815500.729006001,8.9,0
1788815500.791035719,9.2,0
1788815500.853513678,8.2,0
1788815500.915021524,8.3,0
1788815500.976481388,9.0,0
1788815501.038587580,8.5,0
1788815501.100080935,8.8,0
1788815501.161648540,8.1,0
1788815501.223804697,9.4,0
1788815501.287430395,8.6,0
1788815501.348647416,8.9,0
1788815501.410633318,8.1,0
1788815501.471936507,8.7,0
1788815501.533943661,9.9,0
1788815501.597673505,8.7,0
1788815501.659236865,8.4,0
