epoch_s,prefix,latency_ms,exit
1788815494.597943840,20.0.0.0/24,10.5,0
1788815494.610297623,3001::/48,7.5,0
1788815494.870810807,20.0.0.0/24,8.0,0
1788815494.880610625,3001::/48,8.0,0
1788815495.141458200,20.0.0.0/24,8.6,0
1788815495.151764817,3001::/48,7.9,0
1788815495.412688416,20.0.0.0/24,8.7,0
1788815495.423062735,3001::/48,7.8,0
1788815495.684067906,20.0.0.0/24,9.2,0
1788815495.695025188,3001::/48,7.9,0
1788815495.956651309,20.0.0.0/24,8.0,0
1788815495.966620220,3001::/48,8.3,0
1788815496.227659933,20.0.0.0/24,8.2,0
1788815496.237642645,3001::/48,12.4,0
1788815496.502958132,20.0.0.0/24,8.4,0
1788815496.513352601,3001::/48,7.7,0
1788815496.774293526,20.0.0.0/24,8.1,0
1788815496.784206043,3001::/48,8.5,0
1788815497.045239336,20.0.0.0/24,7.9,0
1788815497.054946035,3001::/48,7.9,0
1788815497.315785448,20.0.0.0/24,9.0,0
1788815497.326461318,3001::/48,7.8,0
1788815497.586856626,20.0.0.0/24,8.2,0
1788815497.597217875,3001::/48,8.6,0
1788815497.858529996,20.0.0.0/24,7.9,0
1788815497.868569243,3001::/48,8.3,0
1788815498.130167073,20.0.0.0/24,8.5,0
1788815498.140763094,3001::/48,7.9,0
1788815498.401267183,20.0.0.0/24,8.5,0
1788815498.411508843,3001::/48,8.1,0
1788815498.672286293,20.0.0.0/24,8.0,0
1788815498.682093552,3001::/48,8.3,0
1788815498.943200356,20.0.0.0/24,8.3,0
1788815498.953315837,3001::/48,8.0,0
1788815499.214050132,20.0.0.0/24,7.9,0
1788815499.223681358,3001::/48,7.8,0
1788815499.484843885,20.0.0.0/24,8.2,0
1788815499.494853437,3001::/48,7.6,0
1788815499.755165751,20.0.0.0/24,8.0,0
1788815499.765035033,3001::/48,8.5,0
1788815500.026761986,20.0.0.0/24,8.4,0
1788815500.036842644,3001::/48,8.2,0
1788815500.298526342,20.0.0.0/24,8.8,0
1788815500.309189163,3001::/48,8.2,0
1788815500.570581154,20.0.0.0/24,7.9,0
1788815500.580444818,3001::/48,7.9,0
1788815500.841204211,20.0.0.0/24,8.4,0
1788815500.851443818,3001::/48,8.4,0
1788815501.112438113,20.0.0.0/24,8.2,0
1788815501.122359543,3001::/48,7.9,0
1788815501.383769071,20.0.0.0/24,8.0,0
1788815501.393572634,3001::/48,8.0,0
1788815501.654317917,20.0.0.0/24,8.7,0
1788815501.664753247,3001::/48,7.9,0
1788815501.925568604,20.0.0.0/24,8.1,0
1788815501.935445237,3001::/48,7.6,0
