epoch_s,latency_ms,exit
1788815323.926103977,10.3,0
1788815323.989539796,8.9,0
1788815324.051448679,10.6,0
1788815324.115497967,8.5,0
1788815324.176825839,9.0,0
1788815324.238949834,8.0,0
1788815324.299949525,8.6,0
1788815324.361299150,9.1,0
1788815324.423965426,8.9,0
1788815324.485692957,8.4,0
1788815324.547098616,8.6,0
1788815324.608720589,8.8,0
1788815324.670562140,9.0,0
1788815324.732567828,8.1,0
1788815324.793297484,10.5,0
1788815324.857473252,8.6,0
1788815324.918981184,8.7,0
1788815324.981996163,8.9,0
1788815325.044037023,7.6,0
1788815325.104909664,8.2,0
1788815325.166171137,9.0,0
1788815325.228255862,9.3,0
1788815325.290644674,9.9,0
1788815325.353642067,9.6,0
1788815325.415902265,9.8,0
1788815325.478854110,8.5,0
1788815325.540163865,8.9,0
1788815325.601906679,8.8,0
1788815325.663866077,8.7,0
1788815325.725920467,8.4,0
1788815325.787574368,10.7,0
1788815325.850888586,8.4,0
1788815325.912395556,8.8,0
1788815325.973858631,8.3,0
1788815326.034818532,11.7,0
1788815326.099443753,57.4,0
1788815326.209868629,8.7,0
1788815326.272460895,8.7,0
1788815326.334129898,8.8,0
1788815326.395705682,9.9,0
1788815326.459656182,9.6,0
1788815326.522356019,9.0,0
1788815326.583913386,9.6,0
1788815326.646444210,8.6,0
1788815326.708193473,8.8,0
1788815326.770196446,8.4,0
1788815326.831993161,9.6,0
1788815326.894571817,9.1,0
1788815326.956889502,8.5,0
1788815327.018357304,8.7,0
1788815327.079995020,8.6,0
1788815327.141373057,9.4,0
1788815327.204081528,8.7,0
1788815327.265691412,7.9,0
1788815327.326654548,11.3,0
1788815327.390778579,9.4,0
1788815327.452885718,8.6,0
1788815327.514703464,8.9,0
1788815327.576883032,8.8,0
1788815327.638282432,10.0,0
1788815327.701875547,9.3,0
1788815327.764233332,9.1,0
1788815327.826911637,7.8,0
1788815327.887529185,8.4,0
1788815327.948839782,12.0,0
1788815328.013232054,9.0,0
1788815328.075330710,7.9,0
1788815328.136583120,8.0,0
1788815328.197861218,9.6,0
1788815328.260599873,8.6,0
1788815328.322276999,9.0,0
1788815328.384185260,8.9,0
1788815328.446135956,8.3,0
