epoch_s,prefix,latency_ms,exit
1788815323.926314172,20.0.0.0/24,10.6,0
1788815323.938834133,3001::/48,8.0,0
1788815324.199822041,20.0.0.0/24,8.9,0
1788815324.210692362,3001::/48,8.0,0
1788815324.471406270,20.0.0.0/24,10.6,0
1788815324.483998970,3001::/48,9.6,0
1788815324.746798932,20.0.0.0/24,8.5,0
1788815324.757044838,3001::/48,8.6,0
1788815325.018570752,20.0.0.0/24,8.5,0
1788815325.029147302,3001::/48,9.1,0
1788815325.291602989,20.0.0.0/24,9.0,0
1788815325.302640190,3001::/48,8.1,0
1788815325.563809199,20.0.0.0/24,8.3,0
1788815325.573839191,3001::/48,7.9,0
1788815325.834757916,20.0.0.0/24,8.8,0
1788815325.845372303,3001::/48,8.0,0
1788815326.106331078,20.0.0.0/24,51.0,0
1788815326.159208294,3001::/48,8.6,0
1788815326.421772393,20.0.0.0/24,8.6,0
1788815326.431947562,3001::/48,8.5,0
1788815326.692999417,20.0.0.0/24,8.6,0
1788815326.703360224,3001::/48,7.8,0
1788815326.964127883,20.0.0.0/24,8.4,0
1788815326.974309652,3001::/48,10.6,0
1788815327.237847880,20.0.0.0/24,8.6,0
1788815327.248199494,3001::/48,8.4,0
1788815327.510139308,20.0.0.0/24,9.0,0
1788815327.520683160,3001::/48,10.9,0
1788815327.784667547,20.0.0.0/24,9.5,0
1788815327.796024787,3001::/48,8.1,0
1788815328.057483150,20.0.0.0/24,7.9,0
1788815328.067168296,3001::/48,7.9,0
1788815328.327792199,20.0.0.0/24,9.0,0
1788815328.338349030,3001::/48,8.0,0
1788815328.598686495,20.0.0.0/24,7.2,0
1788815328.607410891,3001::/48,8.5,0
1788815328.868486862,20.0.0.0/24,9.5,0
1788815328.879501789,3001::/48,8.3,0
1788815329.140402437,20.0.0.0/24,7.9,0
1788815329.150100723,3001::/48,8.3,0
1788815329.411079438,20.0.0.0/24,8.1,0
1788815329.420751784,3001::/48,7.4,0
1788815329.681541907,20.0.0.0/24,9.0,0
1788815329.692353079,3001::/48,11.2,0
1788815329.956409403,20.0.0.0/24,9.6,0
1788815329.967560755,3001::/48,8.5,0
1788815330.228992378,20.0.0.0/24,9.2,0
1788815330.239955248,3001::/48,8.2,0
1788815330.501084738,20.0.0.0/24,9.0,0
1788815330.512171173,3001::/48,9.1,0
1788815330.774585438,20.0.0.0/24,9.2,0
1788815330.785633695,3001::/48,7.6,0
1788815331.046190539,20.0.0.0/24,8.6,0
1788815331.056530155,3001::/48,8.5,0
1788815331.318062939,20.0.0.0/24,7.5,0
1788815331.327454896,3001::/48,8.0,0
1788815331.588395985,20.0.0.0/24,8.3,0
1788815331.598747369,3001::/48,8.4,0
1788815331.862683153,20.0.0.0/24,9.9,0
1788815331.874825288,3001::/48,8.9,0
1788815332.137490299,20.0.0.0/24,7.9,0
1788815332.146817839,3001::/48,7.9,0
1788815332.407323246,20.0.0.0/24,8.1,0
1788815332.417307890,3001::/48,9.1,0
1788815332.679749747,20.0.0.0/24,8.2,0
1788815332.689955702,3001::/48,8.0,0
1788815332.950396783,20.0.0.0/24,7.7,0
1788815332.959641499,3001::/48,7.5,0
1788815333.220211051,20.0.0.0/24,9.2,0
1788815333.231325277,3001::/48,9.0,0
1788815333.492906716,20.0.0.0/24,8.3,0
1788815333.503022025,3001::/48,8.3,0
1788815333.764498026,20.0.0.0/24,9.4,0
