epoch_s,latency_ms,exit
1789059254.779301972,11.0,0
1789059254.843604887,8.6,0
1789059254.905235005,8.8,0
1789059254.967506864,8.6,0
1789059255.029449451,9.0,0
1789059255.091766949,8.9,0
1789059255.154083866,9.8,0
1789059255.217554043,8.6,0
1789059255.279591922,8.6,0
1789059255.341277062,19.0,0
1789059255.413790116,9.0,0
1789059255.476292511,8.9,0
1789059255.538597250,9.5,0
1789059255.601821999,9.6,0
1789059255.664790804,8.8,0
1789059255.726874952,8.4,0
1789059255.788716297,8.7,0
1789059255.850806214,8.5,0
1789059255.912698705,8.5,0
1789059255.974568031,8.6,0
1789059256.036378900,8.4,0
1789059256.098251762,8.6,0
1789059256.160589931,7.9,0
1789059256.222052638,8.3,0
1789059256.283649356,8.2,0
1789059256.345502057,8.2,0
1789059256.407465254,8.6,0
1789059256.469359257,8.5,0
1789059256.531533551,8.4,0
1789059256.593349377,8.7,0
1789059256.655521448,8.2,0
1789059256.717091486,8.0,0
1789059256.778425560,8.3,0
1789059256.840203349,8.6,0
1789059256.901777813,8.5,0
1789059256.963637525,8.6,0
1789059257.025465319,8.2,0
1789059257.086908617,8.4,0
1789059257.148580267,8.2,0
1789059257.210053970,8.3,0
1789059257.271779761,8.5,0
1789059257.333727045,9.0,0
1789059257.395781278,8.6,0
1789059257.458024385,8.4,0
1789059257.519935955,8.4,0
1789059257.581656338,8.6,0
1789059257.643531804,8.3,0
1789059257.705078717,8.2,0
1789059257.766590718,8.5,0
1789059257.828454546,8.2,0
1789059257.890150723,8.3,0
1789059257.951803034,9.4,0
1789059258.014571839,8.7,0
1789059258.076480073,10.0,0
1789059258.140204341,9.1,0
1789059258.202811784,8.7,0
1789059258.264860229,8.4,0
1789059258.326783346,8.5,0
1789059258.388594205,8.1,0
1789059258.449939666,8.4,0
1789059258.511844015,8.1,0
1789059258.573256677,8.7,0
1789059258.635066765,8.3,0
1789059258.696711344,8.8,0
1789059258.758929994,8.6,0
1789059258.821075595,8.5,0
1789059258.882837761,8.9,0
1789059258.945489581,8.2,0
1789059259.006886429,8.6,0
1789059259.068696637,8.1,0
1789059259.130020846,8.4,0
1789059259.191752916,9.0,0
1789059259.254047661,8.6,0
1789059259.315942005,8.6,0
1789059259.377966995,8.1,0
1789059259.439678434,8.4,0
1789059259.501327370,8.4,0
1789059259.563081554,8.5,0
1789059259.624830841,8.4,0
1789059259.686426707,8.0,0
1789059259.747635173,8.6,0
1789059259.809862617,8.3,0
1789059259.871812484,8.4,0
1789059259.933586858,8.9,0
1789059259.995861532,9.0,0
1789059260.058073082,8.1,0
1789059260.119341017,9.0,0
1789059260.181499036,9.0,0
1789059260.243918447,8.4,0
1789059260.305694985,8.1,0
1789059260.367174326,8.9,0
1789059260.429413537,8.2,0
1789059260.490893140,8.2,0
1789059260.552550809,8.3,0
1789059260.614318173,8.3,0
1789059260.675984435,8.7,0
1789059260.738009685,8.8,0
1789059260.800132091,8.4,0
1789059260.861674618,8.0,0
1789059260.923357805,8.7,0
1789059260.985130557,8.8,0
1789059261.047487875,8.4,0
1789059261.109325254,8.1,0
1789059261.171046568,8.6,0
1789059261.233226430,8.7,0
1789059261.295338210,8.7,0
1789059261.357242379,8.4,0
1789059261.419144835,8.3,0
1789059261.481020051,8.4,0
1789059261.542835086,8.8,0
1789059261.605152164,8.5,0
1789059261.666864094,8.5,0
1789059261.728776485,9.3,0
1789059261.791419852,8.7,0
1789059261.853483781,9.4,0
1789059261.916635800,8.7,0
1789059261.978593790,8.7,0
1789059262.040771208,8.7,0
1789059262.103135197,8.6,0
1789059262.165048539,9.8,0
1789059262.228118666,9.5,0
1789059262.291137736,8.6,0
1789059262.353539461,8.5,0
1789059262.415390410,8.5,0
1789059262.477472856,8.5,0
1789059262.539509294,8.3,0
1789059262.601280523,8.4,0
1789059262.663152654,8.1,0
1789059262.724827068,8.6,0
1789059262.786671167,8.7,0
1789059262.848986302,9.2,0
1789059262.911613725,8.8,0
1789059262.973984864,9.1,0
1789059263.036409273,8.4,0
1789059263.098556225,9.5,0
1789059263.161469127,9.3,0
1789059263.224193766,8.7,0
1789059263.286303022,8.8,0
1789059263.348748733,13.6,0
1789059263.415748451,8.6,0
1789059263.477703296,8.9,0
1789059263.540315476,8.8,0
1789059263.602849589,9.2,0
1789059263.665598254,9.3,0
1789059263.728571486,8.6,0
1789059263.790601984,8.7,0
1789059263.852605742,8.5,0
1789059263.914661188,9.4,0
1789059263.977568821,9.0,0
1789059264.040147952,9.6,0
1789059264.103242235,8.5,0
1789059264.165107496,8.7,0
1789059264.227329882,8.4,0
1789059264.289129344,8.6,0
1789059264.351629326,8.4,0
1789059264.413256219,8.1,0
1789059264.474705315,8.3,0
1789059264.536439520,8.4,0
1789059264.598258741,8.8,0
1789059264.660945112,8.4,0
1789059264.722509963,8.4,0
1789059264.784255003,9.0,0
1789059264.846556768,8.5,0
1789059264.908587146,9.7,0
1789059264.971591905,8.5,0
1789059265.033260130,33.4,0
1789059265.120042467,8.7,0
1789059265.182145184,8.9,0
1789059265.244650013,8.8,0
1789059265.307385499,8.4,0
1789059265.369228155,8.4,0
1789059265.431028368,8.5,0
1789059265.492954049,8.1,0
1789059265.554491448,8.3,0
1789059265.616241847,8.4,0
1789059265.678151864,8.9,0
1789059265.740608722,8.4,0
1789059265.802416567,8.0,0
1789059265.863975798,8.3,0
1789059265.925739777,8.5,0
1789059265.987855203,9.2,0
1789059266.050532911,8.0,0
1789059266.112070060,8.3,0
1789059266.173571195,8.5,0
1789059266.235420121,8.1,0
1789059266.297416508,8.4,0
1789059266.359427637,8.3,0
1789059266.421128621,9.3,0
1789059266.483781533,8.4,0
1789059266.545809387,8.3,0
1789059266.607639545,8.6,0
1789059266.669891656,8.8,0
1789059266.732110096,9.3,0
1789059266.794982707,8.4,0
1789059266.857050681,8.5,0
1789059266.919156462,8.6,0
1789059266.981392269,8.9,0
1789059267.043630258,8.9,0
1789059267.105906655,8.5,0
