epoch_s,latency_ms,exit
1789058799.449533580,10.8,0
1789058799.513791476,8.4,0
1789058799.575677056,9.0,0
1789058799.638236786,8.9,0
1789058799.700643638,8.7,0
1789058799.762891381,8.7,0
1789058799.824910371,9.4,0
1789058799.888029300,10.0,0
1789058799.951557812,8.8,0
1789058800.013782161,9.0,0
1789058800.076690534,9.0,0
1789058800.139130205,10.1,0
1789058800.202987440,9.4,0
1789058800.265588122,8.9,0
1789058800.327890637,8.2,0
1789058800.389530499,8.7,0
1789058800.451870391,8.7,0
1789058800.514171343,8.4,0
1789058800.576103333,8.7,0
1789058800.638154181,8.4,0
1789058800.699953371,8.5,0
1789058800.761760925,8.2,0
1789058800.823605383,10.9,0
1789058800.888310349,8.7,0
1789058800.950420446,9.0,0
1789058801.012828449,9.0,0
1789058801.075004605,8.7,0
1789058801.136978888,8.6,0
1789058801.198916887,8.8,0
1789058801.261145492,9.0,0
1789058801.323727065,9.3,0
1789058801.386322940,10.3,0
1789058801.450308989,8.4,0
1789058801.512146307,8.3,0
1789058801.573967130,8.5,0
1789058801.635896596,8.5,0
1789058801.697590339,8.7,0
1789058801.759627626,9.2,0
1789058801.822360407,9.0,0
1789058801.884742241,9.2,0
1789058801.947270795,8.5,0
1789058802.009176125,9.0,0
1789058802.071644959,8.8,0
1789058802.134161765,8.4,0
1789058802.196125723,8.8,0
1789058802.258724753,8.4,0
1789058802.320714360,9.0,0
1789058802.383291927,8.5,0
1789058802.445161323,8.5,0
1789058802.507229277,8.4,0
1789058802.569280606,9.0,0
1789058802.631676230,9.7,0
1789058802.694736992,9.1,0
1789058802.757205496,9.2,0
1789058802.819691487,8.6,0
1789058802.881678078,8.4,0
1789058802.943408486,8.3,0
1789058803.005245844,8.5,0
1789058803.067026287,8.5,0
1789058803.129124947,8.6,0
1789058803.191476686,9.3,0
1789058803.254387894,8.7,0
1789058803.316397931,8.8,0
1789058803.378900726,8.5,0
1789058803.440729101,8.2,0
1789058803.502303495,8.1,0
1789058803.564044058,8.7,0
1789058803.626168155,8.7,0
1789058803.688263771,8.9,0
1789058803.750515740,8.9,0
1789058803.812941160,9.1,0
1789058803.875399299,8.4,0
1789058803.937055455,8.8,0
1789058803.999094896,9.0,0
1789058804.061512654,8.4,0
1789058804.123137935,8.5,0
1789058804.185148142,9.2,0
1789058804.247896475,8.8,0
1789058804.309982827,8.7,0
1789058804.372045913,9.1,0
1789058804.434446686,8.4,0
1789058804.496310153,8.7,0
1789058804.558749394,8.6,0
1789058804.620822025,8.6,0
1789058804.682634726,8.0,0
1789058804.743918404,8.2,0
1789058804.805432397,8.6,0
1789058804.867496776,9.0,0
1789058804.929972692,8.9,0
1789058804.992160135,8.5,0
1789058805.053835840,8.8,0
1789058805.115872858,9.0,0
1789058805.178472068,8.7,0
1789058805.240341374,8.6,0
1789058805.302700985,8.6,0
1789058805.364483321,8.9,0
1789058805.426705236,8.6,0
1789058805.488736775,9.2,0
1789058805.551483506,8.7,0
1789058805.613576338,9.1,0
1789058805.676096850,8.9,0
1789058805.738545264,8.8,0
1789058805.800744034,8.7,0
1789058805.862761582,8.6,0
1789058805.924855145,8.8,0
1789058805.986876128,8.9,0
1789058806.049255068,9.5,0
1789058806.112227448,8.2,0
1789058806.173838988,8.4,0
1789058806.235617688,8.4,0
1789058806.297328837,8.4,0
1789058806.359075770,8.5,0
1789058806.420954510,8.0,0
1789058806.482420922,8.8,0
1789058806.544530810,8.4,0
1789058806.606438123,8.0,0
1789058806.667805566,8.3,0
1789058806.729725098,8.8,0
1789058806.791880814,8.9,0
1789058806.853965843,8.2,0
1789058806.915261429,8.6,0
1789058806.977273580,8.8,0
1789058807.039708764,8.7,0
1789058807.101854405,9.1,0
1789058807.164068658,8.6,0
1789058807.226229491,9.5,0
1789058807.289126518,9.0,0
1789058807.351599790,8.7,0
1789058807.413791339,8.6,0
1789058807.475774526,8.2,0
1789058807.537512375,8.7,0
1789058807.599809843,8.8,0
1789058807.662005999,8.8,0
1789058807.723979712,8.2,0
1789058807.785655969,8.7,0
1789058807.847691224,8.6,0
1789058807.909793499,8.6,0
1789058807.971739030,10.0,0
1789058808.035201294,8.9,0
1789058808.097536258,8.5,0
1789058808.159462600,8.5,0
1789058808.221267881,8.8,0
1789058808.283383917,8.4,0
1789058808.345289738,8.8,0
1789058808.407440666,8.8,0
1789058808.469596883,9.0,0
1789058808.531867260,9.5,0
1789058808.594733250,8.8,0
1789058808.656946853,8.7,0
1789058808.719002198,8.8,0
1789058808.781090292,8.4,0
1789058808.842950616,8.3,0
1789058808.904585350,8.3,0
1789058808.966198533,8.3,0
1789058809.027964965,8.3,0
1789058809.089790415,8.0,0
1789058809.151374254,8.6,0
1789058809.213450821,8.3,0
1789058809.274941470,8.4,0
1789058809.336637697,8.7,0
1789058809.398800193,8.2,0
1789058809.460069590,8.7,0
1789058809.522075161,8.5,0
1789058809.583723576,8.7,0
1789058809.645611750,8.2,0
1789058809.707406245,8.6,0
1789058809.769459817,8.1,0
1789058809.830772720,8.4,0
1789058809.892642246,9.9,0
1789058809.955956599,8.6,0
1789058810.017871904,9.0,0
1789058810.080340990,9.7,0
1789058810.143388723,8.5,0
1789058810.205003968,8.6,0
1789058810.267296459,8.6,0
1789058810.329290683,8.9,0
1789058810.391522933,8.8,0
1789058810.453829315,11.0,0
1789058810.518445138,9.1,0
1789058810.580937389,8.8,0
1789058810.643069779,8.6,0
1789058810.705227248,8.3,0
1789058810.766727821,8.3,0
1789058810.828312351,8.8,0
1789058810.890601557,8.8,0
1789058810.952956862,8.6,0
1789058811.014905317,8.5,0
1789058811.076853191,8.6,0
1789058811.138941586,8.5,0
1789058811.200720207,8.4,0
1789058811.262657926,8.6,0
1789058811.324458500,8.2,0
1789058811.385998663,8.6,0
1789058811.448058034,8.8,0
1789058811.510165408,9.5,0
1789058811.573173441,8.1,0
1789058811.634516539,8.7,0
1789058811.696393156,8.2,0
1789058811.757876264,8.1,0
1789058811.819078691,8.7,0
1789058811.882557860,8.6,0
1789058811.944583512,9.1,0
1789058812.006839778,9.0,0
1789058812.069186360,8.6,0
1789058812.131106683,8.3,0
1789058812.192841889,8.5,0
1789058812.254789282,8.6,0
1789058812.316887532,8.9,0
1789058812.378962197,8.6,0
1789058812.441199204,8.5,0
1789058812.503076403,8.4,0
1789058812.565096075,8.5,0
1789058812.627351280,8.5,0
1789058812.689146075,8.1,0
1789058812.750633098,8.3,0
1789058812.812629846,9.5,0
1789058812.875942065,9.6,0
1789058812.939251681,8.8,0
1789058813.001880015,8.8,0
1789058813.064255491,9.4,0
1789058813.127684646,9.0,0
1789058813.190268814,8.8,0
1789058813.252587374,8.1,0
1789058813.314267667,8.6,0
1789058813.376416483,9.3,0
1789058813.439114772,8.5,0
1789058813.500967033,8.1,0
1789058813.562381418,8.1,0
1789058813.623734340,8.5,0
1789058813.685538930,9.3,0
1789058813.748323288,9.0,0
1789058813.810708508,9.0,0
1789058813.873115802,9.1,0
1789058813.935749484,8.3,0
1789058813.997722155,8.7,0
1789058814.059960365,8.5,0
1789058814.121839356,8.5,0
1789058814.183780942,9.0,0
1789058814.246207443,8.8,0
1789058814.308351773,8.7,0
1789058814.370449982,8.7,0
1789058814.432510195,8.5,0
1789058814.494380824,8.6,0
1789058814.556450421,8.4,0
1789058814.618117104,8.8,0
1789058814.680325749,8.9,0
1789058814.742545582,8.7,0
1789058814.804919825,8.6,0
1789058814.867053478,8.8,0
1789058814.929246049,8.4,0
1789058814.991045071,9.3,0
1789058815.053605614,8.7,0
1789058815.115779827,8.5,0
1789058815.177557898,8.6,0
1789058815.239447575,8.5,0
1789058815.301129301,9.0,0
1789058815.363587250,8.8,0
1789058815.425947352,8.5,0
1789058815.487999243,9.0,0
1789058815.550179786,8.9,0
1789058815.612245928,9.1,0
1789058815.674662285,8.7,0
1789058815.736828587,8.3,0
1789058815.798540938,9.1,0
1789058815.861025968,9.0,0
1789058815.923443076,8.7,0
1789058815.985407155,8.3,0
1789058816.047110112,8.6,0
1789058816.109264396,8.7,0
1789058816.171381314,9.3,0
1789058816.234059744,8.1,0
1789058816.295407128,9.2,0
1789058816.358032108,8.8,0
1789058816.420323117,8.8,0
1789058816.482608398,8.9,0
1789058816.544998796,8.6,0
1789058816.607249324,9.0,0
1789058816.669661985,8.6,0
1789058816.731736860,8.5,0
1789058816.793541059,8.3,0
1789058816.855161303,8.8,0
1789058816.917264881,8.4,0
1789058816.979026146,8.3,0
1789058817.040677226,8.6,0
1789058817.102989316,8.5,0
1789058817.164762950,8.9,0
1789058817.227136823,9.2,0
1789058817.289661853,9.0,0
1789058817.351921765,8.6,0
1789058817.413830121,8.4,0
1789058817.475555352,8.2,0
1789058817.537239171,8.3,0
1789058817.598804101,8.7,0
1789058817.660756703,8.4,0
1789058817.722375124,8.5,0
1789058817.784120996,9.8,0
1789058817.847107958,9.1,0
1789058817.909523084,8.3,0
1789058817.971010297,9.0,0
1789058818.033319244,9.0,0
1789058818.095712827,8.3,0
1789058818.157419179,8.8,0
1789058818.219385652,8.8,0
1789058818.281725364,9.0,0
1789058818.344222893,8.6,0
1789058818.406251629,8.1,0
1789058818.467955107,8.7,0
1789058818.529740509,8.8,0
1789058818.591706230,8.8,0
1789058818.653833834,8.7,0
1789058818.715663221,8.5,0
1789058818.777441913,8.6,0
1789058818.839462046,8.6,0
1789058818.901763681,8.7,0
1789058818.963644054,8.5,0
1789058819.025357858,8.3,0
1789058819.086884732,8.5,0
1789058819.148766458,8.8,0
1789058819.210995023,8.3,0
1789058819.272788166,8.5,0
1789058819.334672636,8.7,0
1789058819.396637236,8.5,0
1789058819.458558891,8.7,0
1789058819.520740467,8.4,0
1789058819.582570435,8.5,0
1789058819.644751789,8.4,0
1789058819.706575268,8.5,0
1789058819.768425406,8.5,0
1789058819.830177548,8.5,0
1789058819.891793315,8.7,0
1789058819.953734059,8.4,0
1789058820.015877737,8.6,0
1789058820.077985331,8.8,0
1789058820.140338894,8.7,0
1789058820.202689543,8.4,0
1789058820.264441284,8.5,0
1789058820.326969629,8.9,0
1789058820.389256362,8.4,0
1789058820.451181483,8.9,0
1789058820.513390759,8.7,0
1789058820.575509020,8.3,0
1789058820.637209564,8.5,0
1789058820.699145791,8.2,0
1789058820.760825033,9.4,0
1789058820.823561260,8.8,0
1789058820.885737928,8.9,0
1789058820.947736990,8.3,0
1789058821.009419537,8.8,0
1789058821.071865909,8.4,0
1789058821.133633834,9.4,0
1789058821.196402880,8.5,0
1789058821.258032618,9.1,0
1789058821.320790798,8.7,0
1789058821.382736790,8.7,0
1789058821.444997143,8.1,0
1789058821.506412640,9.0,0
1789058821.568634266,8.4,0
1789058821.630236613,8.4,0
1789058821.692284407,8.4,0
1789058821.753746064,8.2,0
1789058821.815280148,8.4,0
1789058821.877040983,8.6,0
1789058821.939089489,8.3,0
1789058822.000611585,8.6,0
1789058822.062533231,8.4,0
1789058822.124027757,8.2,0
1789058822.185546278,8.2,0
1789058822.247131880,8.1,0
1789058822.308440968,8.6,0
1789058822.370375413,8.8,0
1789058822.433204669,8.6,0
1789058822.495382929,8.6,0
1789058822.557512416,8.6,0
1789058822.619410127,8.8,0
1789058822.681841626,8.4,0
1789058822.743732576,8.3,0
1789058822.805526490,8.7,0
1789058822.867648937,8.4,0
1789058822.929351334,9.0,0
1789058822.991733901,8.9,0
1789058823.054094945,8.7,0
1789058823.116200877,8.2,0
1789058823.177779378,8.2,0
1789058823.239510569,8.5,0
1789058823.301288880,9.1,0
1789058823.363829834,9.1,0
1789058823.426262285,8.3,0
1789058823.487778193,8.7,0
1789058823.550018657,9.0,0
1789058823.612493231,8.5,0
1789058823.674322158,8.2,0
1789058823.735808822,8.9,0
1789058823.797908364,8.7,0
1789058823.860083400,9.1,0
1789058823.922721109,9.5,0
1789058823.985644967,8.6,0
1789058824.047915095,8.8,0
1789058824.110317862,8.9,0
1789058824.172665296,8.6,0
1789058824.234350748,8.8,0
1789058824.296372424,8.9,0
1789058824.358666148,8.6,0
1789058824.420704559,8.8,0
1789058824.482721627,8.2,0
1789058824.544310715,8.8,0
1789058824.606412230,8.4,0
1789058824.668190381,8.7,0
1789058824.730253880,8.4,0
1789058824.792211479,8.3,0
1789058824.854050130,8.2,0
1789058824.915636594,8.2,0
1789058824.977293934,8.5,0
1789058825.039129491,8.7,0
