epoch_s,prefix,latency_ms,exit
1789057807.947123145,20.0.0.0/24,9.1,0
1789057807.958784990,3001::/48,8.2,0
1789057808.220745662,20.0.0.0/24,8.6,0
1789057808.232335809,3001::/48,8.6,0
1789057808.494518184,20.0.0.0/24,10.7,0
1789057808.508087770,3001::/48,18.4,0
1789057808.780474643,20.0.0.0/24,10.4,0
1789057808.793525131,3001::/48,9.7,0
1789057809.056604892,20.0.0.0/24,9.1,0
1789057809.068264933,3001::/48,8.7,0
1789057809.330676492,20.0.0.0/24,9.3,0
1789057809.342455492,3001::/48,9.9,0
1789057809.605757827,20.0.0.0/24,9.1,0
1789057809.617469566,3001::/48,9.2,0
1789057809.880178481,20.0.0.0/24,9.3,0
1789057809.892121838,3001::/48,8.6,0
1789057810.154125284,20.0.0.0/24,9.1,0
1789057810.165902952,3001::/48,9.1,0
1789057810.428343233,20.0.0.0/24,9.3,0
1789057810.440423696,3001::/48,8.8,0
1789057810.702866050,20.0.0.0/24,9.2,0
1789057810.714566643,3001::/48,8.7,0
1789057810.976455807,20.0.0.0/24,9.4,0
1789057810.988164282,3001::/48,9.9,0
1789057811.251875490,20.0.0.0/24,9.0,0
1789057811.263420869,3001::/48,8.9,0
1789057811.525734871,20.0.0.0/24,8.7,0
1789057811.537061943,3001::/48,8.8,0
1789057811.799440702,20.0.0.0/24,9.7,0
1789057811.811639502,3001::/48,8.8,0
1789057812.074064461,20.0.0.0/24,8.8,0
1789057812.085318593,3001::/48,9.1,0
1789057812.347732154,20.0.0.0/24,9.2,0
1789057812.359557875,3001::/48,9.8,0
1789057812.622789153,20.0.0.0/24,8.6,0
1789057812.633838738,3001::/48,8.8,0
1789057812.896067542,20.0.0.0/24,9.4,0
1789057812.908110098,3001::/48,8.9,0
1789057813.170543519,20.0.0.0/24,10.4,0
1789057813.183584392,3001::/48,8.6,0
1789057813.445753366,20.0.0.0/24,8.7,0
1789057813.457021770,3001::/48,9.6,0
1789057813.720157374,20.0.0.0/24,9.7,0
1789057813.732558788,3001::/48,8.8,0
1789057813.994826049,20.0.0.0/24,9.1,0
1789057814.006595646,3001::/48,9.4,0
1789057814.269458370,20.0.0.0/24,9.4,0
1789057814.281616729,3001::/48,8.6,0
1789057814.543539574,20.0.0.0/24,9.2,0
1789057814.555291594,3001::/48,9.2,0
1789057814.817963122,20.0.0.0/24,9.1,0
1789057814.829563183,3001::/48,9.4,0
1789057815.092521271,20.0.0.0/24,9.4,0
1789057815.104522915,3001::/48,8.7,0
1789057815.367115074,20.0.0.0/24,9.0,0
1789057815.378664049,3001::/48,10.4,0
1789057815.642379262,20.0.0.0/24,9.8,0
1789057815.654979414,3001::/48,8.5,0
1789057815.917220546,20.0.0.0/24,9.3,0
1789057815.929018996,3001::/48,8.8,0
1789057816.191337704,20.0.0.0/24,9.1,0
1789057816.202799448,3001::/48,9.7,0
1789057816.465779448,20.0.0.0/24,9.3,0
1789057816.477623897,3001::/48,10.0,0
1789057816.740927933,20.0.0.0/24,9.2,0
1789057816.752647945,3001::/48,8.5,0
1789057817.014643598,20.0.0.0/24,10.1,0
1789057817.027336810,3001::/48,8.9,0
1789057817.289773775,20.0.0.0/24,9.2,0
1789057817.301600447,3001::/48,9.8,0
1789057817.564761098,20.0.0.0/24,9.6,0
1789057817.576968972,3001::/48,8.5,0
1789057817.839195542,20.0.0.0/24,9.5,0
1789057817.851424487,3001::/48,9.6,0
1789057818.114563215,20.0.0.0/24,10.2,0
1789057818.127082135,3001::/48,8.4,0
1789057818.388586682,20.0.0.0/24,9.4,0
1789057818.400613704,3001::/48,8.8,0
1789057818.662792021,20.0.0.0/24,9.4,0
1789057818.674743861,3001::/48,8.7,0
1789057818.936947506,20.0.0.0/24,9.4,0
1789057818.949041549,3001::/48,10.1,0
1789057819.212403131,20.0.0.0/24,8.8,0
