epoch_s,prefix,latency_ms,exit
1789057311.743110457,20.0.0.0/24,9.2,0
1789057311.755032307,3001::/48,8.1,0
1789057312.016511777,20.0.0.0/24,9.7,0
1789057312.028689921,3001::/48,8.3,0
1789057312.290364133,20.0.0.0/24,9.2,0
1789057312.302001636,3001::/48,10.1,0
1789057312.565462599,20.0.0.0/24,11.2,0
1789057312.578994685,3001::/48,9.4,0
1789057312.841872423,20.0.0.0/24,8.8,0
1789057312.853265729,3001::/48,9.7,0
1789057313.116364699,20.0.0.0/24,9.0,0
1789057313.127878426,3001::/48,9.0,0
1789057313.390169634,20.0.0.0/24,9.0,0
1789057313.401544473,3001::/48,8.7,0
1789057313.663431003,20.0.0.0/24,9.5,0
1789057313.675263218,3001::/48,8.9,0
1789057313.937381346,20.0.0.0/24,8.9,0
1789057313.948807652,3001::/48,10.0,0
1789057314.212234683,20.0.0.0/24,10.1,0
1789057314.224911446,3001::/48,8.9,0
1789057314.487509453,20.0.0.0/24,9.4,0
1789057314.499344532,3001::/48,8.9,0
1789057314.761541999,20.0.0.0/24,8.9,0
1789057314.773070668,3001::/48,8.8,0
1789057315.035347754,20.0.0.0/24,9.0,0
1789057315.047034952,3001::/48,8.4,0
1789057315.308732317,20.0.0.0/24,8.6,0
1789057315.320092524,3001::/48,9.0,0
1789057315.582395368,20.0.0.0/24,8.9,0
1789057315.594070398,3001::/48,9.1,0
1789057315.856813462,20.0.0.0/24,8.7,0
1789057315.868193469,3001::/48,8.7,0
1789057316.130451145,20.0.0.0/24,8.5,0
1789057316.141377861,3001::/48,9.8,0
1789057316.404602478,20.0.0.0/24,9.2,0
1789057316.416277828,3001::/48,9.1,0
1789057316.678664618,20.0.0.0/24,8.9,0
1789057316.690217424,3001::/48,9.1,0
1789057316.952892386,20.0.0.0/24,8.9,0
1789057316.964209668,3001::/48,10.1,0
1789057317.227721005,20.0.0.0/24,9.0,0
1789057317.239356966,3001::/48,9.1,0
1789057317.501687942,20.0.0.0/24,9.2,0
1789057317.513188499,3001::/48,9.5,0
1789057317.776038213,20.0.0.0/24,9.2,0
1789057317.788036107,3001::/48,10.2,0
1789057318.051541024,20.0.0.0/24,8.6,0
1789057318.062760430,3001::/48,8.9,0
1789057318.325229082,20.0.0.0/24,10.3,0
1789057318.338167346,3001::/48,8.9,0
1789057318.600327666,20.0.0.0/24,8.8,0
1789057318.611573691,3001::/48,9.2,0
1789057318.874390576,20.0.0.0/24,9.2,0
1789057318.886140427,3001::/48,9.5,0
1789057319.149468849,20.0.0.0/24,8.8,0
1789057319.160784519,3001::/48,9.8,0
