epoch_s,latency_ms,exit
1789061865.062206220,15.2,0
1789061865.130935832,9.3,0
1789061865.193740123,9.4,0
1789061865.256567740,10.0,0
1789061865.320111109,9.8,0
1789061865.383491814,10.0,0
1789061865.446949555,10.3,0
1789061865.510643830,15.2,0
1789061865.579291420,10.0,0
1789061865.642954879,9.3,0
1789061865.705597398,9.9,0
1789061865.769129480,9.6,0
1789061865.832250927,40.0,0
1789061865.926385816,11.0,0
1789061865.991187321,9.9,0
1789061866.054595097,13.8,0
1789061866.121715387,10.5,0
1789061866.185504545,9.1,0
1789061866.248011300,10.0,0
1789061866.311678916,10.0,0
1789061866.375519811,9.7,0
1789061866.438629179,10.6,0
1789061866.502783564,9.4,0
1789061866.565773454,10.8,0
1789061866.630400026,10.6,0
1789061866.694326900,9.9,0
1789061866.757877580,10.7,0
1789061866.822547318,10.2,0
1789061866.886532820,10.7,0
1789061866.950482418,10.0,0
1789061867.013897464,10.3,0
1789061867.077761975,9.4,0
1789061867.140587638,10.0,0
1789061867.203677187,10.2,0
1789061867.267569960,10.2,0
1789061867.331527920,10.1,0
1789061867.395384980,12.1,0
1789061867.461061546,11.8,0
1789061867.526445975,9.8,0
1789061867.590371337,10.8,0
1789061867.654514905,9.2,0
1789061867.717425265,10.6,0
1789061867.781566270,10.8,0
1789061867.846362988,9.3,0
1789061867.909678235,10.0,0
1789061867.972981064,11.8,0
1789061868.038517490,10.3,0
1789061868.102357354,10.4,0
1789061868.166429235,10.3,0
1789061868.230313315,11.9,0
1789061868.295875830,10.8,0
1789061868.360520961,9.6,0
1789061868.423991681,12.5,0
1789061868.489567025,11.0,0
1789061868.554407178,10.0,0
1789061868.618410187,10.2,0
1789061868.682367306,11.1,0
1789061868.746620499,10.8,0
1789061868.810669045,12.6,0
1789061868.877094343,10.6,0
1789061868.942287866,15.2,0
1789061869.010682847,9.8,0
1789061869.074241819,11.5,0
1789061869.139074801,9.4,0
1789061869.202213284,10.9,0
1789061869.267532885,11.0,0
1789061869.332094070,9.9,0
1789061869.395345682,44.6,0
1789061869.493881668,10.7,0
1789061869.557817024,9.6,0
1789061869.620777150,10.4,0
1789061869.684539847,10.9,0
1789061869.748827282,10.7,0
1789061869.813417310,10.2,0
1789061869.877232436,12.3,0
1789061869.943188622,11.7,0
1789061870.008153882,10.8,0
1789061870.072108437,10.6,0
1789061870.136383143,14.4,0
1789061870.205154648,11.5,0
1789061870.270363433,11.2,0
1789061870.335095985,9.9,0
1789061870.399009889,11.9,0
1789061870.464735549,9.6,0
1789061870.528028483,9.9,0
1789061870.591271953,11.8,0
1789061870.656668389,9.7,0
1789061870.720168644,10.4,0
1789061870.784480896,10.6,0
1789061870.848735981,12.1,0
1789061870.914065407,12.8,0
1789061870.980118438,10.7,0
1789061871.044416769,11.2,0
1789061871.109457292,33.3,0
1789061871.196244329,11.0,0
1789061871.260511753,10.5,0
1789061871.325051536,9.8,0
1789061871.388194135,10.6,0
1789061871.452212385,10.3,0
1789061871.516042875,11.3,0
1789061871.580879152,13.0,0
1789061871.647265372,9.5,0
1789061871.710078146,10.0,0
1789061871.773380153,9.7,0
1789061871.836536723,9.8,0
1789061871.899594644,9.0,0
1789061871.962047349,10.1,0
1789061872.025538400,9.8,0
1789061872.088536572,10.5,0
1789061872.152631918,14.6,0
1789061872.220770875,10.3,0
1789061872.284867033,9.8,0
1789061872.348274198,10.3,0
1789061872.411935294,10.4,0
1789061872.475520876,10.7,0
1789061872.539711656,10.6,0
1789061872.603968164,10.7,0
1789061872.668043891,9.8,0
1789061872.731252899,9.6,0
1789061872.794369479,11.2,0
1789061872.859318194,9.3,0
1789061872.922363947,9.8,0
1789061872.985860406,14.2,0
1789061873.054176088,9.6,0
1789061873.117074200,10.0,0
1789061873.180325922,10.2,0
1789061873.243777334,10.1,0
1789061873.307038240,10.4,0
1789061873.370737973,10.1,0
1789061873.434375774,11.5,0
1789061873.499347424,9.6,0
1789061873.562524865,10.2,0
1789061873.626181914,10.0,0
1789061873.689662730,9.3,0
1789061873.752501413,9.5,0
1789061873.815693195,10.1,0
1789061873.879384195,9.6,0
1789061873.942575056,10.1,0
1789061874.005910874,9.8,0
1789061874.069284820,9.8,0
1789061874.132824954,11.3,0
1789061874.197603264,9.5,0
1789061874.260399303,9.8,0
1789061874.323523284,10.7,0
1789061874.387766052,10.1,0
1789061874.451200127,9.6,0
1789061874.514395695,9.6,0
1789061874.577363301,8.9,0
1789061874.639581594,10.1,0
1789061874.703517111,10.0,0
1789061874.767071026,9.6,0
1789061874.830479904,9.6,0
1789061874.893678146,10.0,0
1789061874.957279281,9.7,0
1789061875.020564314,10.0,0
1789061875.084271288,11.0,0
1789061875.149296238,10.4,0
1789061875.213263312,10.2,0
1789061875.276969736,11.1,0
1789061875.341594176,10.0,0
1789061875.404990074,9.6,0
1789061875.468135857,9.2,0
1789061875.530736533,10.1,0
1789061875.594373803,10.8,0
1789061875.658744322,9.4,0
1789061875.721678208,10.2,0
1789061875.785270771,9.7,0
1789061875.848239379,9.9,0
1789061875.911625592,10.0,0
1789061875.975115021,10.1,0
1789061876.038552301,10.8,0
1789061876.102716401,11.1,0
1789061876.167218316,10.5,0
1789061876.231422877,9.5,0
1789061876.294289151,9.8,0
1789061876.357685450,9.4,0
1789061876.421310632,14.3,0
1789061876.489655487,10.6,0
1789061876.553754700,10.1,0
1789061876.617452140,10.2,0
1789061876.681171062,9.5,0
1789061876.744167171,9.3,0
1789061876.806802840,11.3,0
1789061876.872318606,10.4,0
1789061876.936262405,10.0,0
1789061876.999598073,10.3,0
1789061877.063337246,9.9,0
1789061877.126646985,11.9,0
1789061877.192154498,9.6,0
1789061877.255557717,9.5,0
1789061877.318308458,10.0,0
1789061877.381836995,9.5,0
1789061877.445008417,9.3,0
1789061877.507708903,9.3,0
1789061877.571516799,10.1,0
1789061877.635638775,9.5,0
1789061877.698848444,9.3,0
1789061877.761778224,9.2,0
1789061877.824530277,13.8,0
1789061877.892094132,11.1,0
1789061877.956792352,10.6,0
1789061878.020824605,10.3,0
1789061878.084734152,10.2,0
1789061878.148446405,10.4,0
1789061878.212469092,9.7,0
1789061878.275383479,9.4,0
1789061878.338360209,9.8,0
1789061878.402242997,10.4,0
1789061878.465977292,9.5,0
1789061878.528970287,10.2,0
1789061878.592630301,9.5,0
1789061878.655730075,9.5,0
1789061878.718659214,9.6,0
1789061878.781759569,9.8,0
1789061878.844754316,11.2,0
1789061878.909469151,10.3,0
1789061878.973704077,12.3,0
1789061879.040031990,9.5,0
1789061879.103153477,9.7,0
1789061879.166961593,10.6,0
1789061879.231007415,9.4,0
1789061879.293983434,10.1,0
1789061879.357454275,11.3,0
1789061879.422416601,11.2,0
1789061879.487320109,9.3,0
1789061879.549912953,9.8,0
1789061879.612837355,9.9,0
1789061879.676049007,10.9,0
1789061879.740153006,9.7,0
1789061879.803501774,9.9,0
1789061879.867223691,9.9,0
1789061879.931352017,9.4,0
1789061879.994233274,9.2,0
1789061880.056520290,9.4,0
1789061880.119328398,9.3,0
1789061880.182134752,10.4,0
1789061880.245852853,10.0,0
1789061880.309264725,10.2,0
1789061880.372663017,15.1,0
1789061880.440983426,9.7,0
1789061880.504252905,9.5,0
1789061880.566888704,10.0,0
1789061880.630309400,10.4,0
1789061880.693987841,9.3,0
1789061880.757094226,10.2,0
1789061880.820887410,10.7,0
1789061880.885324598,11.0,0
1789061880.949704542,10.5,0
1789061881.013696683,10.3,0
1789061881.077584359,10.4,0
1789061881.141681859,33.0,0
1789061881.228585831,10.4,0
1789061881.292277332,11.2,0
1789061881.357293870,10.5,0
1789061881.421272962,13.5,0
1789061881.488336297,10.7,0
1789061881.552716521,8.8,0
1789061881.614847133,9.9,0
1789061881.678003131,9.0,0
1789061881.740245721,9.1,0
1789061881.802971224,10.7,0
1789061881.866997477,10.1,0
1789061881.930315169,10.3,0
1789061881.993961522,10.2,0
1789061882.057358021,9.6,0
1789061882.120078237,9.6,0
1789061882.182878472,10.2,0
1789061882.246612608,9.7,0
1789061882.309929858,9.7,0
1789061882.373406988,15.2,0
1789061882.442028759,11.1,0
1789061882.506456344,10.4,0
1789061882.570377219,9.7,0
1789061882.633597103,10.7,0
1789061882.697668764,9.6,0
1789061882.760715299,10.0,0
1789061882.824277777,10.1,0
1789061882.887640766,10.3,0
1789061882.951275402,10.3,0
1789061883.015289466,9.1,0
1789061883.077747890,9.7,0
1789061883.140826913,11.2,0
1789061883.205566095,10.1,0
1789061883.269030766,9.5,0
1789061883.332112484,9.8,0
1789061883.395319629,10.0,0
1789061883.458652052,9.9,0
1789061883.522329492,9.9,0
1789061883.585599933,10.6,0
1789061883.649805495,9.5,0
1789061883.713574231,9.1,0
1789061883.776039375,12.9,0
1789061883.842388159,9.8,0
1789061883.905860632,9.8,0
1789061883.969679514,9.9,0
1789061884.033364145,10.9,0
1789061884.097852912,9.9,0
1789061884.161015400,10.3,0
1789061884.224843767,11.3,0
1789061884.289758732,9.7,0
1789061884.352891495,9.8,0
1789061884.415903238,10.4,0
1789061884.479935100,9.2,0
1789061884.542518941,10.3,0
1789061884.606046416,10.4,0
1789061884.669622094,10.1,0
1789061884.733180035,9.7,0
1789061884.796431587,10.5,0
1789061884.860679122,9.9,0
1789061884.924177173,11.9,0
1789061884.989731377,9.3,0
1789061885.052667246,9.5,0
1789061885.116030625,9.8,0
1789061885.179809938,10.3,0
1789061885.243574649,9.7,0
1789061885.306570528,10.4,0
1789061885.370267137,10.8,0
1789061885.434576154,10.5,0
1789061885.498832251,9.8,0
1789061885.562410623,10.3,0
1789061885.626129806,9.8,0
1789061885.689332344,11.1,0
1789061885.753963044,13.8,0
1789061885.821174150,9.5,0
1789061885.883987465,10.0,0
1789061885.947289403,9.8,0
1789061886.010363469,10.2,0
1789061886.074239296,9.5,0
1789061886.137568345,9.9,0
1789061886.201097743,10.3,0
1789061886.264847752,9.9,0
1789061886.327974717,12.1,0
1789061886.394296070,9.6,0
1789061886.457196376,10.3,0
1789061886.521007927,10.6,0
1789061886.585298747,10.2,0
1789061886.649275566,9.8,0
1789061886.712415681,8.9,0
1789061886.774587284,9.4,0
1789061886.837358416,10.5,0
1789061886.901747974,11.1,0
1789061886.966251342,9.5,0
1789061887.029019629,9.1,0
1789061887.091433907,9.7,0
1789061887.154310517,10.0,0
1789061887.217470962,9.5,0
1789061887.280249725,9.8,0
1789061887.343265634,9.7,0
1789061887.406620932,9.8,0
1789061887.469906745,14.9,0
1789061887.538273544,9.4,0
1789061887.601258096,10.4,0
1789061887.665394544,9.1,0
