epoch_s,prefix,latency_ms,exit
1789060908.485714310,20.0.0.0/24,8.7,0
1789060908.496693981,3001::/48,7.8,0
1789060908.758011183,20.0.0.0/24,7.8,0
1789060908.768328471,3001::/48,7.8,0
1789060909.029486354,20.0.0.0/24,7.6,0
1789060909.039573267,3001::/48,8.2,0
1789060909.301459111,20.0.0.0/24,11.6,0
1789060909.315948300,3001::/48,10.6,0
1789060909.580712718,20.0.0.0/24,15.2,0
1789060909.598510964,3001::/48,9.2,0
1789060909.861733040,20.0.0.0/24,11.8,0
1789060909.875984042,3001::/48,12.7,0
1789060910.142865411,20.0.0.0/24,13.0,0
1789060910.158887046,3001::/48,12.7,0
1789060910.425839252,20.0.0.0/24,12.8,0
1789060910.441278754,3001::/48,11.1,0
1789060910.706201289,20.0.0.0/24,9.1,0
1789060910.717730713,3001::/48,11.5,0
1789060910.982418796,20.0.0.0/24,13.8,0
1789060910.998689944,3001::/48,13.0,0
1789060911.265420148,20.0.0.0/24,14.3,0
1789060911.282153849,3001::/48,9.4,0
1789060911.544933283,20.0.0.0/24,13.0,0
1789060911.560618033,3001::/48,15.8,0
1789060911.830316964,20.0.0.0/24,12.1,0
1789060911.844974886,3001::/48,11.7,0
1789060912.110285963,20.0.0.0/24,12.3,0
1789060912.125183674,3001::/48,11.5,0
1789060912.390558697,20.0.0.0/24,9.4,0
1789060912.402869151,3001::/48,12.4,0
1789060912.668834139,20.0.0.0/24,13.1,0
1789060912.684034202,3001::/48,15.5,0
1789060912.953246665,20.0.0.0/24,16.0,0
1789060912.972016457,3001::/48,50.7,0
1789060913.276473095,20.0.0.0/24,16.6,0
1789060913.295902827,3001::/48,14.8,0
1789060913.565057463,20.0.0.0/24,16.4,0
1789060913.584171641,3001::/48,13.2,0
1789060913.851221334,20.0.0.0/24,13.8,0
1789060913.867917659,3001::/48,13.6,0
1789060914.135357276,20.0.0.0/24,15.4,0
1789060914.153188362,3001::/48,13.2,0
1789060914.419562292,20.0.0.0/24,13.5,0
1789060914.435540692,3001::/48,12.9,0
1789060914.702487842,20.0.0.0/24,13.3,0
1789060914.719039831,3001::/48,12.0,0
1789060914.984347314,20.0.0.0/24,13.1,0
1789060914.999983411,3001::/48,12.0,0
1789060915.265421640,20.0.0.0/24,12.6,0
1789060915.280871898,3001::/48,12.1,0
1789060915.546903036,20.0.0.0/24,13.2,0
1789060915.563087835,3001::/48,13.0,0
1789060915.830105891,20.0.0.0/24,13.1,0
1789060915.846127335,3001::/48,15.3,0
1789060916.115385027,20.0.0.0/24,12.9,0
