epoch_s,latency_ms,exit
1789059710.288342739,15.6,0
1789059710.357586301,9.8,0
1789059710.420765240,10.2,0
1789059710.484358789,10.0,0
1789059710.547879971,9.9,0
1789059710.611190206,10.1,0
1789059710.674709215,10.1,0
1789059710.738297507,22.5,0
1789059710.814354995,9.8,0
1789059710.877463868,9.9,0
1789059710.940732992,10.9,0
1789059711.005055896,9.9,0
1789059711.068512210,39.8,0
1789059711.161089778,10.0,0
1789059711.224620233,9.5,0
1789059711.287034285,9.9,0
1789059711.350761696,9.5,0
1789059711.414019352,10.8,0
1789059711.479332931,10.3,0
1789059711.543521864,10.3,0
1789059711.607302084,10.6,0
1789059711.671691527,10.6,0
1789059711.735760801,11.1,0
1789059711.800258627,10.5,0
1789059711.864729152,12.4,0
1789059711.930788669,12.8,0
1789059711.997325292,10.0,0
1789059712.060552102,13.0,0
1789059712.126959361,11.2,0
1789059712.191376005,11.5,0
1789059712.256162023,9.6,0
1789059712.319426320,11.0,0
1789059712.383848482,11.2,0
1789059712.448725056,10.3,0
1789059712.512124825,9.8,0
1789059712.575834990,11.4,0
1789059712.640946487,9.4,0
1789059712.704070383,10.0,0
1789059712.767362901,11.2,0
1789059712.832603130,9.3,0
1789059712.895674097,13.5,0
1789059712.962588887,13.3,0
1789059713.029435915,13.0,0
1789059713.096372347,9.0,0
1789059713.158715082,11.4,0
1789059713.223711496,10.6,0
1789059713.287880889,11.1,0
1789059713.352438575,9.5,0
1789059713.415264003,9.8,0
1789059713.478506837,10.2,0
1789059713.542437433,9.6,0
1789059713.605241629,9.5,0
1789059713.667966077,10.2,0
1789059713.731950333,10.0,0
1789059713.796160117,11.8,0
1789059713.861259775,9.9,0
1789059713.924832003,10.9,0
1789059713.989313394,9.2,0
1789059714.052392012,10.2,0
1789059714.116100094,11.7,0
1789059714.181152762,10.0,0
1789059714.244796357,9.2,0
1789059714.307312552,14.2,0
1789059714.375184767,18.8,0
1789059714.447500084,10.9,0
1789059714.512024941,10.5,0
1789059714.576293253,15.3,0
1789059714.645340640,14.2,0
1789059714.712903272,10.1,0
1789059714.776854668,39.7,0
1789059714.869757564,10.8,0
