epoch_s,prefix,latency_ms,exit
1789059710.287840697,20.0.0.0/24,8.9,0
1789059710.298927039,3001::/48,8.1,0
1789059710.560558541,20.0.0.0/24,8.0,0
1789059710.571070973,3001::/48,7.9,0
1789059710.832320322,20.0.0.0/24,9.2,0
1789059710.844021115,3001::/48,7.5,0
1789059711.104950875,20.0.0.0/24,11.7,0
1789059711.118714532,3001::/48,11.8,0
1789059711.383503838,20.0.0.0/24,8.4,0
1789059711.394510752,3001::/48,11.2,0
1789059711.659619697,20.0.0.0/24,12.6,0
1789059711.674779497,3001::/48,11.4,0
1789059711.939757186,20.0.0.0/24,10.9,0
1789059711.953443106,3001::/48,13.8,0
1789059712.221080082,20.0.0.0/24,10.7,0
1789059712.234743689,3001::/48,9.9,0
1789059712.498809872,20.0.0.0/24,13.8,0
1789059712.515201970,3001::/48,12.2,0
1789059712.780955181,20.0.0.0/24,14.4,0
1789059712.798086227,3001::/48,10.1,0
1789059713.061766791,20.0.0.0/24,11.4,0
1789059713.075692841,3001::/48,13.2,0
1789059713.342386273,20.0.0.0/24,14.2,0
1789059713.359257559,3001::/48,10.7,0
1789059713.623428378,20.0.0.0/24,11.4,0
1789059713.637310312,3001::/48,10.2,0
1789059713.901557907,20.0.0.0/24,14.8,0
1789059713.919363253,3001::/48,11.8,0
1789059714.185213431,20.0.0.0/24,10.9,0
1789059714.198461094,3001::/48,13.3,0
1789059714.465422137,20.0.0.0/24,13.8,0
1789059714.482010839,3001::/48,13.1,0
1789059714.749417330,20.0.0.0/24,12.9,0
1789059714.764396329,3001::/48,13.6,0
1789059715.031357362,20.0.0.0/24,15.6,0
1789059715.049861055,3001::/48,16.8,0
1789059715.320532692,20.0.0.0/24,16.8,0
1789059715.340072309,3001::/48,14.1,0
1789059715.607259901,20.0.0.0/24,13.0,0
1789059715.622691198,3001::/48,19.3,0
1789059715.895358477,20.0.0.0/24,14.2,0
1789059715.911656904,3001::/48,11.5,0
1789059716.176351158,20.0.0.0/24,19.5,0
1789059716.198473388,3001::/48,15.0,0
1789059716.467501310,20.0.0.0/24,16.7,0
1789059716.487035319,3001::/48,16.3,0
1789059716.756455459,20.0.0.0/24,11.7,0
1789059716.770850282,3001::/48,11.7,0
1789059717.035918767,20.0.0.0/24,14.0,0
1789059717.052351826,3001::/48,15.2,0
1789059717.321569503,20.0.0.0/24,13.1,0
1789059717.363638459,3001::/48,13.7,0
1789059717.630525752,20.0.0.0/24,14.2,0
1789059717.647341916,3001::/48,13.7,0
1789059717.914499082,20.0.0.0/24,13.1,0
1789059717.930124150,3001::/48,16.6,0
1789059718.200578331,20.0.0.0/24,14.9,0
1789059718.217951219,3001::/48,14.4,0
1789059718.485888636,20.0.0.0/24,13.3,0
1789059718.501674915,3001::/48,14.8,0
1789059718.770215227,20.0.0.0/24,12.5,0
1789059718.785296328,3001::/48,16.8,0
1789059719.055616938,20.0.0.0/24,12.3,0
1789059719.070485692,3001::/48,12.2,0
1789059719.336197623,20.0.0.0/24,14.5,0
1789059719.353505994,3001::/48,14.0,0
1789059719.620748970,20.0.0.0/24,12.1,0
1789059719.635294839,3001::/48,15.0,0
1789059719.903748180,20.0.0.0/24,13.0,0
1789059719.919120178,3001::/48,14.9,0
1789059720.187655883,20.0.0.0/24,12.1,0
1789059720.202215212,3001::/48,12.8,0
1789059720.468430227,20.0.0.0/24,13.4,0
1789059720.484219571,3001::/48,15.0,0
1789059720.752972521,20.0.0.0/24,13.0,0
1789059720.768372571,3001::/48,16.7,0
1789059721.038322295,20.0.0.0/24,13.1,0
1789059721.053918580,3001::/48,14.0,0
1789059721.321417690,20.0.0.0/24,11.8,0
1789059721.335984721,3001::/48,15.5,0
1789059721.605321506,20.0.0.0/24,12.8,0
1789059721.620518102,3001::/48,12.5,0
1789059721.886448109,20.0.0.0/24,14.6,0
1789059721.903593837,3001::/48,11.7,0
1789059722.168991356,20.0.0.0/24,14.5,0
1789059722.185888681,3001::/48,16.2,0
1789059722.455822311,20.0.0.0/24,14.5,0
1789059722.473425865,3001::/48,11.9,0
1789059722.738515402,20.0.0.0/24,13.2,0
1789059722.754480620,3001::/48,13.6,0
1789059723.021725389,20.0.0.0/24,12.8,0
1789059723.036863557,3001::/48,14.7,0
1789059723.306078319,20.0.0.0/24,12.9,0
1789059723.321665279,3001::/48,14.6,0
1789059723.589758440,20.0.0.0/24,15.0,0
1789059723.607914323,3001::/48,12.3,0
1789059723.873510309,20.0.0.0/24,13.1,0
1789059723.888863589,3001::/48,12.4,0
1789059724.154950782,20.0.0.0/24,13.1,0
1789059724.170874117,3001::/48,13.9,0
1789059724.438199877,20.0.0.0/24,12.4,0
1789059724.453054089,3001::/48,15.9,0
1789059724.722937424,20.0.0.0/24,15.3,0
1789059724.741142150,3001::/48,15.3,0
1789059725.010229321,20.0.0.0/24,11.9,0
1789059725.024506858,3001::/48,14.3,0
1789059725.292866459,20.0.0.0/24,12.1,0
1789059725.307876084,3001::/48,13.0,0
1789059725.575055454,20.0.0.0/24,11.7,0
1789059725.589100593,3001::/48,14.6,0
1789059725.857571971,20.0.0.0/24,13.1,0
1789059725.872966383,3001::/48,13.9,0
1789059726.140265773,20.0.0.0/24,13.7,0
1789059726.156531282,3001::/48,14.2,0
1789059726.425014768,20.0.0.0/24,13.0,0
1789059726.440579695,3001::/48,12.8,0
1789059726.707252897,20.0.0.0/24,13.2,0
1789059726.723023263,3001::/48,11.8,0
1789059726.988687862,20.0.0.0/24,15.0,0
1789059727.006492438,3001::/48,15.3,0
1789059727.275116645,20.0.0.0/24,13.9,0
1789059727.291726389,3001::/48,15.1,0
1789059727.560326851,20.0.0.0/24,12.0,0
1789059727.574972931,3001::/48,16.8,0
1789059727.845025079,20.0.0.0/24,12.5,0
1789059727.859954313,3001::/48,12.8,0
1789059728.126046364,20.0.0.0/24,14.8,0
1789059728.143382988,3001::/48,12.5,0
1789059728.409417883,20.0.0.0/24,12.3,0
1789059728.424311975,3001::/48,13.4,0
1789059728.691104285,20.0.0.0/24,12.2,0
1789059728.706268822,3001::/48,12.5,0
1789059728.972603356,20.0.0.0/24,12.6,0
1789059728.987763697,3001::/48,13.6,0
1789059729.255322126,20.0.0.0/24,12.0,0
1789059729.269826684,3001::/48,17.5,0
1789059729.540911691,20.0.0.0/24,15.1,0
1789059729.558432842,3001::/48,14.0,0
1789059729.825880324,20.0.0.0/24,13.2,0
1789059729.841547606,3001::/48,16.5,0
1789059730.111449388,20.0.0.0/24,12.3,0
1789059730.126540736,3001::/48,14.5,0
1789059730.394542540,20.0.0.0/24,12.7,0
1789059730.409932085,3001::/48,13.5,0
1789059730.677174841,20.0.0.0/24,14.2,0
1789059730.693962712,3001::/48,16.4,0
1789059730.963703523,20.0.0.0/24,12.1,0
1789059730.978249563,3001::/48,11.9,0
1789059731.243555906,20.0.0.0/24,13.0,0
1789059731.259256136,3001::/48,15.2,0
1789059731.527730850,20.0.0.0/24,13.8,0
1789059731.543944129,3001::/48,13.6,0
1789059731.810789830,20.0.0.0/24,13.3,0
1789059731.826464442,3001::/48,13.9,0
1789059732.093722250,20.0.0.0/24,12.5,0
1789059732.108675501,3001::/48,17.3,0
1789059732.379348891,20.0.0.0/24,12.1,0
1789059732.394062362,3001::/48,13.7,0
1789059732.661089845,20.0.0.0/24,13.7,0
1789059732.677242394,3001::/48,12.9,0
1789059732.943627694,20.0.0.0/24,13.2,0
1789059732.959398801,3001::/48,15.2,0
1789059733.228159132,20.0.0.0/24,11.8,0
1789059733.242297091,3001::/48,12.9,0
1789059733.508511946,20.0.0.0/24,14.8,0
1789059733.525807498,3001::/48,13.5,0
1789059733.792845227,20.0.0.0/24,15.3,0
1789059733.810391715,3001::/48,16.7,0
1789059734.080737124,20.0.0.0/24,13.0,0
1789059734.096337334,3001::/48,12.3,0
1789059734.362134483,20.0.0.0/24,11.9,0
1789059734.376839821,3001::/48,17.3,0
1789059734.647513221,20.0.0.0/24,12.3,0
1789059734.662337799,3001::/48,14.0,0
1789059734.929551461,20.0.0.0/24,14.9,0
1789059734.947053433,3001::/48,12.7,0
1789059735.213334388,20.0.0.0/24,14.8,0
1789059735.231151181,3001::/48,11.7,0
1789059735.496611385,20.0.0.0/24,13.1,0
1789059735.512342842,3001::/48,16.5,0
1789059735.782427740,20.0.0.0/24,13.7,0
1789059735.798919537,3001::/48,12.8,0
1789059736.065451628,20.0.0.0/24,14.3,0
1789059736.082766369,3001::/48,14.8,0
1789059736.350914433,20.0.0.0/24,12.3,0
1789059736.365804318,3001::/48,11.8,0
1789059736.630776250,20.0.0.0/24,12.5,0
1789059736.645864933,3001::/48,15.6,0
1789059736.914993187,20.0.0.0/24,13.6,0
1789059736.931013938,3001::/48,16.1,0
1789059737.201327468,20.0.0.0/24,12.4,0
1789059737.216154910,3001::/48,11.9,0
1789059737.482079570,20.0.0.0/24,14.4,0
1789059737.499064066,3001::/48,12.1,0
1789059737.765238841,20.0.0.0/24,15.3,0
1789059737.783128915,3001::/48,12.1,0
1789059738.048671592,20.0.0.0/24,12.3,0
1789059738.063405464,3001::/48,12.4,0
1789059738.330020439,20.0.0.0/24,13.2,0
1789059738.345938877,3001::/48,15.2,0
1789059738.614936404,20.0.0.0/24,14.7,0
1789059738.632216263,3001::/48,12.2,0
1789059738.898447342,20.0.0.0/24,14.0,0
1789059738.915034112,3001::/48,12.9,0
1789059739.182026082,20.0.0.0/24,13.7,0
1789059739.198085882,3001::/48,18.1,0
1789059739.469703378,20.0.0.0/24,12.5,0
1789059739.484708065,3001::/48,13.0,0
1789059739.752586705,20.0.0.0/24,11.6,0
1789059739.766610021,3001::/48,11.7,0
1789059740.031557967,20.0.0.0/24,13.0,0
1789059740.047045929,3001::/48,14.8,0
1789059740.315598499,20.0.0.0/24,12.8,0
1789059740.331018209,3001::/48,14.1,0
1789059740.598470991,20.0.0.0/24,13.4,0
1789059740.614610560,3001::/48,15.9,0
1789059740.884389679,20.0.0.0/24,13.1,0
1789059740.900000576,3001::/48,13.7,0
1789059741.167551735,20.0.0.0/24,13.5,0
1789059741.184141960,3001::/48,12.9,0
1789059741.450984776,20.0.0.0/24,12.5,0
1789059741.466166169,3001::/48,17.1,0
1789059741.736842314,20.0.0.0/24,13.4,0
1789059741.752868222,3001::/48,12.4,0
1789059742.018820804,20.0.0.0/24,13.0,0
1789059742.034330549,3001::/48,11.9,0
1789059742.299645886,20.0.0.0/24,14.7,0
1789059742.317383291,3001::/48,14.4,0
1789059742.585418516,20.0.0.0/24,12.6,0
1789059742.600727129,3001::/48,15.0,0
1789059742.868969715,20.0.0.0/24,13.1,0
1789059742.884590446,3001::/48,14.2,0
1789059743.152902666,20.0.0.0/24,13.4,0
1789059743.169264659,3001::/48,12.7,0
1789059743.435429088,20.0.0.0/24,12.7,0
1789059743.450745113,3001::/48,14.1,0
1789059743.718743222,20.0.0.0/24,12.9,0
1789059743.734397944,3001::/48,16.2,0
1789059744.004814279,20.0.0.0/24,15.7,0
1789059744.022966566,3001::/48,12.3,0
1789059744.289140350,20.0.0.0/24,12.7,0
1789059744.304707220,3001::/48,12.7,0
1789059744.571126192,20.0.0.0/24,13.1,0
1789059744.586539803,3001::/48,13.1,0
1789059744.853299365,20.0.0.0/24,12.8,0
1789059744.868822861,3001::/48,13.3,0
1789059745.135763234,20.0.0.0/24,14.3,0
1789059745.152393338,3001::/48,15.8,0
1789059745.422168873,20.0.0.0/24,12.2,0
1789059745.436841733,3001::/48,14.4,0
1789059745.704415085,20.0.0.0/24,12.3,0
1789059745.719573624,3001::/48,12.8,0
1789059745.986120226,20.0.0.0/24,12.5,0
1789059746.001140838,3001::/48,14.8,0
1789059746.269750164,20.0.0.0/24,14.6,0
1789059746.286816202,3001::/48,15.7,0
1789059746.555895122,20.0.0.0/24,13.8,0
1789059746.572372237,3001::/48,11.9,0
1789059746.838222156,20.0.0.0/24,12.5,0
1789059746.853581986,3001::/48,14.6,0
1789059747.121641788,20.0.0.0/24,12.0,0
1789059747.136246135,3001::/48,14.7,0
1789059747.404297684,20.0.0.0/24,13.6,0
1789059747.420488771,3001::/48,14.6,0
1789059747.689117836,20.0.0.0/24,12.5,0
1789059747.704054552,3001::/48,13.5,0
1789059747.971538430,20.0.0.0/24,12.4,0
1789059747.986318551,3001::/48,13.6,0
1789059748.253233166,20.0.0.0/24,12.5,0
1789059748.268472726,3001::/48,13.5,0
1789059748.535230175,20.0.0.0/24,14.7,0
1789059748.552589283,3001::/48,12.5,0
1789059748.818525761,20.0.0.0/24,12.9,0
1789059748.834069667,3001::/48,15.0,0
1789059749.102382769,20.0.0.0/24,13.3,0
1789059749.118107736,3001::/48,14.4,0
1789059749.386163803,20.0.0.0/24,13.5,0
1789059749.402079486,3001::/48,15.3,0
1789059749.670716944,20.0.0.0/24,13.7,0
1789059749.687144004,3001::/48,14.7,0
1789059749.956012038,20.0.0.0/24,29.0,0
1789059749.987400000,3001::/48,15.2,0
1789059750.256023007,20.0.0.0/24,27.0,0
1789059750.285863990,3001::/48,44.7,0
1789059750.584120938,20.0.0.0/24,27.7,0
1789059750.614274340,3001::/48,42.6,0
1789059750.911004699,20.0.0.0/24,586.1,0
1789059751.499845983,3001::/48,15.1,0
1789059751.767808950,20.0.0.0/24,14.7,0
1789059751.784744994,3001::/48,18.4,0
1789059752.056546966,20.0.0.0/24,14.6,0
1789059752.073332114,3001::/48,15.9,0
1789059752.342820408,20.0.0.0/24,13.7,0
1789059752.358729742,3001::/48,15.6,0
1789059752.628066889,20.0.0.0/24,14.2,0
1789059752.644734790,3001::/48,17.1,0
1789059752.915291136,20.0.0.0/24,12.0,0
1789059752.930186920,3001::/48,11.8,0
1789059753.195754205,20.0.0.0/24,13.6,0
1789059753.212249017,3001::/48,16.7,0
1789059753.482803529,20.0.0.0/24,13.0,0
1789059753.498259023,3001::/48,11.7,0
1789059753.763477224,20.0.0.0/24,15.2,0
1789059753.781176222,3001::/48,12.6,0
1789059754.047693101,20.0.0.0/24,12.3,0
1789059754.062972270,3001::/48,12.5,0
1789059754.329013285,20.0.0.0/24,16.9,0
1789059754.348732341,3001::/48,14.9,0
1789059754.617096480,20.0.0.0/24,12.5,0
1789059754.632277592,3001::/48,15.7,0
1789059754.901491344,20.0.0.0/24,12.9,0
1789059754.916934329,3001::/48,15.8,0
1789059755.186444266,20.0.0.0/24,11.8,0
1789059755.200695043,3001::/48,12.2,0
1789059755.466597751,20.0.0.0/24,15.9,0
1789059755.485414694,3001::/48,16.1,0
1789059755.755182007,20.0.0.0/24,12.3,0
1789059755.770003249,3001::/48,11.7,0
1789059756.035390915,20.0.0.0/24,13.1,0
1789059756.051086108,3001::/48,16.2,0
1789059756.320608263,20.0.0.0/24,11.9,0
1789059756.335129355,3001::/48,12.3,0
1789059756.601571172,20.0.0.0/24,13.6,0
1789059756.617563320,3001::/48,12.6,0
1789059756.883733749,20.0.0.0/24,13.6,0
1789059756.899595132,3001::/48,12.2,0
1789059757.165580794,20.0.0.0/24,12.4,0
1789059757.180433403,3001::/48,13.4,0
1789059757.447355159,20.0.0.0/24,12.3,0
1789059757.462240438,3001::/48,12.0,0
1789059757.727959411,20.0.0.0/24,16.1,0
1789059757.746585087,3001::/48,13.7,0
1789059758.013551370,20.0.0.0/24,13.3,0
1789059758.029544790,3001::/48,11.7,0
1789059758.294638004,20.0.0.0/24,12.9,0
1789059758.310599316,3001::/48,12.1,0
1789059758.576539020,20.0.0.0/24,13.1,0
1789059758.592061404,3001::/48,12.3,0
1789059758.857561338,20.0.0.0/24,12.5,0
1789059758.872548349,3001::/48,15.4,0
1789059759.141748632,20.0.0.0/24,12.4,0
1789059759.157220319,3001::/48,13.0,0
1789059759.423625200,20.0.0.0/24,12.0,0
1789059759.438759913,3001::/48,13.6,0
1789059759.705883051,20.0.0.0/24,16.5,0
1789059759.724939283,3001::/48,15.3,0
1789059759.993537553,20.0.0.0/24,15.2,0
1789059760.011744542,3001::/48,14.4,0
1789059760.279764605,20.0.0.0/24,12.5,0
