epoch_s,latency_ms,exit
1789063805.157230592,15.3,0
1789063805.226361370,10.6,0
1789063805.290971632,9.9,0
1789063805.354414044,10.3,0
1789063805.418132730,10.6,0
1789063805.482180639,9.7,0
1789063805.545346126,10.8,0
1789063805.609612834,25.3,0
1789063805.688159605,10.2,0
1789063805.751786103,9.9,0
1789063805.815351929,10.0,0
1789063805.878903455,10.1,0
1789063805.942303022,35.8,0
1789063806.031990071,10.4,0
1789063806.095766494,10.6,0
1789063806.160644417,11.1,0
1789063806.225191394,9.6,0
1789063806.287998174,10.0,0
1789063806.351083971,10.9,0
1789063806.415956556,10.9,0
1789063806.480500078,10.5,0
1789063806.544523691,14.8,0
1789063806.613128220,10.5,0
1789063806.677065284,10.0,0
1789063806.740797500,11.3,0
1789063806.805496545,12.1,0
1789063806.871126155,9.8,0
1789063806.934400235,13.3,0
1789063807.001903553,11.1,0
1789063807.066823179,10.5,0
1789063807.131287002,11.1,0
1789063807.195672928,10.6,0
1789063807.260695558,11.4,0
1789063807.326145930,11.6,0
1789063807.391447749,10.1,0
1789063807.454930821,11.2,0
1789063807.519657769,12.5,0
1789063807.585663963,9.9,0
1789063807.649042199,10.2,0
1789063807.712949848,9.7,0
1789063807.776852439,10.1,0
1789063807.840472598,10.5,0
1789063807.905001799,9.4,0
1789063807.968107405,11.1,0
1789063808.033190937,10.1,0
1789063808.096904215,11.1,0
1789063808.161429269,12.3,0
1789063808.227790907,11.9,0
1789063808.293202821,10.5,0
1789063808.357776377,10.5,0
1789063808.421816315,11.7,0
1789063808.487127358,12.3,0
1789063808.552833182,10.4,0
1789063808.616421322,8.8,0
1789063808.678475714,9.0,0
1789063808.741141561,9.9,0
1789063808.804616372,10.4,0
1789063808.868162839,9.6,0
1789063808.931087205,10.4,0
1789063808.995084158,10.7,0
1789063809.059597675,11.5,0
1789063809.124717261,15.0,0
1789063809.193273938,11.3,0
1789063809.258343789,10.9,0
1789063809.322751528,10.4,0
1789063809.386594700,11.3,0
1789063809.451277271,9.5,0
1789063809.514249909,9.7,0
1789063809.577123268,50.9,0
1789063809.681697961,12.4,0
1789063809.748188392,10.2,0
1789063809.811855721,10.8,0
1789063809.876127375,10.9,0
1789063809.941215374,10.4,0
1789063810.004858286,10.5,0
1789063810.068842179,9.4,0
1789063810.131809319,9.7,0
1789063810.195393133,9.7,0
1789063810.258912039,11.7,0
1789063810.324250332,10.6,0
1789063810.388353775,11.1,0
1789063810.452998970,10.9,0
1789063810.517735131,11.0,0
1789063810.582590370,10.4,0
1789063810.646470448,10.9,0
1789063810.711838095,10.9,0
1789063810.776699184,12.6,0
1789063810.843463755,13.4,0
1789063810.910796257,11.4,0
1789063810.976223614,10.5,0
1789063811.040134238,11.1,0
1789063811.105418541,11.5,0
1789063811.170435061,10.4,0
1789063811.234400457,13.0,0
1789063811.300732490,11.1,0
1789063811.365855020,10.3,0
1789063811.429410792,10.4,0
1789063811.493282357,12.6,0
1789063811.559517224,10.2,0
1789063811.623165174,10.1,0
1789063811.686913795,9.6,0
1789063811.750517208,9.6,0
1789063811.813777207,9.7,0
1789063811.876766188,9.4,0
1789063811.939376874,9.6,0
1789063812.002199407,11.0,0
1789063812.067116979,10.1,0
1789063812.130822636,10.1,0
1789063812.195940629,10.7,0
1789063812.286213025,10.2,0
1789063812.350038932,10.2,0
1789063812.414174342,9.7,0
1789063812.477509644,9.9,0
1789063812.541166798,10.3,0
1789063812.604887386,9.8,0
1789063812.668227905,10.2,0
1789063812.731627953,11.3,0
1789063812.796431866,10.5,0
1789063812.860191584,13.1,0
1789063812.927023366,10.1,0
1789063812.990783934,10.4,0
1789063813.054640096,9.5,0
1789063813.117578983,9.7,0
1789063813.180907715,9.5,0
1789063813.243879251,9.4,0
1789063813.306441653,9.1,0
1789063813.368844908,9.6,0
1789063813.431638928,14.2,0
1789063813.499387694,9.2,0
1789063813.561827463,10.7,0
1789063813.625862703,10.2,0
1789063813.689272787,9.8,0
1789063813.752812815,10.7,0
1789063813.817169397,10.2,0
1789063813.880791518,10.6,0
1789063813.944804214,10.8,0
1789063814.009152094,10.9,0
1789063814.073588776,10.7,0
1789063814.137567822,11.0,0
1789063814.201776212,9.5,0
1789063814.264687337,9.9,0
1789063814.327855598,9.3,0
1789063814.390625622,10.7,0
1789063814.454606631,10.2,0
1789063814.518222823,9.4,0
1789063814.580951235,10.5,0
1789063814.645235599,9.8,0
1789063814.708560835,9.7,0
1789063814.771565470,10.0,0
1789063814.835083536,10.8,0
1789063814.899135231,9.4,0
1789063814.962134168,10.4,0
1789063815.026043440,9.7,0
1789063815.089373713,10.1,0
1789063815.153045088,9.4,0
1789063815.216451196,9.5,0
1789063815.280084463,9.1,0
1789063815.342468419,10.1,0
1789063815.405841877,13.4,0
1789063815.472831436,11.0,0
1789063815.537579555,9.8,0
1789063815.600797080,10.6,0
1789063815.664940722,9.9,0
1789063815.728341081,10.1,0
1789063815.792214358,10.0,0
1789063815.855811552,10.1,0
