epoch_s,prefix,latency_ms,exit
1789062834.185637340,20.0.0.0/24,8.4,0
1789062834.196414673,3001::/48,8.4,0
1789062834.458097494,20.0.0.0/24,7.8,0
1789062834.468252345,3001::/48,8.0,0
1789062834.729757570,20.0.0.0/24,8.4,0
1789062834.740590838,3001::/48,7.7,0
1789062835.001618807,20.0.0.0/24,15.1,0
1789062835.019528982,3001::/48,9.5,0
1789062835.282662167,20.0.0.0/24,11.0,0
1789062835.296465025,3001::/48,14.0,0
1789062835.563687239,20.0.0.0/24,10.2,0
1789062835.576408356,3001::/48,12.1,0
1789062835.841964854,20.0.0.0/24,13.4,0
1789062835.857721831,3001::/48,11.9,0
1789062836.123403456,20.0.0.0/24,13.3,0
1789062836.139466922,3001::/48,12.4,0
1789062836.406063008,20.0.0.0/24,13.1,0
1789062836.421786745,3001::/48,14.4,0
1789062836.690044952,20.0.0.0/24,10.7,0
1789062836.703212218,3001::/48,12.1,0
1789062836.969851238,20.0.0.0/24,13.2,0
1789062836.985378270,3001::/48,11.4,0
1789062837.250306566,20.0.0.0/24,10.5,0
1789062837.263109396,3001::/48,14.6,0
1789062837.531530857,20.0.0.0/24,9.8,0
1789062837.543694889,3001::/48,12.0,0
1789062837.808953300,20.0.0.0/24,9.8,0
1789062837.821361718,3001::/48,13.1,0
1789062838.087865225,20.0.0.0/24,10.8,0
1789062838.101726531,3001::/48,12.6,0
1789062838.368113693,20.0.0.0/24,14.0,0
1789062838.384878711,3001::/48,16.2,0
1789062838.655179429,20.0.0.0/24,16.3,0
1789062838.674387319,3001::/48,13.3,0
1789062838.941074992,20.0.0.0/24,14.9,0
1789062838.958421802,3001::/48,15.0,0
1789062839.227285546,20.0.0.0/24,16.2,0
1789062839.246024834,3001::/48,13.9,0
1789062839.513425916,20.0.0.0/24,17.5,0
1789062839.533359183,3001::/48,13.4,0
1789062839.800254307,20.0.0.0/24,14.2,0
1789062839.817653986,3001::/48,15.7,0
1789062840.087023449,20.0.0.0/24,17.3,0
1789062840.106889906,3001::/48,16.8,0
1789062840.377632897,20.0.0.0/24,16.1,0
1789062840.396318413,3001::/48,16.1,0
1789062840.665994255,20.0.0.0/24,13.3,0
1789062840.681939955,3001::/48,19.2,0
1789062840.954636524,20.0.0.0/24,13.3,0
1789062840.970427803,3001::/48,13.6,0
1789062841.237663577,20.0.0.0/24,12.6,0
1789062841.252738512,3001::/48,13.3,0
1789062841.545620066,20.0.0.0/24,12.8,0
1789062841.560964635,3001::/48,11.9,0
1789062841.826205529,20.0.0.0/24,12.0,0
1789062841.840605423,3001::/48,12.8,0
1789062842.107033336,20.0.0.0/24,13.7,0
1789062842.123119106,3001::/48,13.3,0
1789062842.389665367,20.0.0.0/24,15.0,0
1789062842.407713538,3001::/48,15.5,0
1789062842.676988028,20.0.0.0/24,13.0,0
1789062842.692433770,3001::/48,12.6,0
1789062842.958825619,20.0.0.0/24,13.4,0
1789062842.974626953,3001::/48,13.2,0
1789062843.241392342,20.0.0.0/24,13.3,0
1789062843.257575208,3001::/48,13.2,0
1789062843.524402870,20.0.0.0/24,12.0,0
1789062843.538780510,3001::/48,18.3,0
1789062843.810558653,20.0.0.0/24,11.9,0
1789062843.825582601,3001::/48,12.9,0
1789062844.091804396,20.0.0.0/24,13.6,0
1789062844.107873261,3001::/48,13.0,0
1789062844.374211720,20.0.0.0/24,12.5,0
1789062844.389334787,3001::/48,16.5,0
1789062844.659407745,20.0.0.0/24,12.8,0
1789062844.674562169,3001::/48,15.4,0
1789062844.943539954,20.0.0.0/24,12.3,0
1789062844.958457704,3001::/48,13.4,0
1789062845.226236912,20.0.0.0/24,12.7,0
1789062845.241582533,3001::/48,17.2,0
1789062845.512229110,20.0.0.0/24,12.2,0
1789062845.526913139,3001::/48,13.5,0
1789062845.794438257,20.0.0.0/24,12.2,0
1789062845.809175576,3001::/48,13.2,0
1789062846.075892763,20.0.0.0/24,12.7,0
1789062846.090946947,3001::/48,16.2,0
1789062846.360715077,20.0.0.0/24,12.9,0
1789062846.376330603,3001::/48,15.0,0
1789062846.645667847,20.0.0.0/24,12.4,0
1789062846.660454620,3001::/48,12.9,0
1789062846.926738177,20.0.0.0/24,13.5,0
1789062846.942951629,3001::/48,12.8,0
1789062847.209160414,20.0.0.0/24,13.1,0
1789062847.224714697,3001::/48,13.4,0
1789062847.491674388,20.0.0.0/24,15.6,0
1789062847.510107737,3001::/48,13.4,0
1789062847.776908980,20.0.0.0/24,12.3,0
1789062847.791508242,3001::/48,16.3,0
1789062848.061034049,20.0.0.0/24,12.1,0
1789062848.075555614,3001::/48,13.8,0
1789062848.343130918,20.0.0.0/24,12.3,0
1789062848.357792123,3001::/48,14.7,0
1789062848.625743109,20.0.0.0/24,14.3,0
1789062848.643047916,3001::/48,12.2,0
1789062848.908500728,20.0.0.0/24,15.2,0
1789062848.926103212,3001::/48,16.6,0
1789062849.195986434,20.0.0.0/24,11.9,0
1789062849.210372187,3001::/48,15.0,0
1789062849.479044634,20.0.0.0/24,13.0,0
1789062849.494813269,3001::/48,13.5,0
1789062849.761600231,20.0.0.0/24,12.5,0
1789062849.776771931,3001::/48,13.1,0
1789062850.043604792,20.0.0.0/24,15.6,0
1789062850.061903639,3001::/48,12.0,0
1789062850.327511003,20.0.0.0/24,13.7,0
1789062850.343876672,3001::/48,13.8,0
1789062850.611754109,20.0.0.0/24,13.2,0
1789062850.627443815,3001::/48,12.5,0
1789062850.893564848,20.0.0.0/24,12.4,0
1789062850.908330801,3001::/48,14.2,0
1789062851.176399053,20.0.0.0/24,13.7,0
1789062851.193179765,3001::/48,14.5,0
1789062851.460973635,20.0.0.0/24,14.5,0
1789062851.478139294,3001::/48,15.3,0
1789062851.747238402,20.0.0.0/24,12.6,0
1789062851.762306326,3001::/48,15.7,0
1789062852.031771873,20.0.0.0/24,12.3,0
1789062852.046551726,3001::/48,13.7,0
1789062852.314389703,20.0.0.0/24,13.2,0
1789062852.330346420,3001::/48,15.6,0
1789062852.599345166,20.0.0.0/24,12.0,0
1789062852.613744869,3001::/48,12.1,0
1789062852.880227395,20.0.0.0/24,13.5,0
1789062852.896513906,3001::/48,13.1,0
1789062853.162942400,20.0.0.0/24,14.2,0
1789062853.179580238,3001::/48,13.8,0
1789062853.447193939,20.0.0.0/24,13.5,0
1789062853.463215503,3001::/48,12.9,0
1789062853.729843196,20.0.0.0/24,14.2,0
1789062853.746559231,3001::/48,13.7,0
1789062854.013685982,20.0.0.0/24,13.0,0
1789062854.029381647,3001::/48,12.8,0
1789062854.295801880,20.0.0.0/24,12.6,0
1789062854.310944696,3001::/48,14.6,0
1789062854.579195833,20.0.0.0/24,15.4,0
1789062854.596980770,3001::/48,13.2,0
1789062854.863705729,20.0.0.0/24,13.7,0
1789062854.879810868,3001::/48,12.4,0
1789062855.145425983,20.0.0.0/24,14.4,0
1789062855.162191022,3001::/48,16.7,0
1789062855.432508365,20.0.0.0/24,13.8,0
1789062855.448893794,3001::/48,13.3,0
1789062855.716063459,20.0.0.0/24,13.4,0
1789062855.731973036,3001::/48,13.1,0
1789062855.998702481,20.0.0.0/24,13.7,0
1789062856.014988942,3001::/48,15.2,0
1789062856.283715762,20.0.0.0/24,12.6,0
1789062856.298937887,3001::/48,12.0,0
1789062856.564520795,20.0.0.0/24,14.5,0
1789062856.581561686,3001::/48,13.7,0
1789062856.848862238,20.0.0.0/24,13.1,0
1789062856.864314098,3001::/48,16.7,0
1789062857.134681737,20.0.0.0/24,13.3,0
1789062857.150498033,3001::/48,12.2,0
1789062857.416578816,20.0.0.0/24,11.8,0
1789062857.430946341,3001::/48,12.4,0
1789062857.696880365,20.0.0.0/24,13.2,0
1789062857.712950771,3001::/48,17.2,0
1789062857.983595586,20.0.0.0/24,12.9,0
1789062857.999197311,3001::/48,12.4,0
1789062858.265068810,20.0.0.0/24,15.6,0
1789062858.283336681,3001::/48,13.9,0
1789062858.551402009,20.0.0.0/24,12.7,0
1789062858.566589833,3001::/48,12.9,0
1789062858.833000001,20.0.0.0/24,13.9,0
1789062858.849318469,3001::/48,11.8,0
1789062859.114653956,20.0.0.0/24,13.1,0
1789062859.130147969,3001::/48,13.3,0
1789062859.396844145,20.0.0.0/24,16.2,0
1789062859.415481910,3001::/48,13.3,0
1789062859.682339798,20.0.0.0/24,13.4,0
1789062859.698340281,3001::/48,13.8,0
1789062859.965850326,20.0.0.0/24,12.3,0
1789062859.980769798,3001::/48,13.7,0
1789062860.247995879,20.0.0.0/24,13.8,0
1789062860.264809009,3001::/48,14.8,0
1789062860.533115669,20.0.0.0/24,14.5,0
1789062860.550101267,3001::/48,14.7,0
1789062860.818658192,20.0.0.0/24,12.3,0
1789062860.833966948,3001::/48,13.0,0
1789062861.100349764,20.0.0.0/24,14.4,0
1789062861.117321612,3001::/48,13.5,0
1789062861.384285750,20.0.0.0/24,15.2,0
1789062861.428358598,3001::/48,13.3,0
1789062861.695483427,20.0.0.0/24,14.0,0
1789062861.711830668,3001::/48,14.2,0
1789062861.979174545,20.0.0.0/24,14.4,0
1789062861.996185822,3001::/48,15.0,0
