epoch_s,total_rss_kib,pids
1789062834,70188,1
1789062839,469416,1
1789062844,491544,1
1789062849,483776,1
1789062854,484852,1
1789062859,486088,1
1789062864,484412,1
1789062869,485472,1
1789062874,554236,1
1789062879,543264,1
1789062884,504384,1
1789062889,507644,1
1789062894,509316,1
1789062899,828780,1
1789062904,560760,1
1789062909,506724,1
1789062914,504260,1
1789062919,503920,1
1789062924,594924,1
1789062929,520940,1
1789062934,508816,1
1789062939,509240,1
1789062944,507008,1
1789062949,581448,1
1789062954,511380,1
1789062959,505848,1
1789062964,501008,1
1789062969,531408,1
