epoch_s,latency_ms,exit
1789062353.090392404,15.5,0
1789062353.159949997,10.0,0
1789062353.223533846,9.6,0
1789062353.286725748,10.5,0
1789062353.350633302,11.5,0
1789062353.415485302,10.4,0
1789062353.479415140,10.5,0
1789062353.543358528,10.3,0
1789062353.607405691,9.9,0
1789062353.670786957,9.4,0
1789062353.733701984,9.9,0
1789062353.796982148,9.6,0
1789062353.860320088,9.6,0
1789062353.923196427,10.6,0
1789062353.987360225,9.7,0
1789062354.050746378,9.5,0
1789062354.113659692,10.9,0
1789062354.177843381,9.4,0
1789062354.240237437,10.3,0
1789062354.303875507,9.9,0
1789062354.366998866,10.3,0
1789062354.430530727,9.6,0
1789062354.493469830,9.4,0
1789062354.556312308,9.4,0
1789062354.619134786,10.1,0
1789062354.682464745,10.4,0
1789062354.746327803,10.9,0
1789062354.811525321,10.1,0
1789062354.874957903,10.3,0
1789062354.938364216,9.9,0
1789062355.001704601,10.9,0
1789062355.066242290,10.0,0
1789062355.129594752,9.5,0
1789062355.193908756,10.9,0
1789062355.258253655,10.6,0
1789062355.322201901,10.7,0
1789062355.386372900,10.3,0
1789062355.450675176,11.9,0
1789062355.516531141,10.0,0
1789062355.580074409,11.2,0
1789062355.645163605,10.3,0
1789062355.708707764,10.3,0
1789062355.772684602,10.9,0
1789062355.837163623,10.8,0
1789062355.901475313,10.0,0
1789062355.965684089,9.9,0
1789062356.029324433,11.8,0
1789062356.094883243,9.8,0
1789062356.158274113,9.8,0
1789062356.221759554,9.5,0
1789062356.284752608,11.5,0
1789062356.350033541,11.4,0
1789062356.415209627,10.9,0
1789062356.479643740,9.5,0
1789062356.542484325,10.9,0
1789062356.607127833,10.3,0
1789062356.671229999,9.9,0
1789062356.734977183,11.4,0
1789062356.800088722,11.3,0
1789062356.865064057,12.2,0
1789062356.930616567,10.6,0
1789062356.994915117,12.4,0
1789062357.061363129,9.5,0
1789062357.124808961,19.1,0
1789062357.197617727,10.6,0
1789062357.261788326,10.2,0
1789062357.325365295,11.0,0
1789062357.390295632,10.9,0
1789062357.454557548,9.5,0
1789062357.517190962,9.4,0
1789062357.580113841,44.4,0
1789062357.678301854,12.5,0
1789062357.744636967,10.9,0
1789062357.809239203,10.7,0
1789062357.873179777,14.0,0
1789062357.940361038,10.4,0
1789062358.004918847,11.7,0
1789062358.070494321,11.9,0
1789062358.135506721,11.3,0
1789062358.200294485,10.7,0
1789062358.264991843,10.2,0
1789062358.328947810,12.5,0
1789062358.394992077,11.4,0
1789062358.459554153,11.4,0
1789062358.524216088,10.3,0
1789062358.587692586,10.3,0
