epoch_s,prefix,latency_ms,exit
1789062353.090672334,20.0.0.0/24,8.4,0
1789062353.101213573,3001::/48,8.0,0
1789062353.362773337,20.0.0.0/24,7.7,0
1789062353.373303139,3001::/48,7.8,0
1789062353.634493690,20.0.0.0/24,8.0,0
1789062353.644891044,3001::/48,10.2,0
1789062353.908373481,20.0.0.0/24,8.8,0
1789062353.919910002,3001::/48,10.1,0
1789062354.183456133,20.0.0.0/24,12.9,0
1789062354.198850496,3001::/48,10.5,0
1789062354.462314195,20.0.0.0/24,11.3,0
1789062354.476104023,3001::/48,11.0,0
1789062354.740558546,20.0.0.0/24,12.5,0
1789062354.755333671,3001::/48,11.7,0
1789062355.020480232,20.0.0.0/24,12.0,0
1789062355.034803079,3001::/48,10.7,0
1789062355.298826606,20.0.0.0/24,9.8,0
1789062355.311197007,3001::/48,13.4,0
1789062355.578394622,20.0.0.0/24,12.2,0
1789062355.593428915,3001::/48,14.8,0
1789062355.861840939,20.0.0.0/24,11.5,0
1789062355.875860582,3001::/48,14.4,0
1789062356.144143664,20.0.0.0/24,10.2,0
1789062356.156738331,3001::/48,15.4,0
1789062356.426052638,20.0.0.0/24,12.4,0
1789062356.441008944,3001::/48,15.9,0
1789062356.710646056,20.0.0.0/24,11.4,0
1789062356.724895773,3001::/48,11.6,0
1789062356.991527780,20.0.0.0/24,14.7,0
1789062357.009190212,3001::/48,14.7,0
1789062357.278396648,20.0.0.0/24,17.0,0
1789062357.297607651,3001::/48,15.3,0
1789062357.566691644,20.0.0.0/24,13.9,0
1789062357.583575819,3001::/48,49.4,0
1789062357.886937297,20.0.0.0/24,14.6,0
1789062357.904494331,3001::/48,15.7,0
1789062358.173332064,20.0.0.0/24,13.2,0
1789062358.189213076,3001::/48,20.0,0
1789062358.463263522,20.0.0.0/24,14.5,0
1789062358.479937073,3001::/48,13.5,0
1789062358.747166004,20.0.0.0/24,12.5,0
1789062358.762586767,3001::/48,13.3,0
1789062359.029874437,20.0.0.0/24,13.5,0
1789062359.045953086,3001::/48,13.8,0
1789062359.313072183,20.0.0.0/24,12.1,0
1789062359.327864593,3001::/48,20.3,0
1789062359.602384423,20.0.0.0/24,12.7,0
1789062359.617671415,3001::/48,11.6,0
1789062359.882760910,20.0.0.0/24,13.8,0
1789062359.899100279,3001::/48,15.8,0
1789062360.168250952,20.0.0.0/24,13.6,0
1789062360.184387567,3001::/48,12.7,0
1789062360.450465284,20.0.0.0/24,13.2,0
1789062360.466010813,3001::/48,18.5,0
1789062360.738087060,20.0.0.0/24,12.1,0
1789062360.752523728,3001::/48,17.3,0
1789062361.023595319,20.0.0.0/24,12.0,0
1789062361.038672436,3001::/48,15.1,0
1789062361.307408447,20.0.0.0/24,12.2,0
1789062361.322239747,3001::/48,12.9,0
1789062361.588862029,20.0.0.0/24,12.8,0
1789062361.604400568,3001::/48,14.9,0
1789062361.872506094,20.0.0.0/24,13.5,0
1789062361.888684913,3001::/48,12.6,0
1789062362.155218873,20.0.0.0/24,13.5,0
1789062362.171285063,3001::/48,15.5,0
1789062362.440606712,20.0.0.0/24,12.8,0
1789062362.456403758,3001::/48,11.9,0
1789062362.721760884,20.0.0.0/24,12.3,0
1789062362.736908838,3001::/48,11.7,0
1789062363.002114978,20.0.0.0/24,15.1,0
1789062363.019682488,3001::/48,12.9,0
1789062363.285917341,20.0.0.0/24,13.8,0
1789062363.302263570,3001::/48,13.8,0
1789062363.569501325,20.0.0.0/24,15.8,0
1789062363.587568044,3001::/48,13.4,0
1789062363.854446451,20.0.0.0/24,14.1,0
1789062363.871016105,3001::/48,13.7,0
1789062364.138092548,20.0.0.0/24,12.4,0
1789062364.153017187,3001::/48,13.1,0
1789062364.419475214,20.0.0.0/24,14.5,0
1789062364.436477016,3001::/48,15.6,0
1789062364.705440358,20.0.0.0/24,13.2,0
1789062364.721168992,3001::/48,12.8,0
1789062364.987467419,20.0.0.0/24,14.5,0
1789062365.004562601,3001::/48,15.9,0
1789062365.273900034,20.0.0.0/24,13.4,0
1789062365.289790100,3001::/48,12.9,0
1789062365.556177991,20.0.0.0/24,13.6,0
1789062365.572345353,3001::/48,15.1,0
1789062365.841142275,20.0.0.0/24,13.6,0
1789062365.857496517,3001::/48,13.7,0
1789062366.124807081,20.0.0.0/24,12.8,0
1789062366.140204398,3001::/48,13.6,0
1789062366.407279330,20.0.0.0/24,12.9,0
1789062366.422790007,3001::/48,14.3,0
1789062366.690326821,20.0.0.0/24,13.2,0
1789062366.706162305,3001::/48,13.3,0
1789062366.973071418,20.0.0.0/24,15.0,0
1789062366.990575703,3001::/48,13.9,0
1789062367.257898947,20.0.0.0/24,13.7,0
1789062367.274006358,3001::/48,15.7,0
1789062367.543282549,20.0.0.0/24,14.5,0
1789062367.560396129,3001::/48,13.2,0
1789062367.826895708,20.0.0.0/24,13.4,0
1789062367.842771011,3001::/48,13.5,0
1789062368.109719794,20.0.0.0/24,14.0,0
1789062368.126870579,3001::/48,13.8,0
1789062368.394503397,20.0.0.0/24,12.9,0
1789062368.410067825,3001::/48,14.3,0
1789062368.677990647,20.0.0.0/24,13.7,0
1789062368.694257358,3001::/48,12.5,0
1789062368.960533712,20.0.0.0/24,13.9,0
1789062368.976876387,3001::/48,12.7,0
1789062369.242909206,20.0.0.0/24,14.0,0
1789062369.259478260,3001::/48,12.3,0
1789062369.525016929,20.0.0.0/24,14.1,0
1789062369.542110458,3001::/48,15.5,0
1789062369.810956554,20.0.0.0/24,13.5,0
1789062369.826771838,3001::/48,11.7,0
1789062370.091850598,20.0.0.0/24,14.5,0
1789062370.109309625,3001::/48,14.8,0
1789062370.377300950,20.0.0.0/24,12.4,0
1789062370.392706550,3001::/48,12.5,0
1789062370.659083245,20.0.0.0/24,13.8,0
1789062370.675766249,3001::/48,17.0,0
1789062370.946803079,20.0.0.0/24,13.1,0
1789062370.962292785,3001::/48,14.0,0
1789062371.230099703,20.0.0.0/24,12.8,0
1789062371.245457642,3001::/48,12.7,0
1789062371.511536941,20.0.0.0/24,13.8,0
1789062371.528113927,3001::/48,13.4,0
1789062371.796932221,20.0.0.0/24,12.4,0
1789062371.811874146,3001::/48,13.2,0
1789062372.078877551,20.0.0.0/24,15.8,0
1789062372.097330838,3001::/48,13.2,0
1789062372.364779710,20.0.0.0/24,12.2,0
1789062372.379585481,3001::/48,12.0,0
1789062372.645500694,20.0.0.0/24,13.8,0
1789062372.661814576,3001::/48,14.9,0
1789062372.930171929,20.0.0.0/24,14.3,0
1789062372.947020101,3001::/48,12.4,0
1789062373.213011859,20.0.0.0/24,13.4,0
1789062373.229135215,3001::/48,12.3,0
1789062373.495184099,20.0.0.0/24,12.7,0
1789062373.510449358,3001::/48,15.9,0
1789062373.780033300,20.0.0.0/24,12.7,0
1789062373.795065310,3001::/48,15.1,0
1789062374.063833560,20.0.0.0/24,11.9,0
1789062374.078105470,3001::/48,13.5,0
1789062374.345235585,20.0.0.0/24,14.2,0
1789062374.362032640,3001::/48,15.0,0
1789062374.630846308,20.0.0.0/24,12.4,0
1789062374.645767021,3001::/48,13.1,0
1789062374.912192229,20.0.0.0/24,13.3,0
1789062374.928231418,3001::/48,15.2,0
1789062375.196720229,20.0.0.0/24,12.0,0
1789062375.210988745,3001::/48,15.8,0
1789062375.479931295,20.0.0.0/24,14.4,0
1789062375.497277704,3001::/48,11.5,0
1789062375.762364626,20.0.0.0/24,12.5,0
1789062375.777416195,3001::/48,16.3,0
1789062376.047632285,20.0.0.0/24,13.1,0
1789062376.063384024,3001::/48,13.4,0
1789062376.330394228,20.0.0.0/24,12.8,0
1789062376.345621391,3001::/48,13.1,0
1789062376.612576884,20.0.0.0/24,13.9,0
1789062376.628740590,3001::/48,13.8,0
1789062376.896323302,20.0.0.0/24,12.9,0
1789062376.912017785,3001::/48,16.7,0
1789062377.182397721,20.0.0.0/24,12.4,0
1789062377.197396531,3001::/48,12.7,0
1789062377.464003702,20.0.0.0/24,13.8,0
1789062377.480471403,3001::/48,16.6,0
1789062377.750566792,20.0.0.0/24,12.4,0
1789062377.765420855,3001::/48,15.6,0
1789062378.034679299,20.0.0.0/24,11.9,0
1789062378.049363027,3001::/48,15.9,0
1789062378.318607110,20.0.0.0/24,12.2,0
1789062378.333439401,3001::/48,15.1,0
1789062378.602084627,20.0.0.0/24,12.6,0
1789062378.617378619,3001::/48,16.2,0
1789062378.887310372,20.0.0.0/24,12.9,0
1789062378.903207018,3001::/48,11.9,0
1789062379.168783875,20.0.0.0/24,13.7,0
1789062379.185554150,3001::/48,12.9,0
1789062379.451887160,20.0.0.0/24,12.5,0
1789062379.467097397,3001::/48,13.4,0
1789062379.733821313,20.0.0.0/24,13.1,0
1789062379.749328245,3001::/48,12.4,0
1789062380.015158140,20.0.0.0/24,15.2,0
1789062380.032771429,3001::/48,14.3,0
1789062380.301884976,20.0.0.0/24,12.1,0
1789062380.316443136,3001::/48,13.0,0
1789062380.582968514,20.0.0.0/24,13.5,0
1789062380.599121554,3001::/48,13.7,0
1789062380.866223026,20.0.0.0/24,13.8,0
1789062380.882389236,3001::/48,14.9,0
1789062381.150773330,20.0.0.0/24,13.4,0
1789062381.166905749,3001::/48,13.1,0
1789062381.433295925,20.0.0.0/24,12.5,0
1789062381.448421876,3001::/48,14.0,0
1789062381.716251128,20.0.0.0/24,14.3,0
1789062381.733387933,3001::/48,15.4,0
1789062382.002809372,20.0.0.0/24,12.5,0
1789062382.017844957,3001::/48,11.9,0
1789062382.283087552,20.0.0.0/24,15.2,0
1789062382.300976034,3001::/48,12.3,0
1789062382.566604067,20.0.0.0/24,13.5,0
1789062382.582539271,3001::/48,17.0,0
1789062382.852846858,20.0.0.0/24,13.5,0
1789062382.868811606,3001::/48,15.1,0
1789062383.137239986,20.0.0.0/24,12.6,0
1789062383.152395251,3001::/48,13.5,0
1789062383.419126307,20.0.0.0/24,13.6,0
1789062383.435188231,3001::/48,14.3,0
1789062383.703568039,20.0.0.0/24,13.1,0
1789062383.719427769,3001::/48,12.9,0
1789062383.985817324,20.0.0.0/24,13.7,0
1789062384.001993649,3001::/48,13.7,0
1789062384.269577564,20.0.0.0/24,13.7,0
1789062384.285900749,3001::/48,13.2,0
1789062384.552564235,20.0.0.0/24,14.1,0
1789062384.569356643,3001::/48,12.3,0
1789062384.835579358,20.0.0.0/24,13.7,0
1789062384.852192668,3001::/48,13.6,0
1789062385.119539337,20.0.0.0/24,17.4,0
1789062385.139510840,3001::/48,12.9,0
1789062385.405947806,20.0.0.0/24,12.8,0
1789062385.421429189,3001::/48,12.2,0
1789062385.686893247,20.0.0.0/24,14.4,0
1789062385.704221769,3001::/48,12.3,0
1789062385.970321099,20.0.0.0/24,14.7,0
1789062385.987853196,3001::/48,11.9,0
1789062386.253200138,20.0.0.0/24,13.8,0
1789062386.269483654,3001::/48,13.5,0
