epoch_s,prefix,latency_ms,exit
1788898713.935580371,20.0.0.0/24,9.6,0
1788898713.947941431,3001::/48,7.9,0
1788898714.209299514,20.0.0.0/24,8.1,0
1788898714.219789125,3001::/48,8.1,0
1788898714.481151914,20.0.0.0/24,10.4,0
1788898714.494061746,3001::/48,9.9,0
1788898714.757170467,20.0.0.0/24,10.2,0
1788898714.769809984,3001::/48,9.1,0
1788898715.032364336,20.0.0.0/24,8.9,0
1788898715.043773862,3001::/48,8.7,0
1788898715.305955087,20.0.0.0/24,10.5,0
1788898715.318993581,3001::/48,9.2,0
1788898715.581554173,20.0.0.0/24,9.4,0
1788898715.593590388,3001::/48,10.1,0
1788898715.856974451,20.0.0.0/24,9.9,0
1788898715.869208852,3001::/48,9.3,0
1788898716.131666321,20.0.0.0/24,9.3,0
1788898716.143286213,3001::/48,10.0,0
1788898716.406534775,20.0.0.0/24,9.0,0
1788898716.418111772,3001::/48,9.1,0
1788898716.680332327,20.0.0.0/24,9.5,0
1788898716.692367920,3001::/48,8.9,0
1788898716.954465851,20.0.0.0/24,9.9,0
1788898716.966948704,3001::/48,8.8,0
1788898717.229288387,20.0.0.0/24,9.9,0
1788898717.241629318,3001::/48,9.4,0
1788898717.504326927,20.0.0.0/24,9.4,0
1788898717.516156983,3001::/48,9.9,0
1788898717.779555060,20.0.0.0/24,9.4,0
1788898717.791532076,3001::/48,10.2,0
1788898718.054938054,20.0.0.0/24,8.9,0
1788898718.066563314,3001::/48,8.9,0
1788898718.328766845,20.0.0.0/24,9.6,0
1788898718.341122037,3001::/48,10.0,0
1788898718.604543229,20.0.0.0/24,9.1,0
1788898718.616044023,3001::/48,10.0,0
1788898718.879559747,20.0.0.0/24,9.5,0
1788898718.891514259,3001::/48,9.1,0
1788898719.154199881,20.0.0.0/24,9.4,0
1788898719.165957819,3001::/48,8.9,0
1788898719.428143344,20.0.0.0/24,10.2,0
1788898719.441352293,3001::/48,9.5,0
1788898719.704585896,20.0.0.0/24,8.8,0
1788898719.715970796,3001::/48,10.3,0
1788898719.979757035,20.0.0.0/24,9.2,0
1788898719.991305270,3001::/48,9.1,0
1788898720.253642863,20.0.0.0/24,8.9,0
1788898720.264941224,3001::/48,9.4,0
1788898720.527670644,20.0.0.0/24,9.3,0
1788898720.539862251,3001::/48,8.9,0
1788898720.802238061,20.0.0.0/24,9.3,0
1788898720.814037371,3001::/48,9.5,0
1788898721.077062403,20.0.0.0/24,9.0,0
1788898721.088483508,3001::/48,8.7,0
1788898721.350387804,20.0.0.0/24,9.2,0
1788898721.362071351,3001::/48,8.7,0
1788898721.624190679,20.0.0.0/24,9.2,0
1788898721.635863359,3001::/48,9.1,0
1788898721.898544768,20.0.0.0/24,9.3,0
1788898721.910419331,3001::/48,9.0,0
1788898722.172743726,20.0.0.0/24,8.9,0
1788898722.184282546,3001::/48,9.3,0
1788898722.447090695,20.0.0.0/24,9.1,0
1788898722.458769185,3001::/48,8.8,0
1788898722.720900912,20.0.0.0/24,9.1,0
1788898722.732483158,3001::/48,8.9,0
1788898722.995082765,20.0.0.0/24,9.0,0
1788898723.006628776,3001::/48,9.4,0
1788898723.269674061,20.0.0.0/24,9.2,0
1788898723.281318399,3001::/48,9.0,0
1788898723.543652010,20.0.0.0/24,9.1,0
1788898723.555670087,3001::/48,10.4,0
1788898723.819453716,20.0.0.0/24,9.0,0
1788898723.831211104,3001::/48,9.2,0
1788898724.093993305,20.0.0.0/24,9.7,0
1788898724.106117101,3001::/48,9.6,0
1788898724.369175496,20.0.0.0/24,9.3,0
1788898724.380764932,3001::/48,9.1,0
1788898724.643166495,20.0.0.0/24,9.4,0
1788898724.655111023,3001::/48,9.6,0
1788898724.918192402,20.0.0.0/24,9.1,0
1788898724.929997001,3001::/48,10.4,0
1788898725.193794182,20.0.0.0/24,9.4,0
1788898725.205823296,3001::/48,8.8,0
1788898725.468321754,20.0.0.0/24,9.9,0
1788898725.480740531,3001::/48,9.0,0
1788898725.742991770,20.0.0.0/24,9.9,0
1788898725.755603806,3001::/48,10.0,0
1788898726.019029302,20.0.0.0/24,9.4,0
1788898726.030884385,3001::/48,9.2,0
1788898726.293677936,20.0.0.0/24,9.6,0
1788898726.305844927,3001::/48,10.0,0
1788898726.569796780,20.0.0.0/24,9.2,0
1788898726.581765294,3001::/48,9.8,0
1788898726.845513332,20.0.0.0/24,9.5,0
1788898726.857730748,3001::/48,8.9,0
1788898727.120088948,20.0.0.0/24,8.9,0
1788898727.131475641,3001::/48,8.8,0
