epoch_s,latency_ms,exit
1788899582.416959301,14.1,0
1788899582.484647462,9.8,0
1788899582.547870889,9.9,0
1788899582.611183148,10.1,0
1788899582.674725632,9.6,0
1788899582.737845544,9.2,0
1788899582.800604996,10.2,0
1788899582.864153589,10.4,0
1788899582.927644636,12.6,0
1788899582.993727914,10.1,0
1788899583.057061536,9.1,0
1788899583.119453698,9.6,0
1788899583.182559668,36.4,0
1788899583.271821413,9.1,0
1788899583.334153915,10.2,0
1788899583.397770260,11.1,0
1788899583.461973524,10.7,0
1788899583.525829607,9.3,0
1788899583.588802489,8.7,0
1788899583.650839519,10.4,0
1788899583.714483024,10.6,0
1788899583.778644896,10.7,0
1788899583.842751845,9.2,0
1788899583.904750548,8.7,0
1788899583.966875720,9.7,0
1788899584.029988601,10.3,0
1788899584.093552537,9.1,0
1788899584.156237597,10.2,0
1788899584.219592481,9.7,0
1788899584.282677240,10.2,0
1788899584.346132653,10.5,0
1788899584.409834977,12.0,0
1788899584.475369644,10.8,0
1788899584.539770404,11.2,0
1788899584.604698503,9.9,0
1788899584.667817122,35.1,0
1788899584.756412259,8.8,0
1788899584.818501046,10.0,0
1788899584.881934607,10.8,0
1788899584.946189779,9.8,0
1788899585.009565273,9.6,0
1788899585.072967587,9.6,0
1788899585.136187488,9.8,0
1788899585.199766237,9.6,0
1788899585.263028672,9.6,0
1788899585.325879120,9.4,0
1788899585.388834776,10.0,0
1788899585.452649878,10.4,0
1788899585.516772711,10.6,0
1788899585.581327602,9.7,0
1788899585.644355986,11.2,0
1788899585.709058407,11.5,0
1788899585.774290932,9.5,0
1788899585.837768699,10.7,0
1788899585.901998613,9.6,0
1788899585.965691993,12.3,0
1788899586.032401570,15.2,0
1788899586.100950751,10.3,0
1788899586.164640035,64.4,0
1788899586.284395739,10.3,0
1788899586.348514486,9.6,0
1788899586.412518011,12.1,0
1788899586.477770476,12.2,0
1788899586.543654957,10.5,0
1788899586.607470770,9.6,0
1788899586.670823090,39.3,0
1788899586.763773938,10.2,0
1788899586.827401810,10.3,0
1788899586.891179147,15.1,0
1788899586.960024461,10.7,0
1788899587.024441395,10.7,0
1788899587.089095393,10.7,0
1788899587.153481661,10.1,0
1788899587.217016154,9.7,0
1788899587.280488723,10.9,0
1788899587.345209482,9.9,0
1788899587.408611406,10.8,0
1788899587.472906296,10.1,0
1788899587.536721930,10.6,0
1788899587.600807768,10.5,0
1788899587.664963400,10.3,0
1788899587.729266403,10.0,0
1788899587.792740946,9.2,0
1788899587.855048591,10.1,0
1788899587.919073047,10.9,0
1788899587.983220988,11.0,0
1788899588.047818242,9.6,0
1788899588.110953367,11.1,0
1788899588.175067136,10.3,0
1788899588.238966946,10.4,0
1788899588.303310470,10.2,0
1788899588.367763127,9.8,0
1788899588.430860605,9.8,0
1788899588.494040416,11.0,0
1788899588.559282826,10.8,0
1788899588.623757316,14.7,0
1788899588.691966007,10.4,0
1788899588.756101419,11.1,0
1788899588.820805213,9.8,0
1788899588.883952796,9.9,0
1788899588.947196643,9.5,0
1788899589.009822525,9.3,0
1788899589.072353385,9.7,0
1788899589.135342931,9.3,0
1788899589.197768584,10.4,0
1788899589.261738808,9.5,0
1788899589.324623648,9.5,0
1788899589.387366295,10.0,0
1788899589.450616602,10.0,0
1788899589.514115381,10.7,0
1788899589.578382250,9.7,0
1788899589.641635191,8.9,0
1788899589.703767684,9.5,0
1788899589.766568658,9.7,0
1788899589.829616612,10.1,0
1788899589.892929813,11.0,0
1788899589.957270203,10.3,0
1788899590.021127348,14.3,0
1788899590.089094167,8.9,0
1788899590.151331077,9.0,0
1788899590.213569619,9.3,0
1788899590.276185726,10.4,0
1788899590.339919477,9.7,0
1788899590.403290525,9.7,0
1788899590.466363527,10.4,0
1788899590.530216846,10.2,0
1788899590.593638680,12.2,0
1788899590.659764263,9.8,0
1788899590.722528401,9.5,0
1788899590.785140643,9.7,0
