epoch_s,latency_ms,exit
1788999354.274214122,14.7,0
1788999354.342284625,10.1,0
1788999354.405599960,9.8,0
1788999354.468795256,10.6,0
1788999354.532703521,9.9,0
1788999354.595733499,10.4,0
1788999354.659391799,9.2,0
1788999354.721852804,9.7,0
1788999354.785093658,9.9,0
1788999354.848382484,9.4,0
1788999354.911105572,9.5,0
1788999354.973913838,9.1,0
1788999355.036151719,9.4,0
1788999355.098782268,19.6,0
1788999355.172009541,11.6,0
1788999355.237360097,10.2,0
1788999355.300920971,10.2,0
1788999355.364531870,10.0,0
1788999355.428264120,10.7,0
1788999355.493586475,9.3,0
1788999355.556514630,11.1,0
1788999355.620830785,10.8,0
1788999355.684640512,9.9,0
1788999355.748303639,10.0,0
1788999355.811694639,11.3,0
1788999355.876429913,9.7,0
1788999355.939294393,10.1,0
1788999356.002692192,9.5,0
1788999356.065363532,9.8,0
1788999356.128598077,10.2,0
1788999356.192130378,10.5,0
1788999356.255686354,9.6,0
1788999356.318805666,11.3,0
1788999356.383173579,10.6,0
1788999356.447360281,11.1,0
1788999356.511555145,10.5,0
1788999356.575993624,15.8,0
1788999356.645561593,10.1,0
1788999356.708950829,10.1,0
1788999356.772323180,10.5,0
1788999356.835998516,10.0,0
1788999356.899761803,10.3,0
1788999356.962919552,9.4,0
1788999357.025555019,10.4,0
1788999357.089170685,9.5,0
1788999357.152072540,11.3,0
1788999357.217495956,11.2,0
1788999357.281946132,9.7,0
1788999357.344878384,10.3,0
1788999357.408415853,9.8,0
1788999357.472152189,12.1,0
1788999357.537854834,10.8,0
1788999357.602710578,10.8,0
1788999357.666879202,10.1,0
1788999357.730888278,10.4,0
1788999357.794724825,11.1,0
1788999357.859544826,12.0,0
1788999357.924707080,10.6,0
1788999357.989012220,9.8,0
1788999358.052216048,9.4,0
1788999358.115088450,17.0,0
1788999358.185188245,9.3,0
1788999358.247950291,9.6,0
1788999358.311308030,9.9,0
1788999358.374682224,10.0,0
1788999358.438121025,11.9,0
1788999358.503743889,10.3,0
1788999358.567050091,10.2,0
1788999358.630833829,9.5,0
1788999358.693948413,10.7,0
1788999358.758172231,15.9,0
1788999358.828204585,9.6,0
1788999358.891479119,12.0,0
1788999358.957291358,11.0,0
1788999359.022344138,11.3,0
1788999359.087083498,9.4,0
1788999359.149643231,10.0,0
1788999359.213468020,12.5,0
1788999359.279420468,12.4,0
1788999359.345055962,10.3,0
1788999359.408742023,10.0,0
1788999359.471898540,9.4,0
1788999359.534974096,11.2,0
1788999359.599506917,10.0,0
1788999359.663239658,10.5,0
1788999359.727004377,10.8,0
1788999359.791523137,10.4,0
1788999359.855127366,10.3,0
1788999359.919244202,9.7,0
1788999359.982414991,8.9,0
1788999360.044539312,9.1,0
1788999360.107779715,9.2,0
1788999360.170540569,9.6,0
1788999360.233429205,9.7,0
1788999360.296383880,12.2,0
1788999360.362037000,12.2,0
1788999360.427527506,11.1,0
1788999360.491783982,10.9,0
1788999360.555874430,9.8,0
1788999360.619002054,9.5,0
1788999360.681946513,11.9,0
1788999360.747225943,9.8,0
1788999360.810151384,9.8,0
1788999360.873549043,9.6,0
1788999360.936396217,9.7,0
1788999360.999465003,9.2,0
1788999361.061965727,10.3,0
1788999361.125596054,9.6,0
1788999361.188442918,10.1,0
1788999361.252235919,10.1,0
1788999361.315746127,14.4,0
1788999361.383545965,9.4,0
1788999361.446531766,9.2,0
1788999361.509003717,9.4,0
1788999361.572366965,9.7,0
1788999361.635882660,8.9,0
1788999361.698799859,9.8,0
1788999361.761974364,9.8,0
1788999361.825207205,10.0,0
1788999361.888121249,10.6,0
1788999361.952360139,9.5,0
1788999362.015442886,10.6,0
1788999362.079570840,10.1,0
1788999362.142880797,10.3,0
1788999362.206253579,9.6,0
1788999362.269145059,9.5,0
1788999362.331879934,10.0,0
1788999362.395176502,9.7,0
1788999362.458307410,9.4,0
1788999362.520796157,9.7,0
1788999362.583727587,9.2,0
1788999362.646103264,9.8,0
1788999362.709141144,10.2,0
1788999362.772763750,9.1,0
1788999362.835036783,10.1,0
1788999362.898286039,10.1,0
1788999362.961644780,9.6,0
1788999363.024734477,9.9,0
1788999363.088163713,9.7,0
1788999363.151262604,10.4,0
1788999363.215139391,9.5,0
1788999363.278276149,9.2,0
1788999363.340812296,10.6,0
1788999363.404785688,9.9,0
1788999363.468423187,9.0,0
1788999363.530658704,8.6,0
1788999363.592304837,10.4,0
1788999363.656205169,10.3,0
1788999363.719788867,10.0,0
1788999363.783122820,10.4,0
1788999363.846736142,10.4,0
1788999363.910213861,9.8,0
1788999363.973527023,9.9,0
1788999364.036790841,9.9,0
1788999364.099934259,10.0,0
1788999364.163201853,14.5,0
1788999364.231161480,10.1,0
1788999364.294652218,10.0,0
1788999364.358007634,10.0,0
1788999364.421242719,9.8,0
1788999364.484670933,10.6,0
1788999364.548753539,10.1,0
1788999364.612365729,10.2,0
1788999364.675823468,10.1,0
1788999364.739054737,10.4,0
1788999364.802568059,10.2,0
1788999364.866004366,10.7,0
1788999364.930118389,10.3,0
1788999364.993832061,10.1,0
1788999365.057258824,10.0,0
1788999365.120732016,9.8,0
1788999365.183846340,10.1,0
1788999365.247589035,9.8,0
1788999365.310892052,9.2,0
1788999365.373317854,9.5,0
1788999365.436121703,10.0,0
1788999365.499492411,9.5,0
1788999365.562434768,15.4,0
1788999365.631252331,9.1,0
1788999365.693862238,9.8,0
1788999365.757031184,9.4,0
1788999365.819749074,10.2,0
1788999365.883389106,13.1,0
1788999365.950271088,10.3,0
1788999366.014168516,9.7,0
1788999366.077335208,9.8,0
1788999366.140935331,9.3,0
1788999366.203414572,9.4,0
1788999366.266211661,9.9,0
1788999366.329475079,10.7,0
1788999366.393588800,9.9,0
1788999366.456857806,10.1,0
1788999366.520207824,10.2,0
1788999366.583692783,9.5,0
1788999366.646557854,10.4,0
1788999366.710747199,9.2,0
1788999366.773228204,9.2,0
1788999366.835824972,10.2,0
1788999366.899450482,10.7,0
1788999366.963410985,9.8,0
1788999367.026401413,10.7,0
1788999367.090393342,9.1,0
1788999367.152597943,9.0,0
1788999367.214834161,10.2,0
1788999367.278755284,10.5,0
1788999367.342668065,9.1,0
1788999367.405192995,10.1,0
1788999367.468543884,12.3,0
1788999367.534020870,9.8,0
1788999367.596849916,9.4,0
1788999367.659348447,9.3,0
1788999367.722013457,10.1,0
1788999367.785259178,9.3,0
1788999367.848186943,18.4,0
1788999367.920269719,9.3,0
1788999367.983505275,9.9,0
1788999368.046866309,10.5,0
1788999368.110893651,10.3,0
1788999368.174213323,9.6,0
1788999368.237127017,9.5,0
1788999368.299823815,9.7,0
1788999368.362681093,9.7,0
1788999368.425666975,10.7,0
1788999368.489845113,9.8,0
1788999368.552815892,9.7,0
1788999368.615675624,9.1,0
1788999368.678431671,10.4,0
1788999368.742268748,11.9,0
1788999368.807639044,9.7,0
1788999368.870756382,9.4,0
1788999368.933605499,9.9,0
1788999368.996855737,9.8,0
1788999369.060086635,10.0,0
1788999369.123292136,11.4,0
1788999369.188211596,10.9,0
1788999369.252456244,13.5,0
1788999369.319734549,9.3,0
1788999369.382408263,10.0,0
1788999369.446060914,10.4,0
1788999369.510071651,9.7,0
1788999369.573733636,9.2,0
1788999369.636317565,10.4,0
1788999369.699686841,9.2,0
1788999369.762442847,10.6,0
1788999369.826047577,11.5,0
1788999369.890708188,11.6,0
1788999369.955759525,10.6,0
1788999370.019791235,10.8,0
1788999370.083940430,10.1,0
1788999370.147303487,10.3,0
1788999370.210879743,11.2,0
1788999370.275276849,10.0,0
1788999370.338887407,10.0,0
1788999370.401905517,14.0,0
1788999370.469360857,9.5,0
1788999370.532275442,10.0,0
1788999370.596046781,10.6,0
1788999370.659931089,10.6,0
1788999370.723820594,10.2,0
1788999370.788001677,9.5,0
1788999370.850868310,9.3,0
1788999370.913544657,9.7,0
1788999370.976651460,9.7,0
1788999371.040133275,9.5,0
1788999371.103043623,10.3,0
1788999371.166687030,10.4,0
1788999371.230550296,9.5,0
1788999371.293427815,10.4,0
1788999371.357257281,10.0,0
1788999371.420705846,10.6,0
1788999371.484836002,9.9,0
1788999371.548198137,9.3,0
1788999371.610905852,9.9,0
1788999371.674534797,10.1,0
1788999371.738005385,10.8,0
1788999371.802397695,14.3,0
1788999371.870766154,9.7,0
1788999371.934537753,10.1,0
1788999371.998686207,9.3,0
1788999372.061469514,10.6,0
1788999372.126066441,10.5,0
1788999372.189859772,10.7,0
1788999372.254123098,10.1,0
1788999372.317698693,10.8,0
1788999372.382150522,10.1,0
1788999372.445711115,10.0,0
1788999372.509521692,9.7,0
1788999372.572643347,10.0,0
1788999372.636542407,11.1,0
1788999372.701240875,8.8,0
1788999372.763415200,10.7,0
1788999372.827313319,9.7,0
1788999372.890427923,9.9,0
1788999372.953543208,9.9,0
1788999373.016634908,9.3,0
1788999373.079390304,10.6,0
1788999373.143312348,9.6,0
1788999373.206503548,9.9,0
1788999373.270237830,9.9,0
1788999373.333577773,9.7,0
1788999373.396506588,10.2,0
1788999373.460105388,9.4,0
1788999373.522891550,10.8,0
1788999373.587431160,9.7,0
1788999373.650799855,9.3,0
1788999373.713295722,10.0,0
1788999373.776528423,9.8,0
1788999373.839970448,9.3,0
1788999373.902711192,9.1,0
1788999373.965078326,9.6,0
1788999374.028138469,10.3,0
1788999374.091770037,9.4,0
1788999374.154544141,9.6,0
1788999374.217867669,9.2,0
1788999374.280466299,10.4,0
1788999374.345104878,10.6,0
1788999374.409099501,9.2,0
1788999374.471971581,9.7,0
1788999374.535134478,9.9,0
1788999374.598607900,9.9,0
1788999374.662357827,10.6,0
1788999374.726445089,10.4,0
1788999374.790618620,10.1,0
1788999374.853935137,10.1,0
1788999374.917535029,10.6,0
1788999374.981525285,9.8,0
1788999375.044710285,9.2,0
1788999375.107360122,9.7,0
1788999375.170655397,9.9,0
1788999375.234137071,9.6,0
1788999375.296885817,9.3,0
1788999375.359693762,9.8,0
1788999375.422962367,9.4,0
1788999375.486170521,10.0,0
1788999375.549814248,9.3,0
1788999375.612259840,9.5,0
1788999375.675174784,9.3,0
1788999375.737609529,9.9,0
1788999375.800760649,10.3,0
1788999375.864709383,10.6,0
1788999375.929116695,10.0,0
1788999375.992881403,10.0,0
1788999376.056124880,10.2,0
1788999376.119628918,9.6,0
1788999376.182752866,9.3,0
1788999376.245408212,10.0,0
1788999376.308695946,10.2,0
1788999376.372264390,14.4,0
1788999376.439865710,9.4,0
1788999376.503148726,9.1,0
1788999376.566456169,9.3,0
1788999376.628898235,9.2,0
1788999376.691714392,9.0,0
1788999376.754319883,9.2,0
1788999376.817051874,9.4,0
1788999376.880613047,9.4,0
1788999376.943282283,11.4,0
1788999377.008024557,9.1,0
1788999377.071008626,9.7,0
1788999377.134320846,9.2,0
1788999377.197178294,9.7,0
1788999377.260259308,9.7,0
1788999377.323505059,10.2,0
1788999377.387597078,9.9,0
1788999377.451211341,9.8,0
1788999377.514699455,11.6,0
1788999377.579576200,10.6,0
1788999377.643713808,10.3,0
1788999377.707675551,9.9,0
1788999377.771348693,10.3,0
1788999377.835132720,9.5,0
1788999377.898245201,9.8,0
1788999377.961623540,10.5,0
