epoch_s,prefix,latency_ms,exit
1788999354.274089685,20.0.0.0/24,8.6,0
1788999354.284952928,3001::/48,7.6,0
1788999354.545813382,20.0.0.0/24,7.6,0
1788999354.555824297,3001::/48,8.0,0
1788999354.817020374,20.0.0.0/24,7.4,0
1788999354.826795877,3001::/48,7.9,0
1788999355.088438233,20.0.0.0/24,9.0,0
1788999355.100094164,3001::/48,12.0,0
1788999355.365647692,20.0.0.0/24,12.9,0
1788999355.381145382,3001::/48,9.8,0
1788999355.644332503,20.0.0.0/24,11.8,0
1788999355.658502163,3001::/48,9.4,0
1788999355.920838258,20.0.0.0/24,11.0,0
1788999355.934411293,3001::/48,9.8,0
1788999356.197611704,20.0.0.0/24,11.1,0
1788999356.211469336,3001::/48,11.7,0
1788999356.476374362,20.0.0.0/24,13.6,0
1788999356.492991039,3001::/48,12.8,0
1788999356.759778937,20.0.0.0/24,11.6,0
1788999356.774066884,3001::/48,14.1,0
1788999357.041681321,20.0.0.0/24,12.7,0
1788999357.057032121,3001::/48,13.1,0
1788999357.323806138,20.0.0.0/24,13.3,0
1788999357.339351660,3001::/48,13.0,0
1788999357.606137394,20.0.0.0/24,11.9,0
1788999357.620532752,3001::/48,14.4,0
1788999357.888198666,20.0.0.0/24,15.0,0
1788999357.905955873,3001::/48,11.5,0
1788999358.170651094,20.0.0.0/24,14.2,0
1788999358.187667030,3001::/48,13.9,0
1788999358.454812775,20.0.0.0/24,14.7,0
1788999358.472451264,3001::/48,15.5,0
1788999358.741214272,20.0.0.0/24,13.5,0
1788999358.757136158,3001::/48,16.2,0
1788999359.027267447,20.0.0.0/24,12.9,0
1788999359.043152938,3001::/48,16.0,0
1788999359.312618370,20.0.0.0/24,15.4,0
1788999359.330383589,3001::/48,18.0,0
1788999359.601825573,20.0.0.0/24,17.5,0
1788999359.621847664,3001::/48,14.3,0
1788999359.889594610,20.0.0.0/24,15.6,0
1788999359.907530645,3001::/48,14.9,0
1788999360.175746192,20.0.0.0/24,16.7,0
1788999360.194929186,3001::/48,16.6,0
1788999360.465147906,20.0.0.0/24,16.2,0
1788999360.484154486,3001::/48,16.2,0
1788999360.754022701,20.0.0.0/24,12.6,0
1788999360.768919460,3001::/48,12.4,0
1788999361.034989451,20.0.0.0/24,12.6,0
1788999361.049941503,3001::/48,13.4,0
1788999361.317220808,20.0.0.0/24,12.6,0
1788999361.332308984,3001::/48,14.5,0
1788999361.600384461,20.0.0.0/24,13.2,0
1788999361.616067890,3001::/48,12.8,0
1788999361.882233604,20.0.0.0/24,13.2,0
1788999361.898381739,3001::/48,13.4,0
1788999362.165567413,20.0.0.0/24,12.8,0
1788999362.180840406,3001::/48,12.8,0
1788999362.447157968,20.0.0.0/24,12.2,0
1788999362.462142830,3001::/48,13.5,0
1788999362.728897818,20.0.0.0/24,13.2,0
1788999362.744537470,3001::/48,15.7,0
1788999363.013713858,20.0.0.0/24,13.5,0
1788999363.030005558,3001::/48,15.0,0
1788999363.298612071,20.0.0.0/24,12.1,0
1788999363.313090283,3001::/48,16.3,0
1788999363.583229393,20.0.0.0/24,12.7,0
1788999363.598458230,3001::/48,15.5,0
1788999363.866968409,20.0.0.0/24,12.7,0
1788999363.882436655,3001::/48,12.3,0
1788999364.148647207,20.0.0.0/24,12.2,0
1788999364.163457977,3001::/48,14.2,0
1788999364.431278471,20.0.0.0/24,13.0,0
1788999364.446917643,3001::/48,12.9,0
1788999364.713561174,20.0.0.0/24,12.7,0
1788999364.728697302,3001::/48,16.9,0
1788999364.998847549,20.0.0.0/24,13.6,0
1788999365.014768103,3001::/48,13.0,0
1788999365.281539174,20.0.0.0/24,12.6,0
1788999365.296584767,3001::/48,13.7,0
1788999365.563841396,20.0.0.0/24,13.8,0
1788999365.580525765,3001::/48,13.1,0
1788999365.846902135,20.0.0.0/24,14.3,0
1788999365.863979373,3001::/48,15.5,0
1788999366.133159235,20.0.0.0/24,13.0,0
1788999366.148971416,3001::/48,13.5,0
1788999366.416864099,20.0.0.0/24,13.9,0
1788999366.433603690,3001::/48,12.4,0
1788999366.699245399,20.0.0.0/24,13.0,0
1788999366.714723499,3001::/48,16.2,0
1788999366.984759795,20.0.0.0/24,13.1,0
1788999367.000516113,3001::/48,13.2,0
1788999367.267436057,20.0.0.0/24,12.6,0
1788999367.282387128,3001::/48,12.3,0
1788999367.547944530,20.0.0.0/24,16.0,0
1788999367.566602266,3001::/48,12.7,0
1788999367.833061270,20.0.0.0/24,13.7,0
1788999367.849309585,3001::/48,15.9,0
1788999368.119254504,20.0.0.0/24,12.8,0
1788999368.134547237,3001::/48,14.0,0
1788999368.401419039,20.0.0.0/24,13.1,0
1788999368.416962036,3001::/48,14.1,0
1788999368.684753908,20.0.0.0/24,12.8,0
